slot,message_theme,theme_plain_english,source_layer,unit,anomaly_score,metric_snapshot,context_family,context_label,split_family,split_label,role_segment,pitch_role
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:stadium:2001,1.6653371501272265,OPS=0.682;OBP=0.29;K%=0.198;PA=131,,,stadium,2001,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:location:Home,1.6653371501272265,OPS=0.682;OBP=0.29;K%=0.198;PA=131,,,location,Home,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:after_count:after_1B_1S,1.6493043583097233,OPS=0.643;OBP=0.326;K%=0.233;PA=313,,,after_count,after_1B_1S,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:location:Home,1.6440812759449424,OPS=0.66;OBP=0.309;K%=0.196;PA=230,,,location,Home,OF_lower_or_mixed_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_lower_or_mixed_usage:stadium:2001,1.6440812759449424,OPS=0.66;OBP=0.309;K%=0.196;PA=230,,,stadium,2001,OF_lower_or_mixed_usage,
foreign_hitter,two_strike_survival_bat,reduce replacement-slot collapse after two strikes,role_split_context,OF_high_leverage_usage:score_context:within_two_run,1.6391613257017517,OPS=0.683;OBP=0.296;K%=0.202;PA=178,,,score_context,within_two_run,OF_high_leverage_usage,
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,role_split_context,OF_high_leverage_usage:inning_context:6,1.6371969696969697,OPS=0.412;OBP=0.2;K%=0.2;PA=35,,,inning_context,6,OF_high_leverage_usage,
foreign_hitter,first_base_traffic_converter,turn runner-on-first states into scoring-position pressure,role_split_context,OF_lower_or_mixed_usage:runner_context:runner_on_base,1.6370803840208281,OPS=0.659;OBP=0.311;K%=0.157;PA=242,,,runner_context,runner_on_base,OF_lower_or_mixed_usage,
foreign_hitter,rhp_role_stabilizer,stabilize OF/DH production against right-handed pitching,role_split_context,OF_lower_or_mixed_usage:pitcher_type:vs_right_orthdodx,1.6367815671647854,OPS=0.645;OBP=0.32;K%=0.17;PA=382,,,pitcher_type,vs_right_orthdodx,OF_lower_or_mixed_usage,
foreign_hitter,rhp_role_stabilizer,stabilize OF/DH production against right-handed pitching,role_split_context,OF_high_leverage_usage:pitcher_type:vs_right,1.6355533145085381,OPS=0.688;OBP=0.294;K%=0.195;PA=200,,,pitcher_type,vs_right,OF_high_leverage_usage,
