archetype_model_role,archetype_cluster_id,rows,seasons,success_rate,strong_success_rate,failure_rate,in_season_replaced_rate,injury_exit_rate,performance_exit_rate,renewed_next_year_rate,example_players,median_first_kbo_pa,median_first_kbo_ip,median_first_kbo_war,median_first_kbo_wrc_plus,median_first_kbo_era,median_first_kbo_k_bb_pct,archetype_name
hitter,1,12,2023-2025,0.0,0.0,1.0,1.0,0.5833333333333334,0.4166666666666667,0.0,잭 렉스 | 에디슨 러셀 | 브라이언 오그레디 | 헨리 라모스 | 데이비드 맥키넌 | 루벤 카데나스 | 멜 로하스 주니어 | 라이언 맥브룸,236.5,,0.03352122567594051,98.0936279296875,,,hitter_failure_replacement_or_low_impact
hitter,0,30,2023-2025,0.7666666666666667,0.43333333333333335,0.16666666666666666,0.0,0.0,0.0,0.43333333333333335,소크라테스 브리토 | 앤서니 알포드 | 오스틴 딘 | 제이슨 마틴 | 기예르모 에레디아 | 호세 로하스 | 니코 구드럼 | 호세 피렐라,512.5,,3.5011385679244995,132.4311981201172,,0.08294835754585306,hitter_everyday_middle_order_anchor
starter,0,10,2023-2025,0.0,0.0,1.0,1.0,1.0,0.2,0.2,딜런 파일 | 앨버트 수아레즈 | 에릭 요키시 | 버치 스미스 | 윌 크로우 | 다니엘 카스타노 | 리카르도 산체스 | 찰리 반즈,,51.66666666666667,1.0752559970457938,,4.285,,pitcher_failure_replacement_or_health_risk
starter,3,11,2023-2025,0.0,0.0,1.0,1.0,0.0,1.0,0.09090909090909091,숀 앤더슨 | 아도니스 메디나 | 보 슐서 | 댄 스트레일리 | 케이시 켈리 | 로버트 더거 | 라울 알칸타라 | 펠릭스 페냐,,66.0,1.154209860868482,,4.76,,pitcher_failure_replacement_or_health_risk
starter,2,19,2023-2025,0.05263157894736842,0.0,0.8421052631578947,0.2631578947368421,0.0,0.0,0.05263157894736842,마리오 산체스 | 토마스 파노니 | 태너 털리 | 테일러 와이드너 | 이언 매키니 | 하이메 바리아 | 조던 발라조빅 | 시라카와 케이쇼,,47.0,0.7603555099081909,,4.5600000000000005,,pitcher_failure_replacement_or_health_risk
starter,1,20,2023-2025,1.0,0.55,0.0,0.0,0.0,0.0,1.0,웨스 벤자민 | 윌리엄 쿠에바스 | 로에니스 엘리아스 | 브랜던 워델 | 애런 윌커슨 | 찰리 반즈 | 아리엘 후라도 | 라이언 와이스,,154.66666666666669,3.956892034523779,,3.275,,pitcher_load_bearing_rotation_anchor
starter,4,26,2023-2025,0.9615384615384616,0.5,0.0,0.0,0.0,0.0,0.0,아담 플럿코 | 케이시 켈리 | 에릭 페디 | 커크 맥카티 | 라울 알칸타라 | 데이비드 뷰캐넌 | 리카르도 산체스 | 펠릭스 페냐,,161.83333333333331,4.4266697333836476,,3.41,,pitcher_load_bearing_rotation_anchor
