role_model_family,archetype_cluster_id,archetype_name,archetype_signature,archetype_subtype,rows,model_ready_rows,success_rate,strong_success_rate,failure_rate,in_season_replaced_rate,injury_exit_rate,performance_exit_rate,median_first_kbo_pa,median_first_kbo_ip,median_first_kbo_war,median_hitter_quality_of_contact_score,mean_hitter_quality_of_contact_score,median_hitter_contact_discipline_floor_score,mean_hitter_contact_discipline_floor_score,median_hitter_milb_surface_power_score,mean_hitter_milb_surface_power_score,median_hitter_track_continuity_score,mean_hitter_track_continuity_score,median_hitter_ssg_pilot_screen_score,mean_hitter_ssg_pilot_screen_score,median_hitter_quality_of_contact_nonnull_features,median_hitter_contact_discipline_floor_nonnull_features,median_hitter_milb_surface_power_nonnull_features,median_hitter_track_continuity_nonnull_features,median_hitter_ssg_pilot_screen_nonnull_features,prearrival_strength_fingerprint,prearrival_risk_fingerprint,prearrival_profile_gate,release_policy,candidate_release_allowed,median_pitcher_damage_suppression_score,mean_pitcher_damage_suppression_score,median_pitcher_command_floor_score,mean_pitcher_command_floor_score,median_pitcher_raw_miss_upside_score,mean_pitcher_raw_miss_upside_score,median_pitcher_role_continuity_workload_score,mean_pitcher_role_continuity_workload_score,median_pitcher_traffic_stress_control_score,mean_pitcher_traffic_stress_control_score,median_pitcher_damage_suppression_nonnull_features,median_pitcher_command_floor_nonnull_features,median_pitcher_raw_miss_upside_nonnull_features,median_pitcher_role_continuity_workload_nonnull_features,median_pitcher_traffic_stress_control_nonnull_features
hitter,1,hitter_failure_replacement_or_low_impact,hitter_failure_replacement_or_low_impact__c1__low_impact_or_replacement_cluster,low_impact_or_replacement_cluster,12,5,0.0,0.0,1.0,0.9166666666666666,0.5,0.4166666666666667,236.5,,0.03352122567594051,0.1331461251829261,0.22616139296440826,0.055724266763139775,0.051513029116293255,0.3728186480662887,0.3104389253397842,0.17995807924138768,0.036098474769807265,1.5079066729468213,1.5079066729468213,9.0,7.0,6.0,4.0,0.0,hitter_ssg_pilot_screen:+1.51 | hitter_milb_surface_power:+0.37 | hitter_track_continuity:+0.18,hitter_contact_discipline_floor:+0.06 | hitter_quality_of_contact:+0.13 | hitter_track_continuity:+0.18,very_thin_profile_watch_only,layer2_archetype_research_only_no_candidate_release,False,,,,,,,,,,,,,,,
hitter,0,hitter_everyday_middle_order_anchor,hitter_everyday_middle_order_anchor__c0__survivor_cluster,survivor_cluster,29,17,0.7931034482758621,0.4482758620689655,0.13793103448275862,0.0,0.0,0.0,522.0,,3.5102803707122803,-0.42128240739922723,-0.264741480031024,-0.11313652972798546,-0.1888642678971928,0.17236971061334502,0.1683296136512213,0.02663289393245707,-0.04076318339776229,-0.07583387127565426,-0.015435149972393666,9.0,7.0,6.0,4.0,0.0,hitter_milb_surface_power:+0.17 | hitter_track_continuity:+0.03 | hitter_ssg_pilot_screen:-0.08,hitter_quality_of_contact:-0.42 | hitter_contact_discipline_floor:-0.11 | hitter_ssg_pilot_screen:-0.08,usable_descriptive_profile,layer2_archetype_research_only_no_candidate_release,False,,,,,,,,,,,,,,,
pitcher,0,pitcher_failure_replacement_or_health_risk,pitcher_failure_replacement_or_health_risk__c0__injury_exit_cluster,injury_exit_cluster,10,6,0.0,0.0,1.0,1.0,1.0,0.2,,51.66666666666667,1.0752559970457938,,,,,,,,,,,,,,,,pitcher_traffic_stress_control:+0.20 | pitcher_role_continuity_workload:+0.12 | pitcher_damage_suppression:+0.03,pitcher_raw_miss_upside:-0.05 | pitcher_command_floor:-0.05 | pitcher_damage_suppression:+0.03,thin_profile_use_with_caution,layer2_archetype_research_only_no_candidate_release,False,0.034783714528706974,-0.4109280334468872,-0.04989459248090343,-0.34949242945101666,-0.05047967778892152,-0.007541394384875379,0.11941900215422294,0.05241988233448001,0.2023974922848358,0.20104477908410398,5.5,4.0,3.5,7.5,2.0
pitcher,3,pitcher_failure_replacement_or_health_risk,pitcher_failure_replacement_or_health_risk__c3__performance_exit_cluster,performance_exit_cluster,11,7,0.0,0.0,1.0,1.0,0.0,1.0,,66.0,1.154209860868482,,,,,,,,,,,,,,,,pitcher_role_continuity_workload:+0.23 | pitcher_raw_miss_upside:+0.11 | pitcher_damage_suppression:+0.03,pitcher_command_floor:-0.06 | pitcher_traffic_stress_control:-0.05 | pitcher_damage_suppression:+0.03,thin_profile_use_with_caution,layer2_archetype_research_only_no_candidate_release,False,0.026012054020669056,-0.09799370712317176,-0.05887812687031702,-0.04075322389237284,0.11203591822647078,0.05692431040902628,0.23322909369920258,0.33330741724825647,-0.050514810573609306,-0.33973521686492186,8.0,6.0,5.0,10.0,3.0
pitcher,2,pitcher_failure_replacement_or_health_risk,pitcher_failure_replacement_or_health_risk__c2__low_impact_or_replacement_cluster,low_impact_or_replacement_cluster,19,10,0.05263157894736842,0.0,0.8421052631578947,0.2631578947368421,0.0,0.0,,47.0,0.7603555099081909,,,,,,,,,,,,,,,,pitcher_raw_miss_upside:+0.47 | pitcher_traffic_stress_control:+0.13 | pitcher_role_continuity_workload:+0.02,pitcher_command_floor:-0.22 | pitcher_damage_suppression:-0.04 | pitcher_role_continuity_workload:+0.02,thin_profile_use_with_caution,layer2_archetype_research_only_no_candidate_release,False,-0.04080504013504187,0.07933300669384138,-0.22348442242585342,-0.2150487122939678,0.47070537791036016,0.45085808384892034,0.020921701257000932,0.15737348567805118,0.12968975206800495,0.06497373792513352,8.0,6.0,5.0,10.0,2.0
pitcher,1,pitcher_load_bearing_rotation_anchor,pitcher_load_bearing_rotation_anchor__c1__strong_success_cluster,strong_success_cluster,20,9,1.0,0.55,0.0,0.0,0.0,0.0,,154.66666666666669,3.956892034523779,,,,,,,,,,,,,,,,pitcher_role_continuity_workload:+0.07 | pitcher_command_floor:+0.04 | pitcher_damage_suppression:-0.03,pitcher_traffic_stress_control:-0.75 | pitcher_raw_miss_upside:-0.05 | pitcher_damage_suppression:-0.03,thin_profile_use_with_caution,layer2_archetype_research_only_no_candidate_release,False,-0.03197237748147652,-0.16897611584521163,0.04414933275940911,-0.16491068555692903,-0.051976723256303495,-0.023669621584210026,0.0718127661924248,0.22922972142978124,-0.746566244525512,-0.5466435524543684,8.0,6.0,5.0,10.0,2.0
pitcher,4,pitcher_load_bearing_rotation_anchor,pitcher_load_bearing_rotation_anchor__c4__strong_success_cluster,strong_success_cluster,26,17,0.9615384615384616,0.5,0.0,0.0,0.0,0.0,,161.83333333333331,4.4266697333836476,,,,,,,,,,,,,,,,pitcher_role_continuity_workload:+0.38 | pitcher_traffic_stress_control:+0.30 | pitcher_command_floor:+0.16,pitcher_raw_miss_upside:-0.04 | pitcher_damage_suppression:+0.03 | pitcher_command_floor:+0.16,usable_descriptive_profile,layer2_archetype_research_only_no_candidate_release,False,0.026012054020669056,-0.020345318058167465,0.15661983036914237,-0.16601454720791783,-0.0425301776834097,-0.1757804081721289,0.3798903666908255,0.43625670766480135,0.30142096308364336,0.14997306681612727,8.0,6.0,5.0,10.0,2.0
