slot,rows,first_pass_gate_pass,non40man_org_candidate,dfa_designated_high_signal,medical_red_flag,mlb_active_low_access,top_score
regular_foreign_pitcher,1009,4,119,7,192,429,67.72
regular_foreign_hitter_outfield_priority,736,6,85,3,96,394,67.61
