year,file,rows,columns,size_bytes
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250508_20250514.csv.gz,27804,119,5463611
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250515_20250521.csv.gz,26414,119,5201474
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250522_20250528.csv.gz,27906,119,5485831
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250529_20250604.csv.gz,25105,119,4935346
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250605_20250611.csv.gz,28224,119,5568521
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250612_20250618.csv.gz,25166,119,4957552
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250619_20250625.csv.gz,29338,119,5771487
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250626_20250702.csv.gz,27189,119,5311812
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250703_20250709.csv.gz,27150,119,5347834
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250710_20250716.csv.gz,16461,119,3246307
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250717_20250723.csv.gz,25783,119,5083757
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250724_20250730.csv.gz,28191,119,5563475
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250731_20250806.csv.gz,26621,119,5237701
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250807_20250813.csv.gz,26868,119,5277955
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250814_20250820.csv.gz,27750,119,5426558
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250821_20250827.csv.gz,28177,119,5542928
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250828_20250903.csv.gz,28322,119,5580334
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250904_20250910.csv.gz,27272,119,5349379
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250911_20250917.csv.gz,28062,119,5514067
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250918_20250924.csv.gz,25885,119,5074353
2025,data/raw/mlb_milb/savant/statcast_mlb/statcast_20250925_20250928.csv.gz,16581,119,3244540
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260325_20260331.csv.gz,22610,119,4284834
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260401_20260407.csv.gz,27502,119,5217231
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260408_20260414.csv.gz,26969,119,5123718
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260415_20260421.csv.gz,28978,119,5501312
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260422_20260428.csv.gz,26705,119,5064502
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260429_20260505.csv.gz,27252,119,5189867
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260506_20260512.csv.gz,26409,119,5023008
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260513_20260519.csv.gz,29199,119,5580386
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260520_20260526.csv.gz,26850,119,5134791
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260527_20260602.csv.gz,26467,119,5062236
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260603_20260609.csv.gz,27381,119,5200871
2026,data/raw/mlb_milb/savant/statcast_mlb/statcast_20260610_20260611.csv.gz,0,119,687
