player_id,stat_group,sport_id,sport_level,status_code,split_count,error,source_url,collected_at
642558,pitching,12,AA,200,3,,https://statsapi.mlb.com/api/v1/people/642558/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
592644,pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/592644/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
642558,pitching,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/642558/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
658792,pitching,11,AAA,200,10,,https://statsapi.mlb.com/api/v1/people/658792/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
658792,pitching,12,AA,200,3,,https://statsapi.mlb.com/api/v1/people/658792/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
658792,pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/658792/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
658792,pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/658792/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
608365,hitting,12,AA,200,3,,https://statsapi.mlb.com/api/v1/people/608365/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
608365,hitting,11,AAA,200,4,,https://statsapi.mlb.com/api/v1/people/608365/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
658792,pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/658792/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
608365,hitting,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/608365/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
608365,hitting,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/608365/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-22T11:43:51+09:00
608365,hitting,16,Rookie,200,1,,https://statsapi.mlb.com/api/v1/people/608365/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
518852,pitching,11,AAA,200,8,,https://statsapi.mlb.com/api/v1/people/518852/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
518852,pitching,12,AA,200,5,,https://statsapi.mlb.com/api/v1/people/518852/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
518852,pitching,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/518852/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
518852,pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/518852/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
518852,pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/518852/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
605138,pitching,11,AAA,200,4,,https://statsapi.mlb.com/api/v1/people/605138/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
605138,pitching,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/605138/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
605138,pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/605138/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
605138,pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/605138/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
605138,pitching,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/605138/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
571035,pitching,14,Single-A,200,0,,https://statsapi.mlb.com/api/v1/people/571035/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
571035,pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/571035/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
571035,pitching,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/571035/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
571035,pitching,11,AAA,200,7,,https://statsapi.mlb.com/api/v1/people/571035/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
571035,pitching,16,Rookie,200,5,,https://statsapi.mlb.com/api/v1/people/571035/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
641855,pitching,12,AA,200,5,,https://statsapi.mlb.com/api/v1/people/641855/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
641855,pitching,11,AAA,200,2,,https://statsapi.mlb.com/api/v1/people/641855/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
641855,pitching,13,High-A,200,5,,https://statsapi.mlb.com/api/v1/people/641855/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
641855,pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/641855/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
641855,pitching,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/641855/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
641829,hitting,11,AAA,200,5,,https://statsapi.mlb.com/api/v1/people/641829/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
641829,hitting,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/641829/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
641829,hitting,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/641829/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-22T11:43:51+09:00
668948,pitching,11,AAA,200,4,,https://statsapi.mlb.com/api/v1/people/668948/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
641829,hitting,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/641829/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
641829,hitting,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/641829/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
668948,pitching,12,AA,200,0,,https://statsapi.mlb.com/api/v1/people/668948/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
668948,pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/668948/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
668948,pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/668948/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
623381,pitching,11,AAA,200,9,,https://statsapi.mlb.com/api/v1/people/623381/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
623381,pitching,12,AA,200,4,,https://statsapi.mlb.com/api/v1/people/623381/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
623381,pitching,13,High-A,200,3,,https://statsapi.mlb.com/api/v1/people/623381/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
668948,pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/668948/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
623381,pitching,14,Single-A,200,2,,https://statsapi.mlb.com/api/v1/people/623381/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
570240,pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/570240/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
623381,pitching,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/623381/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
570240,pitching,11,AAA,200,5,,https://statsapi.mlb.com/api/v1/people/570240/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
570240,pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/570240/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
570240,pitching,14,Single-A,200,2,,https://statsapi.mlb.com/api/v1/people/570240/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
517369,hitting,11,AAA,200,8,,https://statsapi.mlb.com/api/v1/people/517369/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
570240,pitching,16,Rookie,200,3,,https://statsapi.mlb.com/api/v1/people/570240/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
517369,hitting,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/517369/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-22T11:43:51+09:00
517369,hitting,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/517369/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
517369,hitting,12,AA,200,4,,https://statsapi.mlb.com/api/v1/people/517369/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
517369,hitting,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/517369/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
623454,pitching,11,AAA,200,5,,https://statsapi.mlb.com/api/v1/people/623454/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
623454,pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/623454/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
623454,pitching,14,Single-A,200,2,,https://statsapi.mlb.com/api/v1/people/623454/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
623454,pitching,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/623454/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
623454,pitching,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/623454/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
665180,hitting,11,AAA,200,5,,https://statsapi.mlb.com/api/v1/people/665180/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
665180,hitting,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/665180/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
665180,hitting,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/665180/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
665180,hitting,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/665180/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
665180,hitting,14,Single-A,200,3,,https://statsapi.mlb.com/api/v1/people/665180/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-22T11:43:51+09:00
571602,hitting,11,AAA,200,10,,https://statsapi.mlb.com/api/v1/people/571602/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
571602,hitting,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/571602/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
571602,hitting,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/571602/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
571602,hitting,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/571602/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
571602,hitting,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/571602/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-22T11:43:51+09:00
592692,hitting,11,AAA,200,6,,https://statsapi.mlb.com/api/v1/people/592692/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
592692,hitting,12,AA,200,4,,https://statsapi.mlb.com/api/v1/people/592692/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
592692,hitting,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/592692/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
592692,hitting,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/592692/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-22T11:43:51+09:00
592692,hitting,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/592692/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
666632,hitting,11,AAA,200,2,,https://statsapi.mlb.com/api/v1/people/666632/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
666632,hitting,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/666632/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
666632,hitting,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/666632/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
666632,hitting,16,Rookie,200,3,,https://statsapi.mlb.com/api/v1/people/666632/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
666632,hitting,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/666632/stats?stats=yearByYear&group=hitting&sportId=14,2026-06-22T11:43:51+09:00
640444,pitching,11,AAA,200,4,,https://statsapi.mlb.com/api/v1/people/640444/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
640444,pitching,12,AA,200,3,,https://statsapi.mlb.com/api/v1/people/640444/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
640444,pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/640444/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-22T11:43:51+09:00
640444,pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/640444/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
640444,pitching,16,Rookie,200,1,,https://statsapi.mlb.com/api/v1/people/640444/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-22T11:43:51+09:00
643436,hitting,11,AAA,200,3,,https://statsapi.mlb.com/api/v1/people/643436/stats?stats=yearByYear&group=hitting&sportId=11,2026-06-22T11:43:51+09:00
643436,hitting,12,AA,200,5,,https://statsapi.mlb.com/api/v1/people/643436/stats?stats=yearByYear&group=hitting&sportId=12,2026-06-22T11:43:51+09:00
643436,hitting,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/643436/stats?stats=yearByYear&group=hitting&sportId=13,2026-06-22T11:43:51+09:00
643436,hitting,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/643436/stats?stats=yearByYear&group=hitting&sportId=16,2026-06-22T11:43:51+09:00
663929,pitching,11,AAA,200,2,,https://statsapi.mlb.com/api/v1/people/663929/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-22T11:43:51+09:00
663929,pitching,12,AA,200,1,,https://statsapi.mlb.com/api/v1/people/663929/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-22T11:43:51+09:00
663929,pitching,13,High-A,200,0,,https://statsapi.mlb.com/api/v1/people/663929/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-22T11:43:51+09:00
