season,player_key,player_name,player_name_en,kbo_team,role_group,role_model_family,source_confidence_1_5,outcome_available,label_available,success,strong_success,failure,first_kbo_pa,first_kbo_ip,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,renewed_next_year,in_season_replaced,injury_exit_flag,performance_exit_flag,matched_to_savant,has_pre_kbo_savant_features,match_method,match_score,matched_savant_name,matched_savant_player_id,prior_savant_years,prior_savant_rows,prior_savant_latest_year,pre_pa,pre_pitch,pre_games,pre_start_proxy_games,pre_games_80plus_pitches,pre_games_90plus_pitches,pre_games_100plus_pitches,pre_bb_hbp_pct,pre_k_pct,pre_hr_pct,pre_woba_allowed,pre_xwoba_allowed_bbe,pre_xslg_allowed_bbe,pre_whiff_per_swing,pre_chase_rate,pre_zone_rate,pre_first_pitch_nonball_rate,pre_three_ball_pitch_rate,pre_hardhit_rate,pre_barrel_rate,pre_start_proxy_rate,pre_third_time_game_rate,pre_early_1_3_woba_allowed,pre_runner_on_base_woba_allowed,pre_risp_woba_allowed,pre_third_time_woba_allowed,pre_starter_stabilizer_score,pre_bb_pct,pre_woba,pre_zone_swing_rate,pre_nonfast_chase_rate,pre_nonfast_whiff_per_swing,pre_sweet_spot_rate,pre_air_bbe_rate,pre_same_field_air_rate_proxy,pre_low_velo_xwoba,pre_high_velo_xwoba,pre_break_off_xwoba,pre_hitter_count_xwoba,pre_ssg_message_screen_score,has_pre_kbo_milb,milb_stat_group,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_hr,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip,has_model_pre_kbo_features,model_feature_source,pre_kbo_recent_highest_level_score
2023,아담플럿코,아담 플럿코,Adam Gregory Plutko,LG,starter,pitcher,4,True,True,1,0,0,,123.33333333333331,4.443898154050806,,2.41,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,케이시켈리,케이시 켈리,Casey Patrick Kelly,LG,starter,pitcher,4,True,True,1,0,0,,178.66666666666666,3.3683585531384805,,3.83,0.0,0,0,0,True,False,exact_variant,1.0,"Kelly, Casey",543391.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,pitching,16.0,2018.0,0.0,100.0,7.0,5.0,,,,,,0.1841220584432376,0.0729247478665632,900.0,185.0,166.0,7.12,2.82,0.87,4.170414814814815,1.3760111111111109,True,milb_only,100.0
2023,제이슨마틴,제이슨 마틴,Jason Martin,NC,hitter,hitter,4,True,True,1,0,0,503.0,,3.5465073585510254,125.48999786376952,,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,에릭페디,에릭 페디,Erick James Fedde,NC,starter,pitcher,4,True,True,1,1,0,,180.33333333333337,7.631768488486962,,2.0,0.0,0,0,0,True,True,exact_variant,1.0,"Fedde, Erick",607200.0,2022,1.0,2022.0,573.0,2420.0,27.0,27.0,22.0,15.0,6.0,0.1012216404886562,0.1640488656195462,0.0366492146596858,0.3658216783216783,0.3951992746685551,0.5621238095238096,0.1709894332372718,0.2205533596837944,0.4772727272727273,0.6132404181184669,0.1024793388429752,0.4346793349168646,0.0807600950118764,1.0,0.8148148148148148,0.366056338028169,0.3755905511811024,0.3550335570469798,0.3838709677419355,47.177157396855065,,,,,,,,,,,,,,True,pitching,11.0,2022.0,2.0,100.0,1.0,0.0,,,,,,0.1891891891891892,0.054054054054054,9.0,2.0,2.0,7.0,2.0,0.0,2.0,1.1111111111111112,True,savant_and_milb,100.0
2023,태너털리,태너 털리,Tanner Paul Tully,NC,starter,pitcher,4,True,True,0,0,1,,64.66666666666667,1.8124392990837603,,2.92,0.0,0,0,0,True,True,exact_variant,1.0,"Tully, Tanner",668684.0,2022,1.0,2022.0,30.0,120.0,3.0,0.0,0.0,0.0,0.0,0.2,0.0666666666666666,0.0333333333333333,0.4568965517241379,0.4110343614718614,0.6384090909090909,0.1929824561403507,0.2542372881355932,0.475,0.5333333333333333,0.1416666666666666,0.4545454545454545,0.1363636363636363,0.0,0.0,,0.4375,0.3611111111111111,,,,,,,,,,,,,,,,True,pitching,10.0,2022.0,3.0,100.0,2.0,1.0,,,,,,0.1908023483365949,0.0567514677103718,235.0,50.0,38.0,7.468085106382978,2.2212765957446807,0.8425531914893617,4.137361702127659,1.3773617021276596,True,savant_and_milb,100.0
2023,기예르모에레디아,기예르모 에레디아,Guillermo Heredia Molina,SSG,hitter,hitter,4,True,True,1,1,0,523.0,,3.948648452758789,135.85499572753906,,1.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,로에니스엘리아스,로에니스 엘리아스,Roenis Elías,SSG,starter,pitcher,4,True,True,1,0,0,,131.33333333333334,2.9161509111133435,,3.7,1.0,0,0,0,True,True,exact_variant,1.0,"Elías, Roenis",606273.0,2022,1.0,2022.0,33.0,114.0,7.0,0.0,0.0,0.0,0.0,0.0909090909090909,0.1818181818181818,0.0303030303030303,0.2984848484848484,0.2707018229166666,0.37975,0.1612903225806451,0.3333333333333333,0.5263157894736842,0.696969696969697,0.0789473684210526,0.2916666666666667,0.0416666666666666,0.0,0.0,,0.3125,0.15,,,,,,,,,,,,,,,,True,pitching,16.0,2022.0,1.0,100.0,1.0,0.0,,,,,,0.197841726618705,0.0683453237410072,65.0,37.0,9.0,7.615384615384615,2.6307692307692307,1.1076923076923078,5.12,1.37,True,savant_and_milb,100.0
2023,커크맥카티,커크 맥카티,Kirkland Kirk McCarty,SSG,starter,pitcher,4,True,True,1,0,0,,130.0,2.8665549667166377,,3.39,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,호세로하스,호세 로하스,Jose Rojas,두산,hitter,hitter,4,True,True,1,0,0,464.0,,2.5899457931518555,133.47900390625,,0.0,0,0,0,True,True,exact_variant,1.0,josé rojas,670351.0,2022,1.0,2022.0,57.0,228.0,,,,,,,0.3333333333333333,0.0,,,,0.2442748091603053,0.4230769230769231,,,,0.3333333333333333,0.0277777777777777,,,,,,,,0.0,0.1375,0.7016129032258065,0.38,0.196078431372549,0.2222222222222222,0.3611111111111111,0.6923076923076923,0.2689195665445665,0.2533333333333333,0.3013391812865497,0.0,,True,hitting,10.0,2022.0,4.0,100.0,4.0,0.0,859.0,48.0,0.87153434225844,0.3410384167636787,0.5304959254947614,0.1932479627473806,0.0989522700814901,,,,,,,,,True,savant_and_milb,100.0
2023,딜런파일,딜런 파일,Dylan Michael File ,두산,starter,pitcher,4,True,True,0,0,1,,9.0,-0.0455230920713838,,8.0,0.0,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,라울알칸타라,라울 알칸타라,Raul Alcántara,두산,starter,pitcher,4,True,True,1,1,0,,192.0,5.360761910681514,,2.67,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,브랜던워델,브랜던 워델,Brandon David Waddell,두산,starter,pitcher,4,True,True,1,0,0,,104.66666666666669,3.3043802587696893,,2.49,1.0,0,0,0,True,False,exact_variant,1.0,"Waddell, Brandon",663399.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,pitching,12.0,2022.0,4.0,100.0,4.0,0.0,,,,,,0.2415254237288135,0.0720338983050847,56.666666666666664,45.0,0.0,9.052941176470588,2.7,0.4764705882352941,2.7002941176470587,1.3047058823529412,True,milb_only,100.0
2023,니코구드럼,니코 구드럼,Niko Goodrum,롯데,hitter,hitter,4,True,True,0,0,1,201.0,,0.4046840369701385,115.03800201416016,,0.0,0,0,0,True,True,exact_variant,1.0,niko goodrum,592348.0,2022,1.0,2022.0,45.0,204.0,,,,,,,0.5111111111111111,0.0,,,,0.4,0.3271028037383177,,,,0.35,0.05,,,,,,,,0.0444444444444444,0.1666666666666666,0.7731958762886598,0.3382352941176471,0.4693877551020407,0.25,0.5,0.4,0.4040427807486631,0.3331470588235294,0.4040427807486631,,,True,hitting,16.0,2022.0,6.0,100.0,2.0,0.0,175.0,2.0,0.7727657142857144,0.4113199999999999,0.3614457142857142,0.28,0.2171428571428571,,,,,,,,,True,savant_and_milb,100.0
2023,잭렉스,잭 렉스,Zach Reks,롯데,hitter,hitter,4,True,True,0,0,1,234.0,,0.1275708228349685,88.53040313720703,,0.0,1,1,0,True,True,exact_variant,1.0,zach reks,676646.0,2022,1.0,2022.0,34.0,114.0,,,,,,,0.2941176470588235,0.0,,,,0.234375,0.3888888888888889,,,,0.4166666666666667,0.0,,,,,,,,0.0,0.2485294117647058,0.7166666666666667,0.2916666666666667,0.375,0.3333333333333333,0.7083333333333334,0.4117647058823529,0.3774166666666667,0.2903809523809524,0.4753999999999999,0.008,,True,hitting,9.0,2022.0,2.0,100.0,2.0,0.0,519.0,25.0,0.94231021194605,0.3925202312138728,0.5497899807321773,0.2774566473988439,0.117533718689788,,,,,,,,,True,savant_and_milb,100.0
2023,댄스트레일리,댄 스트레일리,Dan Straily,롯데,starter,pitcher,4,True,True,0,0,1,,80.33333333333333,1.383691539182602,,4.37,0.0,1,0,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,애런윌커슨,애런 윌커슨,Aaron Wilkerson,롯데,starter,pitcher,4,True,True,1,0,0,,79.66666666666667,2.6006923799920387,,2.26,1.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,찰리반즈,찰리 반즈,Charlie Barnes,롯데,starter,pitcher,4,True,True,1,1,0,,170.33333333333334,4.848692380806146,,3.28,1.0,0,0,0,True,False,exact_variant,1.0,"Barnes, Charlie",656212.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,pitching,7.0,2021.0,1.0,100.0,1.0,0.0,,,,,,0.191358024691358,0.074074074074074,76.0,16.0,16.0,7.342105263157895,2.8421052631578947,0.8289473684210527,3.79,1.2800000000000002,True,milb_only,100.0
2023,호세피렐라,호세 피렐라,José Manuel Pirela,삼성,hitter,hitter,4,True,True,0,0,0,605.0,,0.6626286506652832,107.88999938964844,,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,데이비드뷰캐넌,데이비드 뷰캐넌,David Andrew Buchanan,삼성,starter,pitcher,4,True,True,1,1,0,,188.0,5.569783352978143,,2.54,0.0,0,0,0,True,False,exact_variant,1.0,"Buchanan, David",571527.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,pitching,9.0,2016.0,0.0,100.0,4.0,2.0,,,,,,0.1497067954467057,0.0689893066574681,687.3333333333334,117.0,116.0,5.682832201745877,2.6188166828322017,0.7070805043646944,3.823215324927255,1.3049224054316195,True,milb_only,100.0
2023,앨버트수아레즈,앨버트 수아레즈,Albert Joe Suárez,삼성,starter,pitcher,4,True,True,0,0,1,,108.0,2.198985971289452,,3.92,0.0,1,1,0,True,False,exact_variant,1.0,"Suárez, Albert",544150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,pitching,15.0,2018.0,0.0,100.0,3.0,3.0,,,,,,0.1645324020178502,0.0675203725261932,611.3333333333334,148.0,115.0,6.2420937840785164,2.5616139585605233,0.7508178844056707,3.665229007633587,1.272453653217012,True,milb_only,100.0
2023,테일러와이드너,테일러 와이드너,Taylor Browning Widener,삼성,starter,pitcher,4,True,True,0,0,1,,53.333333333333336,0.7817445393451516,,4.5600000000000005,0.0,0,0,0,True,True,exact_variant,1.0,"Widener, Taylor",642203.0,2022,1.0,2022.0,82.0,333.0,14.0,0.0,0.0,0.0,0.0,0.0975609756097561,0.1707317073170731,0.024390243902439,0.3543209876543209,0.3535704104758829,0.5411166666666667,0.1839080459770115,0.3161290322580645,0.5225225225225225,0.6144578313253012,0.069069069069069,0.4000000000000001,0.0666666666666666,0.0,0.0,,0.3127906976744186,0.34375,,,,,,,,,,,,,,,,True,pitching,8.0,2022.0,4.0,100.0,2.0,0.0,,,,,,0.2957746478873239,0.0657276995305164,48.0,30.0,3.0,11.8125,2.625,1.6875,6.188055555555555,1.5019444444444443,True,savant_and_milb,100.0
2023,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitter,4,True,True,1,0,0,261.0,,1.766088843345642,147.02200317382812,,1.0,0,0,0,True,True,exact_variant,1.0,ronnie dawson,669008.0,2022,1.0,2022.0,3.0,15.0,,,,,,,0.6666666666666666,0.0,,,,0.2857142857142857,0.5454545454545454,,,,1.0,0.0,,,,,,,,0.0,0.0,0.25,0.7142857142857143,0.2,0.0,0.0,,0.333,,0.333,,,True,hitting,8.0,2022.0,2.0,100.0,2.0,0.0,855.0,18.0,0.7244315789473684,0.3399520467836257,0.3844795321637427,0.2292397660818713,0.1029239766081871,,,,,,,,,True,savant_and_milb,100.0
2023,에디슨러셀,에디슨 러셀,Addison Wayne Russell,키움,hitter,hitter,4,True,True,0,0,1,239.0,,1.0204066038131714,106.44100189208984,,0.0,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,아리엘후라도,아리엘 후라도,Ariel Bolívar Jurado Agrazal,키움,starter,pitcher,4,True,True,1,1,0,,183.66666666666663,5.876200112803231,,2.65,1.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,에릭요키시,에릭 요키시,Eric Spenser Jokisch,키움,starter,pitcher,4,True,True,0,0,1,,65.66666666666667,0.658504609431179,,4.39,1.0,1,1,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,이언매키니,이언 매키니,Ian McKinney,키움,starter,pitcher,4,True,True,0,0,1,,59.333333333333336,-0.2654385508946237,,6.52,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,닉윌리엄스,닉 윌리엄스,Nick Williams,한화,hitter,hitter,4,True,True,0,0,1,273.0,,-0.5914393663406372,78.50509643554688,,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,브라이언오그레디,브라이언 오그레디,Brian O'Grady,한화,hitter,hitter,4,True,True,0,0,1,86.0,,-0.9236897230148317,-20.75860023498535,,0.0,1,1,1,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,리카르도산체스,리카르도 산체스,Ricardo Jose Sánchez,한화,starter,pitcher,4,True,True,1,0,0,,126.0,2.201795138319131,,3.79,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2023,버치스미스,버치 스미스,Burch Taylor Smith,한화,starter,pitcher,4,True,True,0,0,1,,2.6666666666666665,0.0898003949362863,,6.75,0.0,1,1,0,True,False,exact_variant,1.0,"Smith, Burch",572143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,pitching,12.0,2021.0,1.0,100.0,1.0,0.0,,,,,,0.2413793103448276,0.1379310344827586,5.333333333333333,4.0,0.0,11.8125,6.75,5.0625,10.13,2.44,True,milb_only,100.0
2023,펠릭스페냐,펠릭스 페냐,Félix Ricardo Peña,한화,starter,pitcher,4,True,True,1,0,0,,177.33333333333334,3.698220895864764,,3.6,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
2024,소크라테스브리토,소크라테스 브리토,Sócrates Orel Brito,KIA,hitter,hitter,4,True,True,1,0,0,602.0,,3.535667181015014,121.21900177001952,,0.0,0,0,0,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,,,,,False,none,
