slot,message_theme,theme_plain_english,evidence_rows,total_anomaly_score,max_anomaly_score,top_units,top_metric_snapshots,message_priority_score
foreign_pitcher,run_prevention_stabilizer,raise the floor of run prevention across contexts,5,52.73833333333333,11.5,pitcher_type:vs_right_orthodox | home_away:away | outs:0_out | outs:2_out | count:3B_1S,ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=10.0;TBF=1281 | ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=8.0;TBF=1269 | ERA_rank=10.0;WHIP_rank=9.0;OPS_allowed_rank=8.0;TBF=873,58.48833333333333
foreign_pitcher,traffic_command_starter,prevent innings from exploding after traffic appears,5,46.02777777777778,11.38888888888889,runner:risp | runner:runner_on_base | runner:no_runner | runner:on_second | runner:bases_loaded,ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=10.0;TBF=754 | ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=10.0;TBF=1274 | ERA_rank=3.0;WHIP_rank=9.0;OPS_allowed_rank=6.0;TBF=1226,51.72222222222222
foreign_hitter,context_runway_bat,add offense in SSG-specific weak game states,5,29.915555555555557,6.388888888888889,outs:2_out | inning:early_1_3 | home_away:away | overall:all | runner:bases_loaded,OPS_rank=8.0;OBP_rank=6.0;OPS=0.72;PA=784 | OPS_rank=8.0;OBP_rank=7.0;OPS=0.699;PA=795 | OPS_rank=7.0;OBP_rank=6.0;OPS=0.736;PA=1292,33.11
foreign_pitcher,abs_native_load_bearing_starter,turn short starts into repeatable 5-6 inning starts,3,20.383424408014573,11.38888888888889,inning:early_1_3 | starter | short_start_bullpen_compression,ERA_rank=10.0;WHIP_rank=10.0;OPS_allowed_rank=10.0;TBF=859 | ERA=5.68;WHIP=1.6;OPS_allowed=0.783;outs/start=13.6 | short_start_rate=0.426;disaster_start_rate=0.328;avg_bullpen_ip=4.25;games=61,26.07786885245902
foreign_hitter,first_base_traffic_converter,turn runner-on-first states into scoring-position pressure,5,21.552591374347237,8.38888888888889,runner:on_first | runner:runner_on_base | OF_high_leverage_usage:lt2_out_on_first | OF_high_leverage_usage:on_first | OF_lower_or_mixed_usage:lt2_out_on_first,OPS_rank=10.0;OBP_rank=10.0;OPS=0.649;PA=462 | OPS_rank=6.0;OBP_rank=6.0;OPS=0.756;PA=1162 | OPS=0.384;OBP=0.22;GDP/PA=0.103;PA=58,25.74703581879168
foreign_hitter,rhp_role_stabilizer,stabilize OF/DH production against right-handed pitching,5,20.409883615420895,5.611111111111112,pitcher_type:vs_right_orthodox | pitcher_type:vs_right_under | pitcher_type:vs_right | DH_primary_or_bridge:pitcher_type:vs_right_orthdodx | DH_primary_or_bridge:pitcher_type:vs_right,OPS_rank=6.0;OBP_rank=8.0;OPS=0.749;PA=1789 | OPS_rank=6.0;OBP_rank=5.0;OPS=0.712;PA=55 | OPS_rank=5.0;OBP_rank=7.0;OPS=0.748;PA=1844,23.215439170976452
foreign_hitter,two_strike_survival_bat,reduce replacement-slot collapse after two strikes,5,18.25614455239483,5.277777777777778,count:1B_2S | count:3B_2S | DH_primary_or_bridge:terminal_count:2B_2S | OF_lower_or_mixed_usage:terminal_count:1B_2S | DH_primary_or_bridge:after_count:after_0B_2S,OPS_rank=7.0;OBP_rank=8.0;OPS=0.432;PA=385 | OPS_rank=4.0;OBP_rank=2.0;OPS=0.864;PA=311 | OPS=0.194;OBP=0.097;K%=0.677;PA=31,20.89503344128372
foreign_hitter,of_dh_bridge_bat,repair the replacement-relevant OF/DH bridge,5,9.79788322534278,2.022796052631579,DH_primary_or_bridge:day:0 | DH_primary_or_bridge:after_count:after_0B_1S | DH_primary_or_bridge:score_context:tied_game | DH_primary_or_bridge:terminal_count:0B_0S | DH_primary_or_bridge:score_context:within_three_run,OPS=0.367;OBP=0.211;K%=0.368;PA=38 | OPS=0.626;OBP=0.328;K%=0.379;PA=177 | OPS=0.42;OBP=0.25;K%=0.385;PA=52,10.80928125165857
asian_quota,option_layer_shock_absorber,protect the roster when starters compress bullpen workload,1,2.1111111111111107,2.1111111111111107,bullpen,ERA=5.1;WHIP=1.52;OPS_allowed=0.736;outs/start=nan,3.166666666666666
