query_p_no,p_name,role_segment,split_family,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa,context_need_score
10815,한유섬,OF_lower_or_mixed_usage,location,Home,location/Home,1,57,49,3,6,0,0,0,6,0,7,1,18,2,0,0.0,0.12244897959183673,0.24561403508771928,0.12244897959183673,0.36806301467955604,0.0,0.12280701754385964,0.3157894736842105,0.0,0.0,3.193172216254923
15530,에레디아,OF_high_leverage_usage,location,Home,location/Home,1,131,120,12,28,1,0,6,47,26,9,1,26,1,1,0.0,0.23333333333333334,0.2900763358778626,0.39166666666666666,0.6817430025445292,0.15833333333333333,0.06870229007633588,0.1984732824427481,0.04580152671755725,0.1984732824427481,3.1861323155216286
15530,에레디아,OF_high_leverage_usage,pitcher_type,vs_right,type/0/vs_right,1,200,185,18,46,6,0,7,73,31,10,3,39,4,3,0.0,0.24864864864864866,0.2935323383084577,0.3945945945945946,0.6881269329030524,0.14594594594594595,0.05,0.195,0.035,0.155,3.156084442651607
15530,에레디아,OF_high_leverage_usage,score_context,within_two_run,situation/3/within_two_run,1,178,163,19,39,6,0,6,63,28,12,2,36,3,2,0.0,0.2392638036809816,0.29608938547486036,0.38650306748466257,0.6825924529595229,0.14723926380368096,0.06741573033707865,0.20224719101123595,0.033707865168539325,0.15730337078651685,3.1543681667066523
10643,김재환,DH_primary_or_bridge,location,Away,location/Away,1,117,97,11,20,2,0,4,34,16,19,1,32,1,0,1.0,0.20618556701030927,0.3418803418803419,0.35051546391752575,0.6923958057978676,0.14432989690721648,0.1623931623931624,0.27350427350427353,0.03418803418803419,0.13675213675213677,3.1457212089170854
10815,한유섬,OF_lower_or_mixed_usage,score_context,within_two_run,situation/3/within_two_run,1,73,61,5,11,1,0,0,12,1,11,1,24,1,0,0.0,0.18032786885245902,0.3150684931506849,0.19672131147540983,0.5117898046260947,0.01639344262295081,0.1506849315068493,0.3287671232876712,0.0,0.0136986301369863,3.1307126281907327
15530,에레디아,OF_high_leverage_usage,terminal_count,2B_2S,ballCount/0/2B_2S,1,37,36,3,6,1,0,0,7,3,0,1,16,0,0,0.0,0.16666666666666666,0.1891891891891892,0.19444444444444445,0.3836336336336337,0.02777777777777779,0.0,0.43243243243243246,0.0,0.08108108108108109,3.1274174174174174
15530,에레디아,OF_high_leverage_usage,score_context,within_one_run,situation/2/within_one_run,1,129,122,13,31,5,0,4,48,21,7,1,30,2,0,0.0,0.2540983606557377,0.3,0.39344262295081966,0.6934426229508197,0.13934426229508196,0.05426356589147287,0.23255813953488372,0.031007751937984496,0.16279069767441862,3.1207891727030117
10815,한유섬,OF_lower_or_mixed_usage,runner_context,no_runner,runner/9/no_runner,1,59,52,4,8,1,0,0,9,0,5,2,19,0,0,0.0,0.15384615384615385,0.2542372881355932,0.17307692307692307,0.4273142112125163,0.019230769230769218,0.0847457627118644,0.3220338983050847,0.0,0.0,3.116953498478922
14587,최지훈,OF_lower_or_mixed_usage,score_context,within_one_run,situation/2/within_one_run,1,110,97,17,22,5,1,3,38,12,10,1,14,1,2,0.0,0.2268041237113402,0.3,0.3917525773195876,0.6917525773195876,0.16494845360824742,0.09090909090909091,0.12727272727272726,0.02727272727272727,0.10909090909090909,3.1164948453608248
10643,김재환,DH_primary_or_bridge,score_context,tied_game,situation/1/tied_game,1,52,47,2,8,0,0,0,8,4,4,1,20,0,0,0.0,0.1702127659574468,0.25,0.1702127659574468,0.42021276595744683,0.0,0.07692307692307693,0.38461538461538464,0.0,0.07692307692307693,3.1067539552645935
10643,김재환,DH_primary_or_bridge,runner_context,runner_on_base,runner/8/runner_on_base,1,122,98,10,22,0,0,4,34,24,23,0,32,3,1,0.0,0.22448979591836735,0.36885245901639346,0.3469387755102041,0.7157912345265975,0.12244897959183673,0.1885245901639344,0.26229508196721313,0.03278688524590164,0.19672131147540983,3.0968852459016394
14587,최지훈,OF_lower_or_mixed_usage,score_context,within_two_run,situation/3/within_two_run,1,156,138,24,31,7,1,5,55,17,14,2,18,3,2,0.0,0.2246376811594203,0.30128205128205127,0.39855072463768115,0.6998327759197325,0.17391304347826086,0.08974358974358974,0.11538461538461539,0.03205128205128205,0.10897435897435898,3.0939241917502787
14587,최지훈,OF_lower_or_mixed_usage,location,Home,location/Home,1,114,101,18,22,3,0,7,46,14,12,1,14,4,0,4.0,0.21782178217821782,0.30701754385964913,0.45544554455445546,0.7624630884141046,0.23762376237623764,0.10526315789473684,0.12280701754385964,0.06140350877192982,0.12280701754385964,3.0649122807017544
14587,최지훈,OF_lower_or_mixed_usage,runner_context,no_runner,runner/9/no_runner,1,127,117,20,29,4,3,4,51,4,9,1,15,0,0,0.0,0.24786324786324787,0.30708661417322836,0.4358974358974359,0.7429840500706643,0.18803418803418803,0.07086614173228346,0.11811023622047244,0.031496062992125984,0.031496062992125984,3.0645669291338584
15530,에레디아,OF_high_leverage_usage,runner_context,no_runner,runner/9/no_runner,1,128,120,16,32,6,0,6,56,6,6,2,22,0,0,0.0,0.26666666666666666,0.3125,0.4666666666666667,0.7791666666666667,0.2,0.046875,0.171875,0.046875,0.046875,3.0375
15530,에레디아,OF_high_leverage_usage,score_context,tied_game,situation/1/tied_game,1,72,67,6,12,1,0,3,22,11,5,1,16,2,0,0.0,0.1791044776119403,0.2465753424657534,0.3283582089552239,0.5749335514209772,0.1492537313432836,0.06944444444444445,0.2222222222222222,0.041666666666666664,0.1527777777777778,3.0172561848292783
15530,에레디아,OF_high_leverage_usage,runner_context,runner_on_base,runner/8/runner_on_base,1,141,125,12,33,2,0,4,47,44,11,2,25,6,4,0.0,0.264,0.323943661971831,0.376,0.699943661971831,0.11199999999999999,0.07801418439716312,0.1773049645390071,0.028368794326241134,0.3120567375886525,3.0001126760563377
15530,에레디아,OF_high_leverage_usage,location,Away,location/Away,1,139,125,16,37,7,0,4,56,24,8,3,21,5,3,1.0,0.296,0.34532374100719426,0.448,0.7933237410071943,0.15200000000000002,0.05755395683453238,0.1510791366906475,0.02877697841726619,0.17266187050359713,3.0
15530,에레디아,OF_high_leverage_usage,terminal_count,0B_2S,ballCount/0/0B_2S,1,20,20,1,3,0,0,1,6,2,0,0,11,0,0,0.0,0.15,0.15,0.3,0.44999999999999996,0.15,0.0,0.55,0.05,0.1,2.9766666666666666
15530,에레디아,OF_high_leverage_usage,runner_context,risp,runner/7/risp,1,89,80,6,27,2,0,4,41,44,6,0,14,3,4,0.0,0.3375,0.36666666666666664,0.5125,0.8791666666666667,0.17499999999999993,0.06741573033707865,0.15730337078651685,0.0449438202247191,0.4943820224719101,2.966666666666667
14587,최지훈,OF_lower_or_mixed_usage,terminal_count,1B_2S,ballCount/0/1B_2S,1,32,32,1,5,0,0,1,8,5,0,0,10,0,0,0.0,0.15625,0.15625,0.25,0.40625,0.09375,0.0,0.3125,0.03125,0.15625,2.7204166666666665
10815,한유섬,OF_lower_or_mixed_usage,score_context,within_one_run,situation/2/within_one_run,1,56,44,3,6,0,0,0,6,0,11,1,18,0,0,0.0,0.13636363636363635,0.32142857142857145,0.13636363636363635,0.4577922077922078,0.0,0.19642857142857142,0.32142857142857145,0.0,0.0,2.6253679653679654
10815,한유섬,OF_lower_or_mixed_usage,terminal_count,0B_2S,ballCount/0/0B_2S,1,8,8,1,2,0,0,0,2,0,0,0,6,0,0,0.0,0.25,0.25,0.25,0.5,0.0,0.0,0.75,0.0,0.0,2.5766666666666667
14587,최지훈,OF_lower_or_mixed_usage,runner_context,risp,runner/7/risp,1,71,60,10,12,4,0,3,25,23,7,1,11,4,3,0.0,0.2,0.28169014084507044,0.4166666666666667,0.6983568075117371,0.21666666666666667,0.09859154929577464,0.15492957746478872,0.04225352112676056,0.323943661971831,2.56150234741784
15530,에레디아,OF_high_leverage_usage,pitcher_type,vs_left,type/0/vs_left,1,69,60,10,19,2,0,3,30,19,7,1,8,2,1,0.0,0.31666666666666665,0.391304347826087,0.5,0.8913043478260869,0.18333333333333335,0.10144927536231885,0.11594202898550725,0.043478260869565216,0.2753623188405797,2.3
10643,김재환,DH_primary_or_bridge,runner_context,risp,runner/7/risp,1,67,50,9,15,0,0,3,24,22,16,0,13,0,1,0.0,0.3,0.4626865671641791,0.48,0.9426865671641791,0.18,0.23880597014925373,0.19402985074626866,0.04477611940298507,0.3283582089552239,2.2333333333333334
10815,한유섬,OF_lower_or_mixed_usage,runner_context,runner_on_base,runner/8/runner_on_base,1,57,43,4,8,0,0,0,8,3,13,0,11,6,1,0.0,0.18604651162790697,0.3684210526315789,0.18604651162790697,0.5544675642594858,0.0,0.22807017543859648,0.19298245614035087,0.0,0.05263157894736842,2.191064871481028
10815,한유섬,OF_lower_or_mixed_usage,location,Away,location/Away,1,59,46,5,10,1,0,0,11,3,11,1,12,4,1,1.0,0.21739130434782608,0.3728813559322034,0.2391304347826087,0.6120117907148122,0.021739130434782622,0.1864406779661017,0.2033898305084746,0.0,0.05084745762711865,2.142643085237042
10815,한유섬,OF_lower_or_mixed_usage,score_context,tied_game,situation/1/tied_game,1,30,23,1,2,0,0,0,2,0,6,1,11,0,0,0.0,0.08695652173913043,0.3,0.08695652173913043,0.3869565217391304,0.0,0.2,0.36666666666666664,0.0,0.0,2.136086956521739
14587,최지훈,OF_lower_or_mixed_usage,pitcher_type,vs_left,type/0/vs_left,1,59,57,9,17,2,1,2,27,7,1,0,9,2,1,0.0,0.2982456140350877,0.3050847457627119,0.47368421052631576,0.7787689562890276,0.17543859649122806,0.01694915254237288,0.15254237288135594,0.03389830508474576,0.11864406779661017,2.041242937853107
13128,최준우,OF_lower_or_mixed_usage,pitcher_type,vs_left,type/0/vs_left,1,6,5,0,0,0,0,0,0,0,1,0,1,0,0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,2.033333333333333
13128,최준우,OF_lower_or_mixed_usage,runner_context,risp,runner/7/risp,1,10,9,0,1,0,0,0,1,0,1,0,3,0,0,0.0,0.1111111111111111,0.2,0.1111111111111111,0.3111111111111111,0.0,0.1,0.3,0.0,0.0,1.921111111111111
14587,최지훈,OF_lower_or_mixed_usage,terminal_count,0B_2S,ballCount/0/0B_2S,1,32,32,4,7,0,0,1,10,3,0,0,7,2,0,0.0,0.21875,0.21875,0.3125,0.53125,0.09375,0.0,0.21875,0.03125,0.09375,1.9104166666666667
10643,김재환,DH_primary_or_bridge,terminal_count,3B_2S,ballCount/0/3B_2S,1,46,26,6,4,1,0,0,5,1,20,0,16,0,0,0.0,0.15384615384615385,0.5217391304347826,0.19230769230769232,0.7140468227424749,0.038461538461538464,0.43478260869565216,0.34782608695652173,0.0,0.021739130434782608,1.8868115942028987
14153,채현우,OF_lower_or_mixed_usage,runner_context,no_runner,runner/9/no_runner,1,23,22,2,5,1,0,0,6,0,1,0,9,0,0,0.0,0.22727272727272727,0.2608695652173913,0.2727272727272727,0.5335968379446641,0.04545454545454544,0.043478260869565216,0.391304347826087,0.0,0.0,1.8790382081686428
14587,최지훈,OF_lower_or_mixed_usage,score_context,tied_game,situation/1/tied_game,1,49,41,5,9,2,1,0,13,4,6,0,6,0,2,0.0,0.21951219512195122,0.30612244897959184,0.3170731707317073,0.6231956197112991,0.0975609756097561,0.12244897959183673,0.12244897959183673,0.0,0.08163265306122448,1.8563298490127758
14153,채현우,OF_lower_or_mixed_usage,terminal_count,1B_2S,ballCount/0/1B_2S,1,11,11,1,3,0,0,1,6,3,0,0,7,0,0,0.0,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.8181818181818181,0.2727272727272727,0.0,0.6363636363636364,0.09090909090909091,0.2727272727272727,1.8221212121212123
