query_p_no,p_name,role_segment,split_family,split_label,bucket_path,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa,context_need_score
14587,최지훈,OF_lower_or_mixed_usage,terminal_count,3B_2S,ballCount/0/3B_2S,1,34,24,6,5,2,0,1,10,5,9,0,6,0,1,0.0,0.20833333333333334,0.4117647058823529,0.4166666666666667,0.8284313725490196,0.20833333333333334,0.2647058823529412,0.17647058823529413,0.029411764705882353,0.14705882352941177,1.1333333333333333
14153,채현우,OF_lower_or_mixed_usage,score_context,within_two_run,situation/3/within_two_run,1,24,23,5,7,2,0,1,12,6,0,0,7,0,1,0.0,0.30434782608695654,0.2916666666666667,0.5217391304347826,0.8134057971014492,0.21739130434782605,0.0,0.2916666666666667,0.041666666666666664,0.25,1.1266666666666667
13128,최준우,OF_lower_or_mixed_usage,terminal_count,2B_2S,ballCount/0/2B_2S,1,9,9,0,2,1,0,0,3,0,0,0,1,0,0,0.0,0.2222222222222222,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,1.0777777777777777
13128,최준우,OF_lower_or_mixed_usage,pitcher_type,vs_right,type/0/vs_right,1,32,25,8,9,2,0,0,11,0,7,0,5,0,0,0.0,0.36,0.5,0.44,0.94,0.08000000000000002,0.21875,0.15625,0.0,0.0,1.0666666666666667
13128,최준우,OF_lower_or_mixed_usage,pitcher_type,vs_right_orthdodx,type/1/vs_right_orthdodx,1,31,24,8,9,2,0,0,11,0,7,0,5,0,0,0.0,0.375,0.5161290322580645,0.4583333333333333,0.9744623655913978,0.08333333333333331,0.22580645161290322,0.16129032258064516,0.0,0.0,1.0333333333333334
10815,한유섬,OF_lower_or_mixed_usage,score_context,2_out_risp,situation/0/2_out_risp,1,20,12,0,1,0,0,0,1,2,8,0,3,0,0,0.0,0.08333333333333333,0.45,0.08333333333333333,0.5333333333333333,0.0,0.4,0.15,0.0,0.1,0.9999999999999999
11153,김성욱,OF_lower_or_mixed_usage,pitcher_type,vs_left,type/0/vs_left,1,24,19,4,4,1,0,1,8,1,4,1,7,0,0,0.0,0.21052631578947367,0.375,0.42105263157894735,0.7960526315789473,0.21052631578947367,0.16666666666666666,0.2916666666666667,0.041666666666666664,0.041666666666666664,0.9850000000000001
14153,채현우,OF_lower_or_mixed_usage,pitcher_type,vs_left,type/0/vs_left,1,21,19,2,6,2,0,1,11,5,1,0,6,0,1,0.0,0.3157894736842105,0.3333333333333333,0.5789473684210527,0.9122807017543859,0.26315789473684215,0.047619047619047616,0.2857142857142857,0.047619047619047616,0.23809523809523808,0.867142857142857
11153,김성욱,OF_lower_or_mixed_usage,score_context,within_one_run,situation/2/within_one_run,1,23,18,4,5,1,0,0,6,2,3,1,6,0,1,0.0,0.2777777777777778,0.391304347826087,0.3333333333333333,0.7246376811594203,0.055555555555555525,0.13043478260869565,0.2608695652173913,0.0,0.08695652173913043,0.8592753623188406
11153,김성욱,OF_lower_or_mixed_usage,runner_context,risp,runner/7/risp,1,17,13,0,3,0,0,0,3,5,3,0,3,0,1,0.0,0.23076923076923078,0.35294117647058826,0.23076923076923078,0.583710407239819,0.0,0.17647058823529413,0.17647058823529413,0.0,0.29411764705882354,0.7992458521870285
