target,model,folds,mean_auc,mean_brier,mean_logloss,mean_accuracy_at_0_5,mean_precision_top_25pct,mean_precision_top_33pct,global_prior_mean_brier,global_prior_precision_top_25pct,brier_lift_vs_global,top25_precision_lift_vs_global,promotion_status
failure,global_prior,4,0.5,0.2627297272116751,0.7293229920739399,0.6028704822309474,0.38636363636363635,0.4119047619047619,0.2627297272116751,0.38636363636363635,0.0,0.0,do_not_promote
failure,role_prior,4,0.6319054580896686,0.2687681537694825,0.9051382827283093,0.6862038155642807,0.5454545454545454,0.555952380952381,0.2627297272116751,0.38636363636363635,-0.006038426557807397,0.15909090909090906,do_not_promote
failure,team_role_prior,4,0.5611634990253411,0.2740960875069681,0.7922252018167851,0.6147752441357093,0.5,0.48809523809523814,0.2627297272116751,0.38636363636363635,-0.011366360295293032,0.11363636363636365,do_not_promote
failure,recent_role_prior,4,0.6319054580896686,0.23884339927925935,0.7921902288398244,0.6862038155642807,0.5454545454545454,0.555952380952381,0.2627297272116751,0.38636363636363635,0.02388632793241574,0.15909090909090906,promote_as_baseline_to_beat
failure,prev_season_team_role_prior,4,0.5592598684210526,0.24554690755324268,0.6816427942102415,0.5802753448102285,0.45454545454545453,0.4726190476190476,0.2627297272116751,0.38636363636363635,0.017182819658432408,0.06818181818181818,promote_as_baseline_to_beat
success,global_prior,4,0.5,0.2616387603400127,0.7179905699766607,0.5334868619752341,0.47727272727272724,0.42976190476190473,0.2616387603400127,0.47727272727272724,0.0,0.0,do_not_promote
success,role_prior,4,0.5586759955799226,0.23589417926522355,0.6534487991066971,0.5334868619752341,0.5227272727272727,0.4797619047619047,0.2616387603400127,0.47727272727272724,0.025744581074789163,0.04545454545454547,promote_as_baseline_to_beat
success,team_role_prior,4,0.5803693713077479,0.2522409260216387,0.7006126857910389,0.5401062116178396,0.5909090909090909,0.5357142857142857,0.2616387603400127,0.47727272727272724,0.009397834318373988,0.1136363636363637,promote_as_baseline_to_beat
success,recent_role_prior,4,0.5190793807641634,0.23704168320724092,0.6546668746964496,0.5221232256115977,0.40909090909090906,0.4476190476190476,0.2616387603400127,0.47727272727272724,0.02459707713277179,-0.06818181818181818,watch
success,prev_season_team_role_prior,4,0.46598273672914275,0.25946627225051505,0.7150431177016114,0.505209906372697,0.43181818181818177,0.4666666666666667,0.2616387603400127,0.47727272727272724,0.0021724880894976595,-0.04545454545454547,watch
