validation_scheme,role_model_family,target,model,folds,total_valid_rows,mean_feature_count,mean_auc,mean_brier,mean_logloss,mean_precision_top_25pct,mean_precision_top_33pct,role_prior_mean_brier,role_prior_precision_top_25pct,brier_lift_vs_role_prior,top25_precision_lift_vs_role_prior,promotion_status
repeated_stratified_cv,hitter,failure,role_prior,90,660,31.877777777777776,0.5,0.23526832955404384,0.6638179115398375,0.31666666666666665,0.4037037037037037,0.23526832955404384,0.31666666666666665,0.0,0.0,baseline
repeated_stratified_cv,hitter,failure,ridge_logit,90,660,31.877777777777776,0.62,0.28475540574515706,0.9463965319508492,0.4222222222222222,0.4925925925925925,0.23526832955404384,0.31666666666666665,-0.04948707619111323,0.10555555555555557,do_not_promote
repeated_stratified_cv,hitter,failure,balanced_ridge_logit,90,660,31.877777777777776,0.6201851851851852,0.28565002123910876,0.9555017718715048,0.4222222222222222,0.4925925925925925,0.23526832955404384,0.31666666666666665,-0.05038169168506493,0.10555555555555557,do_not_promote
repeated_stratified_cv,hitter,success,role_prior,90,660,31.88888888888889,0.5,0.24289115646258505,0.6788964446241305,0.6777777777777778,0.6222222222222222,0.24289115646258505,0.6777777777777778,0.0,0.0,baseline
repeated_stratified_cv,hitter,success,ridge_logit,90,660,31.88888888888889,0.6828703703703703,0.2559793382555232,0.8092520221392548,0.7555555555555555,0.7370370370370369,0.24289115646258505,0.6777777777777778,-0.013088181792938164,0.07777777777777772,do_not_promote
repeated_stratified_cv,hitter,success,balanced_ridge_logit,90,660,31.88888888888889,0.6819444444444445,0.2576735983228099,0.810314491163787,0.75,0.7370370370370369,0.24289115646258505,0.6777777777777778,-0.014782441860224843,0.07222222222222219,do_not_promote
repeated_stratified_cv,pitcher,failure,hist_gradient_boosting,90,1470,39.71111111111111,0.5,0.2451386216217433,0.6833975548353348,0.4822222222222222,0.4962962962962963,0.2451386216217433,0.4822222222222222,0.0,0.0,do_not_promote
repeated_stratified_cv,pitcher,failure,role_prior,90,1470,39.71111111111111,0.5,0.2451386216217433,0.6833975548353348,0.4822222222222222,0.4962962962962963,0.2451386216217433,0.4822222222222222,0.0,0.0,baseline
repeated_stratified_cv,pitcher,failure,shallow_random_forest,90,1470,39.71111111111111,0.552883597883598,0.2578693041719382,0.7160912808623305,0.4872222222222222,0.512962962962963,0.2451386216217433,0.4822222222222222,-0.01273068255019491,0.0050000000000000044,do_not_promote
repeated_stratified_cv,pitcher,failure,ridge_logit,90,1470,39.71111111111111,0.4159611992945326,0.370204492835558,1.1572297446689135,0.39055555555555554,0.37407407407407406,0.2451386216217433,0.4822222222222222,-0.1250658712138147,-0.09166666666666667,do_not_promote
repeated_stratified_cv,pitcher,failure,balanced_ridge_logit,90,1470,39.71111111111111,0.41475308641975306,0.3764761569876533,1.1692550898379503,0.385,0.37407407407407406,0.2451386216217433,0.4822222222222222,-0.13133753536591,-0.09722222222222221,do_not_promote
repeated_stratified_cv,pitcher,success,hist_gradient_boosting,90,1470,39.766666666666666,0.5,0.25015304560759105,0.6934534123989695,0.4688888888888889,0.46111111111111114,0.25015304560759105,0.4688888888888889,0.0,0.0,do_not_promote
repeated_stratified_cv,pitcher,success,role_prior,90,1470,39.766666666666666,0.5,0.25015304560759105,0.6934534123989695,0.4688888888888889,0.46111111111111114,0.25015304560759105,0.4688888888888889,0.0,0.0,baseline
repeated_stratified_cv,pitcher,success,shallow_random_forest,90,1470,39.766666666666666,0.4779031635802469,0.2740052733080983,0.7496781202545277,0.46944444444444444,0.5037037037037037,0.25015304560759105,0.4688888888888889,-0.023852227700507267,0.0005555555555555314,do_not_promote
repeated_stratified_cv,pitcher,success,ridge_logit,90,1470,39.766666666666666,0.4011091820987654,0.38673626033557645,1.2028142577974736,0.3238888888888889,0.39444444444444443,0.25015304560759105,0.4688888888888889,-0.1365832147279854,-0.14500000000000002,do_not_promote
repeated_stratified_cv,pitcher,success,balanced_ridge_logit,90,1470,39.766666666666666,0.4009355709876543,0.38720165260876366,1.2030436783179719,0.3238888888888889,0.39444444444444443,0.25015304560759105,0.4688888888888889,-0.1370486070011726,-0.14500000000000002,do_not_promote
