candidate_key,candidate_news_scope,fit_slot,player_id,player_name,search_name,team_or_org,position_or_role,market_realism_status,contract_control_bucket,medical_risk_bucket,market_realism_fit_blend_for_triage_only,person_url,source_url
63d8a573a2b6111e,run029_naver_news_collection,asian_quota,,WEI Shuo Cheng,WEI Shuo Cheng,Brothers,Pitcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000005572,https://en.cpbl.com.tw/team?ClubNo=ACN
32b9a113fe643865,run029_naver_news_collection,asian_quota,,WU Chun Wei,WU Chun Wei,Brothers,Pitcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000004625,https://en.cpbl.com.tw/team?ClubNo=ACN
c1a28e2afc520384,run029_naver_news_collection,asian_quota,,WU Li Chen,WU Li Chen,Brothers,Pitcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000007276,https://en.cpbl.com.tw/team?ClubNo=ACN
a96040b69b8259ba,run029_naver_news_collection,asian_quota,,YOU Jun You,YOU Jun You,Brothers,Pitcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000007281,https://en.cpbl.com.tw/team?ClubNo=ACN
88cbcc9e11201bf9,run029_naver_news_collection,asian_quota,,CHANG Jen Wei,CHANG Jen Wei,Brothers,Second-Base Man,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000006730,https://en.cpbl.com.tw/team?ClubNo=ACN
10c588172b046ac5,run029_naver_news_collection,asian_quota,,LIN Jui Chun,LIN Jui Chun,Brothers,Second-Base Man,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000005567,https://en.cpbl.com.tw/team?ClubNo=ACN
b23f6e7cff319bfb,run029_naver_news_collection,asian_quota,,CHANG Shr Lun,CHANG Shr Lun,Brothers,Shortstop,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000007085,https://en.cpbl.com.tw/team?ClubNo=ACN
4c25d0dd81e484e7,run029_naver_news_collection,asian_quota,,CHIANG Kun Yu,CHIANG Kun Yu,Brothers,Shortstop,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000004636,https://en.cpbl.com.tw/team?ClubNo=ACN
8b9c3bf14fba5f09,run029_naver_news_collection,asian_quota,,WANG Cheng Shun,WANG Cheng Shun,Brothers,Third-Base Man,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000002307,https://en.cpbl.com.tw/team?ClubNo=ACN
abcd007c02e88802,run029_naver_news_collection,asian_quota,,WANG Wei Chen,WANG Wei Chen,Brothers,Third-Base Man,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000000929,https://en.cpbl.com.tw/team?ClubNo=ACN
