provider,status,candidate_key,candidate_name,message,query,returned_rows,error_rows
naver_news,skipped_missing_env,0e86dd777ca7ddde,LIU Hsuan Ta,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,0e86dd777ca7ddde,LIU Hsuan Ta,,"""LIU Hsuan Ta"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,0e86dd777ca7ddde,LIU Hsuan Ta,,"""LIU Hsuan Ta"" NPB OR CPBL OR injury OR contract OR KBO",2.0,0.0
naver_news,skipped_missing_env,f56c5b09bbc8a697,TAKASHIO Masaki,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,f56c5b09bbc8a697,TAKASHIO Masaki,,"""TAKASHIO Masaki"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,f56c5b09bbc8a697,TAKASHIO Masaki,,"""TAKASHIO Masaki"" NPB OR CPBL OR injury OR contract OR KBO",0.0,0.0
naver_news,skipped_missing_env,78b8f8058e9409a6,WU Cheng Yu,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,78b8f8058e9409a6,WU Cheng Yu,,"""WU Cheng Yu"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,78b8f8058e9409a6,WU Cheng Yu,,"""WU Cheng Yu"" NPB OR CPBL OR injury OR contract OR KBO",1.0,0.0
naver_news,skipped_missing_env,d9b39c2d629886b2,CHIU Chih Cheng,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,d9b39c2d629886b2,CHIU Chih Cheng,,"""CHIU Chih Cheng"" ""U-Lions"" baseball",1.0,0.0
google_news_rss,attempted,d9b39c2d629886b2,CHIU Chih Cheng,,"""CHIU Chih Cheng"" NPB OR CPBL OR injury OR contract OR KBO",4.0,0.0
naver_news,skipped_missing_env,56dfa716f9d4693d,LIN Ching Kai,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,56dfa716f9d4693d,LIN Ching Kai,,"""LIN Ching Kai"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,56dfa716f9d4693d,LIN Ching Kai,,"""LIN Ching Kai"" NPB OR CPBL OR injury OR contract OR KBO",2.0,0.0
naver_news,skipped_missing_env,47004f9708094417,CHANG Hao Wei,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
google_news_rss,attempted,47004f9708094417,CHANG Hao Wei,,"""CHANG Hao Wei"" ""U-Lions"" baseball",0.0,0.0
google_news_rss,attempted,47004f9708094417,CHANG Hao Wei,,"""CHANG Hao Wei"" NPB OR CPBL OR injury OR contract OR KBO",1.0,0.0
naver_news,skipped_missing_env,eab42a42b03e9bef,CHEN Chung Ting,NAVER_CLIENT_ID and NAVER_CLIENT_SECRET are not loaded in the shell environment,,,
