role_segment,replacement_relevant,count_class,players,pa,ab,r,h,doubles,triples,hr,tb,rbi,bb,hbp,so,gdp,sf,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_per_pa,rbi_per_pa
DH_primary_or_bridge,True,hitter_count,1,22,6,4,3,0,0,2,9,4,16,0,0,0,0,0.0,0.5,0.8636363636363636,1.5,2.3636363636363638,1.0,0.7272727272727273,0.0,0.09090909090909091,0.18181818181818182
DH_primary_or_bridge,True,neutral_count,1,50,50,7,12,0,0,5,27,12,0,0,0,1,0,0.0,0.24,0.24,0.54,0.78,0.30000000000000004,0.0,0.0,0.1,0.24
DH_primary_or_bridge,True,pitcher_count,1,17,14,1,3,1,0,0,4,2,0,2,0,1,1,0.0,0.21428571428571427,0.29411764705882354,0.2857142857142857,0.5798319327731092,0.07142857142857142,0.0,0.0,0.0,0.11764705882352941
DH_primary_or_bridge,True,two_strikes,1,130,110,9,16,1,0,1,20,10,20,0,67,1,0,0.0,0.14545454545454545,0.27692307692307694,0.18181818181818182,0.45874125874125876,0.036363636363636376,0.15384615384615385,0.5153846153846153,0.007692307692307693,0.07692307692307693
IF_C_core,False,hitter_count,9,125,48,32,19,4,0,4,35,12,75,0,0,1,1,0.0,0.3958333333333333,0.7580645161290323,0.7291666666666666,1.487231182795699,0.3333333333333333,0.6,0.0,0.032,0.096
IF_C_core,False,neutral_count,10,410,385,67,140,24,2,16,216,69,1,5,0,9,6,0.0,0.36363636363636365,0.3677581863979849,0.561038961038961,0.9287971474369459,0.19740259740259736,0.0024390243902439024,0.0,0.03902439024390244,0.16829268292682928
IF_C_core,False,pitcher_count,9,135,126,17,43,12,1,4,69,21,0,1,0,1,3,0.0,0.3412698412698413,0.3384615384615385,0.5476190476190477,0.8860805860805862,0.2063492063492064,0.0,0.0,0.02962962962962963,0.15555555555555556
IF_C_core,False,two_strikes,10,675,600,67,132,26,4,11,199,64,64,7,235,11,5,0.0,0.22,0.30029585798816566,0.33166666666666667,0.6319625246548324,0.11166666666666666,0.09481481481481481,0.34814814814814815,0.016296296296296295,0.09481481481481481
OF_high_leverage_usage,True,hitter_count,1,21,13,3,7,3,0,0,10,2,9,0,0,1,0,0.0,0.5384615384615384,0.7272727272727273,0.7692307692307693,1.4965034965034967,0.23076923076923084,0.42857142857142855,0.0,0.0,0.09523809523809523
OF_high_leverage_usage,True,neutral_count,1,114,110,11,36,2,0,6,56,25,1,1,0,4,2,0.0,0.32727272727272727,0.3333333333333333,0.509090909090909,0.8424242424242423,0.18181818181818177,0.008771929824561403,0.0,0.05263157894736842,0.21929824561403508
OF_high_leverage_usage,True,pitcher_count,1,21,20,5,6,0,0,2,12,7,0,1,0,0,0,0.0,0.3,0.3333333333333333,0.6,0.9333333333333333,0.3,0.0,0.0,0.09523809523809523,0.3333333333333333
OF_high_leverage_usage,True,two_strikes,1,113,102,9,16,3,0,2,25,16,7,2,47,1,2,0.0,0.1568627450980392,0.22123893805309736,0.24509803921568626,0.46633697726878365,0.08823529411764705,0.061946902654867256,0.415929203539823,0.017699115044247787,0.1415929203539823
OF_lower_or_mixed_usage,True,hitter_count,5,43,15,9,2,1,0,0,3,2,28,0,0,0,0,0.0,0.13333333333333333,0.6976744186046512,0.2,0.8976744186046512,0.06666666666666668,0.6511627906976745,0.0,0.0,0.046511627906976744
OF_lower_or_mixed_usage,True,neutral_count,5,147,140,24,39,9,0,4,60,11,0,4,0,7,3,0.0,0.2785714285714286,0.2925170068027211,0.42857142857142855,0.7210884353741496,0.14999999999999997,0.0,0.0,0.027210884353741496,0.07482993197278912
OF_lower_or_mixed_usage,True,pitcher_count,4,51,47,9,14,1,2,2,25,10,0,2,0,1,1,0.0,0.2978723404255319,0.32,0.5319148936170213,0.8519148936170213,0.23404255319148937,0.0,0.0,0.0392156862745098,0.19607843137254902
OF_lower_or_mixed_usage,True,two_strikes,5,277,244,33,48,6,1,5,71,24,30,0,93,3,3,0.0,0.19672131147540983,0.2815884476534296,0.29098360655737704,0.5725720542108066,0.0942622950819672,0.10830324909747292,0.33574007220216606,0.018050541516245487,0.08664259927797834
depth_other,False,hitter_count,3,5,3,0,1,0,0,0,1,2,2,0,0,0,0,0.0,0.3333333333333333,0.6,0.3333333333333333,0.9333333333333333,0.0,0.4,0.0,0.0,0.4
depth_other,False,neutral_count,4,23,23,7,8,3,0,0,11,2,0,0,0,0,0,0.0,0.34782608695652173,0.34782608695652173,0.4782608695652174,0.8260869565217391,0.13043478260869568,0.0,0.0,0.0,0.08695652173913043
depth_other,False,pitcher_count,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
depth_other,False,two_strikes,4,36,34,2,5,1,0,1,9,2,2,0,14,0,0,0.0,0.14705882352941177,0.19444444444444445,0.2647058823529412,0.45915032679738566,0.11764705882352941,0.05555555555555555,0.3888888888888889,0.027777777777777776,0.05555555555555555
