query_year,year,t_code,t_code_name,team_bat_avg,team_bat_obp,team_bat_slg,team_bat_ops,team_bat_pa,team_bat_r,team_bat_rbi,team_bat_sb,team_bat_bb,team_bat_so,team_bat_hr,team_bat_war,team_pit_era,team_pit_fip,team_pit_whip,team_pit_ip,team_pit_tbf,team_pit_h,team_pit_bb,team_pit_so,team_pit_hr,team_pit_war,team_pit_ra9,team_pit_r,team_bat_iso,team_bat_k_pct,team_bat_bb_pct,team_bat_ops_rank,team_bat_slg_rank,team_bat_iso_rank,team_bat_hr_rank,team_bat_war_rank,team_bat_r_rank,team_bat_bb_pct_rank
2024,2024,12001,KT,0.279,0.355,0.417,0.772,5808,767,722,61,580,1123,145,20.331302804872394,5.11,4.677409241255144,1.47,1284.1,5721,1448,443,1118,155,17.696346862316673,5.63,804,0.13799999999999996,0.19335399449035812,0.09986225895316804,7.0,7.0,7.0,6.0,5.0,7.0,2.0
2024,2024,9002,SSG,0.273,0.342,0.42,0.762,5647,756,724,149,470,1095,152,15.116631113225594,5.25,5.035924166666667,1.55,1269.2,5737,1341,630,1195,163,17.42270262943163,5.77,814,0.14699999999999996,0.19390826987781123,0.08323003364618381,8.0,6.0,5.0,4.0,8.0,8.0,10.0
2024,2024,7002,한화,0.27,0.347,0.398,0.745,5702,745,698,69,530,1077,127,13.06608603708446,4.98,4.597003281893006,1.53,1274.2,5720,1437,511,1130,128,17.573474487728106,5.51,780,0.128,0.18888109435285866,0.09294984216064539,9.0,9.0,9.0,7.0,9.0,9.0,4.0
2024,2024,10001,키움,0.264,0.337,0.38,0.717,5671,672,641,71,492,1141,104,12.873276511119911,5.16,5.159994418724281,1.5,1272.2,5708,1416,497,921,150,12.868878741217872,5.63,796,0.11599999999999999,0.20119908305413509,0.08675718568153765,10.0,10.0,10.0,10.0,10.0,10.0,8.0
2025,2025,1001,삼성,0.271,0.353,0.427,0.78,5671,775,728,98,564,1087,161,29.61015127727296,4.12,4.305437139917696,1.35,1268.2,5491,1257,455,1048,132,24.25016916372026,4.59,647,0.15599999999999997,0.19167695291835654,0.09945335919590902,1.0,1.0,1.0,1.0,2.0,2.0,2.0
2025,2025,5002,LG,0.278,0.361,0.409,0.77,5713,788,732,121,604,975,130,36.35239103110507,3.79,3.9612252597736632,1.35,1279.1,5508,1236,491,1080,91,25.50377535125923,4.11,584,0.13099999999999995,0.1706633992648346,0.10572378785226676,2.0,2.0,4.0,3.0,1.0,1.0,1.0
2025,2025,11001,NC,0.26,0.344,0.399,0.743,5570,732,685,186,504,1090,128,23.325974667444825,4.82,4.825441800411523,1.5,1270.0,5704,1279,621,1075,146,11.752322233872558,5.43,766,0.139,0.19569120287253142,0.09048473967684022,3.0,3.0,3.0,4.0,3.0,3.0,6.0
2025,2025,2002,KIA,0.258,0.335,0.399,0.734,5619,668,624,77,526,1211,144,21.21062034321949,4.66,4.260307088477365,1.43,1274.2,5616,1316,511,1058,110,13.163461647273616,5.18,734,0.14100000000000001,0.21551877558284394,0.09361096280476953,4.0,3.0,2.0,2.0,5.0,6.0,4.0
2025,2025,7002,한화,0.266,0.335,0.395,0.73,5547,689,643,101,439,1038,116,20.00935348123312,3.55,3.5694067386831283,1.27,1290.1,5478,1185,450,1339,102,31.315009658304817,3.86,554,0.129,0.18712817739318552,0.07914187849287903,5.0,5.0,5.0,6.0,6.0,4.0,10.0
2025,2025,3001,롯데,0.267,0.346,0.372,0.718,5682,676,629,91,530,1030,75,16.90690289530903,4.75,4.328517381687242,1.49,1280.0,5747,1351,560,1173,128,15.078735215737408,5.27,749,0.10499999999999998,0.1812741992256248,0.09327701513551566,6.0,8.0,10.0,10.0,7.0,5.0,5.0
2025,2025,6002,두산,0.262,0.331,0.383,0.714,5581,647,592,144,469,1169,102,21.624615316162817,4.3,4.386079441872428,1.38,1280.0,5605,1227,542,1054,109,15.281345817451744,4.82,686,0.121,0.20946067013080094,0.08403511915427343,7.0,6.0,6.0,9.0,4.0,8.0,8.0
2025,2025,12001,KT,0.253,0.337,0.369,0.706,5588,648,613,48,555,1044,104,16.565369979318348,4.09,3.9965486239711936,1.4,1278.1,5584,1362,433,1067,112,20.345673562483604,4.63,657,0.11599999999999999,0.18682891911238367,0.09931997136721546,8.0,9.0,8.0,7.0,8.0,7.0,3.0
2025,2025,9002,SSG,0.256,0.33,0.376,0.706,5517,609,578,129,493,1159,127,15.10825169365853,3.63,4.042377811213992,1.3,1283.1,5463,1164,510,1193,115,29.861924111313595,4.04,576,0.12,0.2100779409099148,0.08936015950697843,8.0,7.0,7.0,5.0,9.0,9.0,7.0
2025,2025,10001,키움,0.244,0.312,0.359,0.671,5508,581,540,83,439,1221,104,6.879720073193312,5.39,4.928822219650206,1.5699999999999998,1269.0,5800,1447,550,937,146,-3.5227286584525364,6.1,860,0.11499999999999999,0.22167755991285404,0.07970225127087872,10.0,10.0,9.0,7.0,10.0,10.0,9.0
