validation_scheme,role_model_family,target,valid_year,fold_id,model,train_rows,valid_rows,feature_count,rows,positive_rate,pred_mean,accuracy_at_0_5,brier,logloss,precision_at_0_5,auc,precision_top_25pct,precision_top_33pct
time_forward_holdout,hitter,success,2025,time_2025,role_prior,13,9,30,9,0.5555555555555556,0.6153846153846154,0.5555555555555556,0.2504930966469428,0.6943983176686944,0.5555555555555556,0.5,0.6666666666666666,0.6666666666666666
time_forward_holdout,hitter,success,2025,time_2025,ridge_logit,13,9,30,9,0.5555555555555556,0.5426843389997084,0.5555555555555556,0.30033514428350166,0.9661724531270137,0.6,0.6,0.6666666666666666,0.6666666666666666
time_forward_holdout,hitter,success,2025,time_2025,balanced_ridge_logit,13,9,30,9,0.5555555555555556,0.503553876834697,0.6666666666666666,0.29132642440308704,0.945833566281116,0.75,0.6,0.6666666666666666,0.6666666666666666
time_forward_holdout,hitter,failure,2025,time_2025,role_prior,13,9,30,9,0.3333333333333333,0.38461538461538464,0.6666666666666666,0.22485207100591717,0.642175692196946,0.0,0.5,0.3333333333333333,0.3333333333333333
time_forward_holdout,hitter,failure,2025,time_2025,ridge_logit,13,9,30,9,0.3333333333333333,0.4573156610002916,0.6666666666666666,0.2863008203721933,0.9379530914370622,0.5,0.6111111111111112,0.3333333333333333,0.3333333333333333
time_forward_holdout,hitter,failure,2025,time_2025,balanced_ridge_logit,13,9,30,9,0.3333333333333333,0.49644612316530295,0.5555555555555556,0.291961346845497,0.9471034249877265,0.4,0.6111111111111112,0.3333333333333333,0.3333333333333333
time_forward_holdout,pitcher,success,2024,time_2024,role_prior,13,19,13,19,0.47368421052631576,0.46153846153846156,0.5263157894736842,0.2494549984428527,0.6920579514822931,0.0,0.5,0.8,0.5714285714285714
time_forward_holdout,pitcher,success,2024,time_2024,ridge_logit,13,19,13,19,0.47368421052631576,0.3588257608914959,0.631578947368421,0.2950850207676955,0.8633542578111503,0.625,0.4555555555555555,0.4,0.5714285714285714
time_forward_holdout,pitcher,success,2024,time_2024,balanced_ridge_logit,13,19,13,19,0.47368421052631576,0.3824478252998066,0.631578947368421,0.29362012299843665,0.8536491623963155,0.625,0.4555555555555555,0.4,0.5714285714285714
time_forward_holdout,pitcher,success,2025,time_2025,role_prior,32,17,39,17,0.5882352941176471,0.46875,0.4117647058823529,0.2564912683823529,0.7061479369517493,0.0,0.5,0.2,0.16666666666666666
time_forward_holdout,pitcher,success,2025,time_2025,ridge_logit,32,17,39,17,0.5882352941176471,0.4203813683467735,0.6470588235294118,0.2803588665193266,0.8139756760768909,0.75,0.6285714285714286,0.8,0.6666666666666666
time_forward_holdout,pitcher,success,2025,time_2025,balanced_ridge_logit,32,17,39,17,0.5882352941176471,0.43566906549998863,0.6470588235294118,0.27617207228432233,0.7969356036645023,0.75,0.6285714285714286,0.8,0.6666666666666666
time_forward_holdout,pitcher,success,2025,time_2025,shallow_random_forest,32,17,39,17,0.5882352941176471,0.46497806028897576,0.47058823529411764,0.25580887622046455,0.7060672693770669,0.6,0.6,0.6,0.6666666666666666
time_forward_holdout,pitcher,success,2025,time_2025,hist_gradient_boosting,32,17,39,17,0.5882352941176471,0.46875,0.4117647058823529,0.2564912683823529,0.7061479369517493,0.0,0.5,0.2,0.16666666666666666
time_forward_holdout,pitcher,failure,2024,time_2024,role_prior,13,19,13,19,0.42105263157894735,0.5384615384615384,0.42105263157894735,0.25755216443475554,0.7082843388325308,0.42105263157894735,0.5,0.2,0.2857142857142857
time_forward_holdout,pitcher,failure,2024,time_2024,ridge_logit,13,19,13,19,0.42105263157894735,0.641174239108504,0.7368421052631579,0.26126911369601113,0.7931998263269872,0.6363636363636364,0.6477272727272727,0.4,0.42857142857142855
time_forward_holdout,pitcher,failure,2024,time_2024,balanced_ridge_logit,13,19,13,19,0.42105263157894735,0.6175521747001934,0.7368421052631579,0.25361408497958415,0.7693745368453628,0.6363636363636364,0.6477272727272727,0.4,0.42857142857142855
time_forward_holdout,pitcher,failure,2025,time_2025,role_prior,32,17,39,17,0.35294117647058826,0.46875,0.6470588235294118,0.24178538602941177,0.6766977856684537,0.0,0.5,0.6,0.6666666666666666
time_forward_holdout,pitcher,failure,2025,time_2025,ridge_logit,32,17,39,17,0.35294117647058826,0.3642200084603403,0.5882352941176471,0.30230007328151015,0.8896181666161616,0.4,0.5454545454545454,0.4,0.3333333333333333
time_forward_holdout,pitcher,failure,2025,time_2025,balanced_ridge_logit,32,17,39,17,0.35294117647058826,0.3771923999567458,0.5882352941176471,0.3050022485420445,0.895065791529284,0.4,0.5454545454545454,0.4,0.3333333333333333
time_forward_holdout,pitcher,failure,2025,time_2025,shallow_random_forest,32,17,39,17,0.35294117647058826,0.48211443080123384,0.6470588235294118,0.2495866445830403,0.6949952117381603,0.5,0.5757575757575757,0.4,0.5
time_forward_holdout,pitcher,failure,2025,time_2025,hist_gradient_boosting,32,17,39,17,0.35294117647058826,0.46875,0.6470588235294118,0.24178538602941177,0.6766977856684537,0.0,0.5,0.6,0.6666666666666666
