locked_fit_id,fit_slot,source_pool,position_or_role_bucket,failure_risk_band_v0_3,source_gap_band,translation_uncertainty_policy,medical_risk_bucket,contract_control_bucket,manual_review_tier_v0_3,candidate_release_allowed,score_release_allowed,rank_release_allowed,shortlist_label_allowed,is_final_recommendation,release_policy
LOCKED-AQ-V03-A3EDAE4F1D37,asian_quota,,Left-Fielder,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-79B12F788DFB,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-90BD9DBB57F8,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-1551C2342F20,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-C05C0DEF94D0,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-98D8EC1A002C,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-09A1E2FBB1A0,asian_quota,,Pitcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-8C87DF9AC6BC,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-C8D3743FAB15,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-DC3CBCF21E86,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-2B8D88B2563A,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-2E7737147B09,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-F618FF84CF46,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-85B72CC5F5A5,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-9D546A699A25,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-8A17954364A2,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-81E21A0B8855,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-BE3DF4A86299,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-7DFD14BB276B,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-3025713EF9D9,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-3C86416BFC7C,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-B7DAD28A4210,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-D9934B39CD35,asian_quota,,Catchers,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-84CD853FECE2,asian_quota,,Pitchers,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-F79E745AC4ED,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-B7B84AFD4F2C,asian_quota,,Infielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-28B4F4827E56,asian_quota,,Pitchers,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-EF023B3AB72F,asian_quota,,Outfielders,manual_review_required,manual_review_required,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,nationality_unknown_contract_unusable,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-ED4E38E2CF0B,asian_quota,,Catcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-CAC645A770D5,asian_quota,,Catcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
LOCKED-AQ-V03-4EE43D96AF6B,asian_quota,,Catcher,manual_review_required,block_until_source_or_medical_cleared,classifier_not_promoted_use_role_prior_feature_contract,candidate_medical_news_not_collected,eligible_but_contract_buyout_unknown,P1_manual_review,False,False,False,False,False,layer5_6_augmented_recalibration_locked_no_candidate_release
