signal,signal_games,non_signal_games,signal_game_share,signal_win_rate,non_signal_win_rate,win_rate_delta_signal_minus_non,signal_avg_margin,non_signal_avg_margin,signal_avg_bullpen_ip,non_signal_avg_bullpen_ip,signal_avg_starter_outs,non_signal_avg_starter_outs,absolute_win_delta,game_impact_score,direction
starter_5ip_plus,35,26,0.5737704918032787,0.5142857142857142,0.3076923076923077,0.20659340659340653,1.1714285714285715,-2.923076923076923,3.4285714285714284,5.3589743589743595,16.34285714285714,10.0,0.20659340659340653,0.11853720050441358,helps_win_rate
starter_er_4plus,23,38,0.3770491803278688,0.2608695652173913,0.5263157894736842,-0.2654462242562929,-4.086956521739131,1.5526315789473684,4.9275362318840585,3.8421052631578947,11.565217391304348,14.894736842105264,0.2654462242562929,0.10008628127696288,hurts_win_rate
starter_short_lt5,26,35,0.4262295081967213,0.3076923076923077,0.5142857142857142,-0.20659340659340653,-2.923076923076923,1.1714285714285715,5.3589743589743595,3.4285714285714284,10.0,16.34285714285714,0.20659340659340653,0.08805620608899294,hurts_win_rate
starter_disaster,20,41,0.32786885245901637,0.25,0.5121951219512195,-0.2621951219512195,-3.55,0.8780487804878049,5.416666666666667,3.682926829268293,9.85,15.487804878048781,0.2621951219512195,0.0859656137544982,hurts_win_rate
starter_quality_6ip_3er,7,54,0.11475409836065574,0.7142857142857143,0.3888888888888889,0.3253968253968254,4.571428571428571,-1.2407407407407407,2.2857142857142856,4.506172839506173,19.285714285714285,12.907407407407407,0.3253968253968254,0.037340619307832425,helps_win_rate
starter_6ip_plus,8,53,0.13114754098360656,0.625,0.39622641509433965,0.22877358490566035,3.25,-1.150943396226415,2.333333333333333,4.540880503144654,19.25,12.79245283018868,0.22877358490566035,0.030003093102381688,helps_win_rate
bullpen_5ip_plus,19,42,0.3114754098360656,0.42105263157894735,0.42857142857142855,-0.007518796992481203,-1.7894736842105263,-0.023809523809523808,5.824561403508773,3.5396825396825395,9.210526315789474,15.642857142857142,0.007518796992481203,0.00234192037470726,hurts_win_rate
