team,total,success_n,failure_n,replacement_n,success_rate,failure_rate,replacement_rate
KT,34,18,9,7,0.529,0.265,0.206
LG,34,17,10,9,0.5,0.294,0.265
SSG,21,10,6,6,0.476,0.286,0.286
NC,31,13,6,4,0.419,0.194,0.129
롯데,37,15,13,11,0.405,0.351,0.297
삼성,35,14,9,8,0.4,0.257,0.229
SK,15,6,3,3,0.4,0.2,0.2
두산,33,13,9,7,0.394,0.273,0.212
KIA,35,13,10,8,0.371,0.286,0.229
키움,31,11,14,11,0.355,0.452,0.355
넥센,10,3,4,4,0.3,0.4,0.4
한화,37,8,12,11,0.216,0.324,0.297
