validation_scheme,role_model_family,target,model,folds_v0_1,total_valid_rows_v0_1,mean_feature_count_v0_1,mean_auc_v0_1,mean_brier_v0_1,mean_logloss_v0_1,mean_precision_top_25pct_v0_1,mean_precision_top_33pct_v0_1,brier_lift_vs_role_prior_v0_1,top25_precision_lift_vs_role_prior_v0_1,promotion_status_v0_1,folds_v0_2,total_valid_rows_v0_2,mean_feature_count_v0_2,mean_auc_v0_2,mean_brier_v0_2,mean_logloss_v0_2,mean_precision_top_25pct_v0_2,mean_precision_top_33pct_v0_2,brier_lift_vs_role_prior_v0_2,top25_precision_lift_vs_role_prior_v0_2,promotion_status_v0_2,mean_brier_delta_v0_2_minus_v0_1,mean_auc_delta_v0_2_minus_v0_1,mean_precision_top_25pct_delta_v0_2_minus_v0_1,total_valid_rows_delta_v0_2_minus_v0_1,mean_feature_count_delta_v0_2_minus_v0_1,brier_direction
repeated_stratified_cv,hitter,failure,balanced_ridge_logit,90.0,660.0,19.988888888888887,0.712962962962963,0.2275178652420393,0.7300174005115684,0.6388888888888888,0.5740740740740741,0.0077504643120045,0.3222222222222222,watch,90,660,31.877777777777776,0.6201851851851852,0.28565002123910876,0.9555017718715048,0.4222222222222222,0.4925925925925925,-0.05038169168506493,0.10555555555555557,do_not_promote,0.05813215599706947,-0.09277777777777785,-0.21666666666666662,0.0,11.88888888888889,worse
repeated_stratified_cv,hitter,failure,ridge_logit,90.0,660.0,19.988888888888887,0.7156481481481481,0.2200171459257919,0.7145963068720358,0.6444444444444445,0.5777777777777777,0.0152511836282518,0.3277777777777778,pilot_promote,90,660,31.877777777777776,0.62,0.28475540574515706,0.9463965319508492,0.4222222222222222,0.4925925925925925,-0.04948707619111323,0.10555555555555557,do_not_promote,0.06473825981936515,-0.09564814814814815,-0.22222222222222227,0.0,11.88888888888889,worse
repeated_stratified_cv,hitter,failure,role_prior,90.0,660.0,19.988888888888887,0.5,0.2352683295540438,0.6638179115398375,0.3166666666666666,0.4037037037037037,0.0,0.0,baseline,90,660,31.877777777777776,0.5,0.23526832955404384,0.6638179115398375,0.31666666666666665,0.4037037037037037,0.0,0.0,baseline,2.7755575615628914e-17,0.0,5.551115123125783e-17,0.0,11.88888888888889,flat
repeated_stratified_cv,hitter,success,balanced_ridge_logit,90.0,660.0,19.988888888888887,0.7679629629629631,0.1990139879600228,0.6183435392238086,0.7833333333333333,0.7703703703703704,0.0438771685025622,0.1055555555555555,pilot_promote,90,660,31.88888888888889,0.6819444444444445,0.2576735983228099,0.810314491163787,0.75,0.7370370370370369,-0.014782441860224843,0.07222222222222219,do_not_promote,0.05865961036278711,-0.0860185185185186,-0.033333333333333326,0.0,11.900000000000002,worse
repeated_stratified_cv,hitter,success,ridge_logit,90.0,660.0,19.988888888888887,0.7721296296296297,0.1948291401111685,0.6147017079084284,0.7888888888888889,0.7740740740740739,0.0480620163514165,0.111111111111111,pilot_promote,90,660,31.88888888888889,0.6828703703703703,0.2559793382555232,0.8092520221392548,0.7555555555555555,0.7370370370370369,-0.013088181792938164,0.07777777777777772,do_not_promote,0.06115019814435471,-0.08925925925925937,-0.033333333333333326,0.0,11.900000000000002,worse
repeated_stratified_cv,hitter,success,role_prior,90.0,660.0,19.988888888888887,0.5,0.242891156462585,0.6788964446241305,0.6777777777777778,0.6222222222222222,0.0,0.0,baseline,90,660,31.88888888888889,0.5,0.24289115646258505,0.6788964446241305,0.6777777777777778,0.6222222222222222,0.0,0.0,baseline,5.551115123125783e-17,0.0,0.0,0.0,11.900000000000002,flat
repeated_stratified_cv,pitcher,failure,balanced_ridge_logit,90.0,990.0,26.822222222222223,0.4637037037037037,0.3580824899026836,1.1226532726649598,0.4814814814814814,0.5027777777777778,-0.1060163742002042,-0.2740740740740741,do_not_promote,90,1470,39.71111111111111,0.41475308641975306,0.3764761569876533,1.1692550898379503,0.385,0.37407407407407406,-0.13133753536591,-0.09722222222222221,do_not_promote,0.0183936670849697,-0.048950617283950615,-0.09648148148148139,480.0,12.888888888888886,worse
repeated_stratified_cv,pitcher,failure,hist_gradient_boosting,,,,,,,,,,,,90,1470,39.71111111111111,0.5,0.2451386216217433,0.6833975548353348,0.4822222222222222,0.4962962962962963,0.0,0.0,do_not_promote,,,,,,flat
repeated_stratified_cv,pitcher,failure,ridge_logit,90.0,990.0,26.822222222222223,0.4648148148148148,0.3592135345948395,1.126572988459538,0.4814814814814814,0.5055555555555555,-0.1071474188923602,-0.2740740740740741,do_not_promote,90,1470,39.71111111111111,0.4159611992945326,0.370204492835558,1.1572297446689135,0.39055555555555554,0.37407407407407406,-0.1250658712138147,-0.09166666666666667,do_not_promote,0.010990958240718496,-0.04885361552028217,-0.09092592592592585,480.0,12.888888888888886,worse
repeated_stratified_cv,pitcher,failure,role_prior,90.0,990.0,26.822222222222223,0.5,0.2520661157024793,0.6972927621926058,0.7555555555555555,0.75,0.0,0.0,baseline,90,1470,39.71111111111111,0.5,0.2451386216217433,0.6833975548353348,0.4822222222222222,0.4962962962962963,0.0,0.0,baseline,-0.00692749408073598,0.0,-0.2733333333333333,480.0,12.888888888888886,improved
repeated_stratified_cv,pitcher,failure,shallow_random_forest,,,,,,,,,,,,90,1470,39.71111111111111,0.552883597883598,0.2578693041719382,0.7160912808623305,0.4872222222222222,0.512962962962963,-0.01273068255019491,0.0050000000000000044,do_not_promote,,,,,,flat
repeated_stratified_cv,pitcher,success,balanced_ridge_logit,90.0,990.0,26.77777777777778,0.4824867724867724,0.3463916524406366,1.1034897194708373,0.3111111111111111,0.3833333333333333,-0.0998351786114355,0.0629629629629629,do_not_promote,90,1470,39.766666666666666,0.4009355709876543,0.38720165260876366,1.2030436783179719,0.3238888888888889,0.39444444444444443,-0.1370486070011726,-0.14500000000000002,do_not_promote,0.04081000016812708,-0.0815512014991181,0.012777777777777777,480.0,12.988888888888887,worse
repeated_stratified_cv,pitcher,success,hist_gradient_boosting,,,,,,,,,,,,90,1470,39.766666666666666,0.5,0.25015304560759105,0.6934534123989695,0.4688888888888889,0.46111111111111114,0.0,0.0,do_not_promote,,,,,,flat
