sample,season,player_name_en,first_kbo_pa,pre_kbo_milb_pa,first_kbo_wrc_plus,pre_kbo_milb_ops,x_milb_ops100,translation_ratio,reliability_weight,first_kbo_ip,pre_kbo_milb_ip,first_kbo_era,pre_kbo_milb_era,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9
hitter_main,2025,Andrew Stevenson,168.0,470.0,104.46678161621094,0.916,91.60000000000001,1.1404670482119097,0.4683303677248929,,,,,,,
hitter_main,2023,Anthony Alford,547.0,321.0,123.47000122070312,0.9658037383177568,96.58037383177567,1.278417097823249,0.6983850418405785,,,,,,,
hitter_main,2023,Austin James Dean,583.0,506.0,153.89199829101562,0.8135652173913043,81.35652173913043,1.891575438592005,0.9052286390127573,,,,,,,
hitter_main,2024,David MacKinnon,315.0,692.0,96.45189666748048,1.0022283236994218,100.22283236994218,0.9623744848026003,0.724568837309472,,,,,,,
hitter_main,2025,Estevan Florial,285.0,713.0,111.50299835205078,0.8627082748948105,86.27082748948105,1.2924762819232987,0.689202437604511,,,,,,,
hitter_main,2024,Henry Ramos,348.0,327.0,119.56999969482422,0.954,95.39999999999999,1.253354294495013,0.5622277118748239,,,,,,,
hitter_main,2025,Jake Cave,593.0,275.0,125.38219451904295,1.113,111.3,1.126524658751509,0.6730424289085429,,,,,,,
hitter_main,2024,Jared Young,169.0,831.0,183.68800354003903,0.8499987966305655,84.99987966305656,2.161038395209343,0.5307227776030219,,,,,,,
hitter_main,2023,Jose Rojas,464.0,859.0,133.47900390625,0.87153434225844,87.153434225844,1.531540381534029,0.8793937305515279,,,,,,,
hitter_main,2024,Lewin Díaz,118.0,851.0,107.88899993896484,0.8087567567567567,80.87567567567568,1.3340104924948868,0.443471156521669,,,,,,,
hitter_main,2025,Luis David Liberato,273.0,573.0,143.11322021484375,0.7642164048865618,76.42164048865618,1.8726792476548195,0.6591851029870138,,,,,,,
hitter_main,2023,Niko Goodrum,201.0,175.0,115.03800201416016,0.7727657142857144,77.27657142857144,1.488653027528434,0.3125833222251842,,,,,,,
hitter_main,2023,Ronnie Dawson,261.0,855.0,147.02200317382812,0.7244315789473684,72.44315789473684,2.0294808708844205,0.6595452979136459,,,,,,,
hitter_main,2024,Víctor José Reyes,632.0,578.0,127.54900360107422,0.8096055363321799,80.96055363321798,1.5754462868290104,0.9814954576223638,,,,,,,
