rule_type,rule,rule_description,component_a,component_b,hidden_interaction_lift,loss_rate_lift_vs_baseline,hidden_need_score,games,win_pct,complement_win_pct,win_pct_delta,loss_rate,avg_run_diff,avg_team_runs,avg_opp_runs,avg_starter_outs,avg_bullpen_ip,avg_of_rbi,avg_of_high_obp,avg_replacement_slot_k
pair,bullpen_er3plus AND of_high_obp_le_250,bullpen allowed 3+ ER + high-leverage OF OBP was .250 or lower,bullpen_er3plus,of_high_obp_le_250,0.08333333333333337,0.42622950819672134,2.25,9,0.0,0.5,-0.5,1.0,-6.0,3.111111111111111,9.11111111111111,13.0,4.444444444444444,0.7777777777777778,0.14444444444444443,3.111111111111111
pair,bullpen_er3plus AND team_runs_le3,bullpen allowed 3+ ER + SSG scored 3 or fewer runs,bullpen_er3plus,team_runs_le3,0.08333333333333337,0.42622950819672134,2.25,9,0.0,0.5,-0.5,1.0,-6.888888888888889,2.111111111111111,9.0,11.777777777777779,4.7407407407407405,0.8888888888888888,0.2888888888888889,3.2222222222222223
pair,bullpen_er3plus AND humid_60plus,"bullpen allowed 3+ ER + humid game, 60%+",bullpen_er3plus,humid_60plus,0.08333333333333337,0.42622950819672134,2.184426229508197,7,0.0,0.48148148148148145,-0.48148148148148145,1.0,-4.142857142857143,3.4285714285714284,7.571428571428571,13.571428571428571,4.142857142857143,1.0,0.2285714285714286,4.142857142857143
single,bullpen_er3plus,bullpen allowed 3+ ER,bullpen_er3plus,,,0.34289617486338797,2.158469945355191,24,0.08333333333333333,0.6486486486486487,-0.5653153153153153,0.9166666666666666,-4.0,5.041666666666667,9.041666666666666,12.5,4.527777777777778,1.75,0.35260416666666666,3.4166666666666665
pair,of_rbi_zero AND away_game,all outfielders combined for 0 RBI + away game,of_rbi_zero,away_game,0.16315789473684206,0.32622950819672136,2.122260569456428,10,0.1,0.49019607843137253,-0.3901960784313725,0.9,-3.0,3.0,6.0,12.9,3.8,0.0,0.22722222222222221,3.0
pair,starter_short_lt5 AND of_high_rbi_zero,starter failed to complete 5 innings + high-leverage OF lineup slots had 0 RBI,starter_short_lt5,of_high_rbi_zero,0.16483516483516492,0.28337236533957855,2.087011349306432,14,0.14285714285714285,0.5106382978723404,-0.36778115501519754,0.8571428571428572,-4.214285714285714,3.5714285714285716,7.785714285714286,10.714285714285714,5.071428571428571,0.5,0.25337301587301586,3.0
pair,starter_disaster AND of_high_rbi_zero,starter disaster: 5+ ER or fewer than 4 innings + high-leverage OF lineup slots had 0 RBI,starter_disaster,of_high_rbi_zero,0.15000000000000002,0.32622950819672136,2.082786885245902,10,0.1,0.49019607843137253,-0.3901960784313725,0.9,-5.0,4.0,9.0,10.6,5.066666666666666,0.4,0.2172222222222222,2.7
pair,bullpen_bb4plus AND replacement_slot_rbi_lt3,bullpen issued 4+ walks + OF/DH replacement-relevant slots had fewer than 3 RBI,bullpen_bb4plus,replacement_slot_rbi_lt3,0.15000000000000002,0.32622950819672136,2.082786885245902,10,0.1,0.49019607843137253,-0.3901960784313725,0.9,-5.9,3.1,9.0,13.3,4.533333333333333,0.9,0.3775,2.9
pair,bullpen_er3plus AND opp_runs_ge6,bullpen allowed 3+ ER + opponent scored 6+ runs,bullpen_er3plus,opp_runs_ge6,-0.007575757575757569,0.3353204172876304,2.0625931445603576,22,0.09090909090909091,0.6153846153846154,-0.5244755244755245,0.9090909090909091,-4.181818181818182,5.2272727272727275,9.409090909090908,12.363636363636363,4.590909090909091,1.6818181818181819,0.3619318181818182,3.4545454545454546
pair,starter_er4plus AND of_rbi_lt3,starter allowed 4+ ER + outfielders combined for fewer than 3 RBI,starter_er4plus,of_rbi_lt3,0.10297482837528604,0.26833477135461603,2.0052143902164534,19,0.15789473684210525,0.5476190476190477,-0.3897243107769424,0.8421052631578947,-5.2631578947368425,3.8947368421052633,9.157894736842104,12.263157894736842,4.701754385964913,0.8421052631578947,0.24515455304928988,3.1052631578947367
pair,starter_er4plus AND of_rbi_zero,starter allowed 4+ ER + all outfielders combined for 0 RBI,starter_er4plus,of_rbi_zero,0.1497584541062802,0.3151183970856102,2.004830917874396,9,0.1111111111111111,0.4807692307692308,-0.3696581196581197,0.8888888888888888,-5.444444444444445,3.4444444444444446,8.88888888888889,11.333333333333334,4.777777777777779,0.0,0.2274691358024691,3.3333333333333335
single,opp_runs_ge6,opponent scored 6+ runs,opp_runs_ge6,,,0.23872950819672134,2.004098360655738,32,0.1875,0.6896551724137931,-0.5021551724137931,0.8125,-3.5625,4.96875,8.53125,12.28125,4.677083333333334,1.59375,0.31470114087301587,3.5
pair,bullpen_er3plus AND of_hr_zero,bullpen allowed 3+ ER + outfielders hit no HR,bullpen_er3plus,of_hr_zero,0.01666666666666672,0.3595628415300547,1.9800546448087437,15,0.06666666666666667,0.5434782608695652,-0.47681159420289854,0.9333333333333333,-4.6,4.933333333333334,9.533333333333333,11.866666666666667,4.733333333333334,1.2,0.3541666666666667,3.466666666666667
single,team_runs_le3,SSG scored 3 or fewer runs,team_runs_le3,,,0.29579472558802566,1.9372772630078403,23,0.13043478260869565,0.6052631578947368,-0.47482837528604116,0.8695652173913043,-4.086956521739131,2.0434782608695654,6.130434782608695,13.130434782608695,4.144927536231883,0.5652173913043478,0.2370029728725381,3.4782608695652173
pair,of_rbi_lt3 AND team_runs_le3,outfielders combined for fewer than 3 RBI + SSG scored 3 or fewer runs,of_rbi_lt3,team_runs_le3,0.0,0.29579472558802566,1.9372772630078403,23,0.13043478260869565,0.6052631578947368,-0.47482837528604116,0.8695652173913043,-4.086956521739131,2.0434782608695654,6.130434782608695,13.130434782608695,4.144927536231883,0.5652173913043478,0.2370029728725381,3.4782608695652173
pair,replacement_slot_rbi_lt3 AND team_runs_le3,OF/DH replacement-relevant slots had fewer than 3 RBI + SSG scored 3 or fewer runs,replacement_slot_rbi_lt3,team_runs_le3,0.0,0.29579472558802566,1.9372772630078403,23,0.13043478260869565,0.6052631578947368,-0.47482837528604116,0.8695652173913043,-4.086956521739131,2.0434782608695654,6.130434782608695,13.130434782608695,4.144927536231883,0.5652173913043478,0.2370029728725381,3.4782608695652173
single,of_top_obp_le_250,OF table-setter OBP was .250 or lower,of_top_obp_le_250,,,0.04887101763068358,1.9331889885555211,53,0.37735849056603776,0.75,-0.37264150943396224,0.6226415094339622,-1.2264150943396226,4.716981132075472,5.943396226415095,13.943396226415095,4.138364779874214,1.509433962264151,0.29574118229778606,3.6037735849056602
pair,of_top_obp_le_250 AND humid_60plus,"OF table-setter OBP was .250 or lower + humid game, 60%+",of_top_obp_le_250,humid_60plus,0.07575757575757569,0.3353204172876304,1.9292101341281667,11,0.09090909090909091,0.5,-0.40909090909090906,0.9090909090909091,-3.6363636363636362,3.090909090909091,6.7272727272727275,13.636363636363637,4.0606060606060606,0.6363636363636364,0.21363636363636365,3.5454545454545454
