fold,valid_year,target,model,rows,positive_rate,pred_mean,accuracy_at_0_5,brier,logloss,auc,precision_at_0_5,precision_top_25pct,precision_top_33pct
fold_a_2022_holdout,2022,success,global_prior,42,0.2619047619047619,0.33516483516483514,0.7380952380952381,0.19867769593044318,0.5875990818528573,0.5,0.0,0.45454545454545453,0.35714285714285715
fold_a_2022_holdout,2022,success,role_prior,42,0.2619047619047619,0.3023314978119129,0.7380952380952381,0.1648359510966474,0.47973616371795996,0.6920821114369502,0.0,0.2727272727272727,0.2857142857142857
fold_a_2022_holdout,2022,success,team_role_prior,42,0.2619047619047619,0.3363548331804865,0.7380952380952381,0.17857860130096684,0.5431812196656877,0.7096774193548387,0.5,0.5454545454545454,0.5
fold_a_2022_holdout,2022,success,recent_role_prior,42,0.2619047619047619,0.2733451724803512,0.7380952380952381,0.16262247635741137,0.47027829230359053,0.7272727272727273,0.0,0.18181818181818182,0.2857142857142857
fold_a_2022_holdout,2022,success,prev_season_team_role_prior,42,0.2619047619047619,0.2431634642160958,0.7380952380952381,0.1916976977857249,0.5718303146776006,0.5175953079178885,0.0,0.36363636363636365,0.42857142857142855
fold_a_2022_holdout,2022,failure,global_prior,42,0.30952380952380953,0.20329670329670324,0.6904761904761905,0.2250030189590629,0.6500254633965197,0.5,0.0,0.2727272727272727,0.21428571428571427
fold_a_2022_holdout,2022,failure,role_prior,42,0.30952380952380953,0.2812166304777143,1.0,0.006568261835632061,0.06298766316637462,1.0,1.0,1.0,0.9285714285714286
fold_a_2022_holdout,2022,failure,team_role_prior,42,0.30952380952380953,0.20358466362714214,0.7380952380952381,0.11973232791214458,0.3662359416842148,1.0,1.0,1.0,0.9285714285714286
fold_a_2022_holdout,2022,failure,recent_role_prior,42,0.30952380952380953,0.2903632013510021,1.0,0.0038691700366482425,0.04949014926830817,1.0,1.0,1.0,0.9285714285714286
fold_a_2022_holdout,2022,failure,prev_season_team_role_prior,42,0.30952380952380953,0.22781954887218042,0.6904761904761905,0.18107051253865658,0.5321900639319601,1.0,0.0,1.0,0.9285714285714286
fold_b_2023_holdout,2023,success,global_prior,42,0.5238095238095238,0.32142857142857145,0.47619047619047616,0.29039115646258506,0.7791635510150698,0.5,0.0,0.45454545454545453,0.42857142857142855
fold_b_2023_holdout,2023,success,role_prior,42,0.5238095238095238,0.3971087617017525,0.47619047619047616,0.25951296102352156,0.7090433158809386,0.5261363636363636,0.0,0.6363636363636364,0.5
fold_b_2023_holdout,2023,success,team_role_prior,42,0.5238095238095238,0.3486527465850774,0.5238095238095238,0.26871336534587986,0.7404439179468358,0.6193181818181818,1.0,0.8181818181818182,0.6428571428571429
fold_b_2023_holdout,2023,success,recent_role_prior,42,0.5238095238095238,0.3671379915072696,0.47619047619047616,0.26859254404639216,0.7280149485528989,0.5238636363636363,0.0,0.5454545454545454,0.5714285714285714
fold_b_2023_holdout,2023,success,prev_season_team_role_prior,42,0.5238095238095238,0.28012093726379445,0.47619047619047616,0.3040596367882838,0.8163606292610087,0.5636363636363636,0.0,0.5454545454545454,0.5714285714285714
