provider,status,candidate_key,candidate_name,query,returned_rows,error_rows
naver_news,attempted,c58df457ee2acd50,"Sun, Yi-Lei",Yi-Lei Sun 야구,3,0
naver_news,attempted,c58df457ee2acd50,"Sun, Yi-Lei",Yi-Lei Sun 부상 재활,0,0
naver_news,attempted,c58df457ee2acd50,"Sun, Yi-Lei",Yi-Lei Sun 계약 이적료 바이아웃,0,0
naver_news,attempted,c58df457ee2acd50,"Sun, Yi-Lei",Yi-Lei Sun NPB CPBL,0,0
naver_news,attempted,c58df457ee2acd50,"Sun, Yi-Lei",Yi-Lei Sun KBO 한국,0,0
naver_news,attempted,77fcb317bda63213,"Yang, Po-Hsiang",Po-Hsiang Yang 야구,1,0
naver_news,attempted,77fcb317bda63213,"Yang, Po-Hsiang",Po-Hsiang Yang 부상 재활,0,0
naver_news,attempted,77fcb317bda63213,"Yang, Po-Hsiang",Po-Hsiang Yang 계약 이적료 바이아웃,0,0
naver_news,attempted,77fcb317bda63213,"Yang, Po-Hsiang",Po-Hsiang Yang NPB CPBL,0,0
naver_news,attempted,77fcb317bda63213,"Yang, Po-Hsiang",Po-Hsiang Yang KBO 한국,1,0
naver_news,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",Ruei-Yang Gu Lin 야구,1,0
naver_news,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",Ruei-Yang Gu Lin 부상 재활,0,0
naver_news,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",Ruei-Yang Gu Lin 계약 이적료 바이아웃,0,0
naver_news,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",Ruei-Yang Gu Lin NPB CPBL,0,0
naver_news,attempted,dc923c066641a262,"Gu Lin, Ruei-Yang",Ruei-Yang Gu Lin KBO 한국,0,0
