import_slot_group,pitch_role,games,appearances,pitchers,starts,outs,er,r,h,hr,bb,hbp,so,tb,ab,sf,tbf,np,gdp,ip,era,ra9,whip,k9,bb9,hr9,kbb,avg_allowed,obp_allowed,slg_allowed,ops_allowed,ip_per_game,outs_per_start,pitches_per_ip
domestic_pitcher,bullpen,61,245,17,0,778.0,147.0,162,242,29,152,24,222,373,984,12,1181.0,4659,0.0,259.3333333333333,5.1015424164524426,5.622107969151671,1.519280205655527,7.704370179948586,5.275064267352185,1.006426735218509,1.4605263157894737,0.2459349593495935,0.35665529010238906,0.3790650406504065,0.7357203307527955,4.251366120218579,,17.96529562982005
domestic_pitcher,starter,28,28,5,28,368.0,69.0,76,112,16,65,7,99,178,459,5,539.0,2184,0.0,122.66666666666667,5.0625,5.576086956521739,1.4429347826086956,7.263586956521739,4.769021739130435,1.173913043478261,1.523076923076923,0.2440087145969499,0.34328358208955223,0.3877995642701525,0.7310831463597047,4.380952380952381,13.142857142857142,17.804347826086957
import_slot_pitcher,starter,33,33,4,33,464.0,106.0,112,187,20,81,9,136,276,630,4,733.0,2910,0.0,154.66666666666666,6.168103448275862,6.517241379310345,1.7327586206896552,7.913793103448276,4.713362068965517,1.1637931034482758,1.6790123456790123,0.2968253968253968,0.3825966850828729,0.4380952380952381,0.820691923178111,4.686868686868687,14.06060606060606,18.814655172413794
