source_league,team_code,team_name,roster_no,player_name,normalized_player_name,position_group,position,born,height_cm,weight_kg,throws,bats,note,nationality,debut,person_url,source_url,source_confidence
CPBL,AAA,DRAGONS,1,CHEN Tzu Hao,chen tzu hao,,Right-Fielder,1995/07/29,180,103,L,L,,R.O.C.(TAIWAN),2013/10/13,https://en.cpbl.com.tw/team/person?Acnt=0000000743,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,2,KUO Tian Shin,kuo tian shin,,Center-Fielder,2000/04/15,173,70,R,L,,R.O.C.(TAIWAN),2021/03/14,https://en.cpbl.com.tw/team/person?Acnt=0000005549,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,7,LIN Xiao Cheng,lin xiao cheng,,Left-Fielder,1999/11/30,172,80,R,L,,R.O.C.(TAIWAN),2021/07/13,https://en.cpbl.com.tw/team/person?Acnt=0000005548,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,24,WANG Shun Ho,wang shun ho,,Center-Fielder,2001/10/26,175,70,R,R,,R.O.C.(TAIWAN),2021/08/28,https://en.cpbl.com.tw/team/person?Acnt=0000006216,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,58,HSU Po Hung,hsu po hung,,Center-Fielder,2006/05/19,183,72,R,R,,R.O.C.(TAIWAN),2025/07/15,https://en.cpbl.com.tw/team/person?Acnt=0000007308,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,AAA,DRAGONS,81,CHANG You Jia,chang you jia,,Right-Fielder,2003/05/24,185,86,L,L,,R.O.C.(TAIWAN),2024/06/18,https://en.cpbl.com.tw/team/person?Acnt=0000006725,https://en.cpbl.com.tw/team?ClubNo=AAA,4
CPBL,ACN,Brothers,14,WEI Shuo Cheng,wei shuo cheng,,Pitcher,1997/06/17,182,85,L,L,,R.O.C.(TAIWAN),2020/08/12,https://en.cpbl.com.tw/team/person?Acnt=0000005572,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,20,CHIANG Chung Chen,chiang chung chen,,Pitcher,1990/03/10,180,95,R,R,,R.O.C.(TAIWAN),2014/09/07,https://en.cpbl.com.tw/team/person?Acnt=0000001232,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,21,LEE Chen Chang,lee chen chang,,Pitcher,1986/10/21,180,87,R,R,,R.O.C.(TAIWAN),2018/07/25,https://en.cpbl.com.tw/team/person?Acnt=0000003331,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,27,YOU Jun You,you jun you,,Pitcher,2003/07/02,175,81,L,L,,R.O.C.(TAIWAN),2025/10/05,https://en.cpbl.com.tw/team/person?Acnt=0000007281,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,30,Mario SANCHEZ,mario sanchez,,Pitcher,1994/10/31,185,95,R,R,,Venezuela,2023/04/30,https://en.cpbl.com.tw/team/person?Acnt=0000005604,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,32,Nivaldo RODRIGUEZ,nivaldo rodriguez,,Pitcher,1997/04/16,185,110,R,R,,Venezuela,2024/04/06,https://en.cpbl.com.tw/team/person?Acnt=0000005151,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,34,Felix PENA,felix pena,,Pitcher,1990/01/25,188,105,R,R,,Dominican Republic,2025/04/19,https://en.cpbl.com.tw/team/person?Acnt=0000007560,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,50,TSAI Chi Che,tsai chi che,,Pitcher,1995/12/18,185,88,R,R,,R.O.C.(TAIWAN),2017/09/27,https://en.cpbl.com.tw/team/person?Acnt=0000000778,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,58,LU Yen Ching,lu yen ching,,Pitcher,1996/03/10,177,75,L,L,,R.O.C.(TAIWAN),2021/08/29,https://en.cpbl.com.tw/team/person?Acnt=0000003639,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,62,CHEN Hu,chen hu,,Pitcher,1998/04/29,180,108,R,L,,R.O.C.(TAIWAN),2018/03/24,https://en.cpbl.com.tw/team/person?Acnt=0000000771,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,79,HSIEH Jung Hao,hsieh jung hao,,Pitcher,1990/07/09,188,101,R,R,,R.O.C.(TAIWAN),2014/03/23,https://en.cpbl.com.tw/team/person?Acnt=0000003506,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,83,WU Li Chen,wu li chen,,Pitcher,2002/03/06,179,80,R,R,,R.O.C.(TAIWAN),2025/03/29,https://en.cpbl.com.tw/team/person?Acnt=0000007276,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,94,WU Chun Wei,wu chun wei,,Pitcher,1998/12/31,175,78,R,R,,R.O.C.(TAIWAN),2019/03/26,https://en.cpbl.com.tw/team/person?Acnt=0000004625,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,48,CHEN Tong En,chen tong en,,Catcher,2001/09/19,178,90,R,R,,R.O.C.(TAIWAN),2024/05/18,https://en.cpbl.com.tw/team/person?Acnt=0000006732,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,65,KAO Yu Chieh,kao yu chieh,,Catcher,1997/07/17,184,94,R,R,,R.O.C.(TAIWAN),2019/06/25,https://en.cpbl.com.tw/team/person?Acnt=0000002285,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,72,CHEN Jiu Teng,chen jiu teng,,Catcher,2004/12/20,173,80,R,R,,R.O.C.(TAIWAN),2025/08/24,https://en.cpbl.com.tw/team/person?Acnt=0000007282,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,4,CHANG Shr Lun,chang shr lun,,Shortstop,2005/03/16,180,78,R,L,,R.O.C.(TAIWAN),2024/06/26,https://en.cpbl.com.tw/team/person?Acnt=0000007085,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,9,WANG Wei Chen,wang wei chen,,Third-Base Man,1991/07/03,185,85,R,L,,R.O.C.(TAIWAN),2016/04/26,https://en.cpbl.com.tw/team/person?Acnt=0000000929,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,28,CHANG Jen Wei,chang jen wei,,Second-Base Man,2003/05/01,171,77,R,R,,R.O.C.(TAIWAN),2023/05/15,https://en.cpbl.com.tw/team/person?Acnt=0000006730,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,61,WANG Cheng Shun,wang cheng shun,,Third-Base Man,1996/10/30,175,86,R,L,,R.O.C.(TAIWAN),2021/11/21,https://en.cpbl.com.tw/team/person?Acnt=0000002307,https://en.cpbl.com.tw/team?ClubNo=ACN,4
CPBL,ACN,Brothers,66,HUANG Wei Sheng,huang wei sheng,,First-Base Man,1999/02/19,183,96,R,R,,R.O.C.(TAIWAN),2021/07/17,https://en.cpbl.com.tw/team/person?Acnt=0000005298,https://en.cpbl.com.tw/team?ClubNo=ACN,4
