player_id,player_name,stat_group,sport_id,sport_level,status_code,split_count,error,source_url,collected_at
642048,"Saucedo, Tayler",pitching,11,AAA,200,7,,https://statsapi.mlb.com/api/v1/people/642048/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
642048,"Saucedo, Tayler",pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/642048/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
453286,"Scherzer, Max",pitching,11,AAA,200,6,,https://statsapi.mlb.com/api/v1/people/453286/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
642048,"Saucedo, Tayler",pitching,14,Single-A,200,2,,https://statsapi.mlb.com/api/v1/people/642048/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
453286,"Scherzer, Max",pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/453286/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
642048,"Saucedo, Tayler",pitching,16,Rookie,200,2,,https://statsapi.mlb.com/api/v1/people/642048/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
453286,"Scherzer, Max",pitching,13,High-A,200,2,,https://statsapi.mlb.com/api/v1/people/453286/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
453286,"Scherzer, Max",pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/453286/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
453286,"Scherzer, Max",pitching,14,Single-A,200,0,,https://statsapi.mlb.com/api/v1/people/453286/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
657376,"Schmidt, Clarke",pitching,12,AA,200,4,,https://statsapi.mlb.com/api/v1/people/657376/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
657376,"Schmidt, Clarke",pitching,16,Rookie,200,5,,https://statsapi.mlb.com/api/v1/people/657376/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
669947,"Scholtens, Jesse",pitching,11,AAA,200,8,,https://statsapi.mlb.com/api/v1/people/669947/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
657376,"Schmidt, Clarke",pitching,11,AAA,200,3,,https://statsapi.mlb.com/api/v1/people/657376/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
657376,"Schmidt, Clarke",pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/657376/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
657376,"Schmidt, Clarke",pitching,14,Single-A,200,1,,https://statsapi.mlb.com/api/v1/people/657376/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
669947,"Scholtens, Jesse",pitching,12,AA,200,2,,https://statsapi.mlb.com/api/v1/people/669947/stats?stats=yearByYear&group=pitching&sportId=12,2026-06-14T00:26:14+09:00
669947,"Scholtens, Jesse",pitching,13,High-A,200,3,,https://statsapi.mlb.com/api/v1/people/669947/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
669947,"Scholtens, Jesse",pitching,14,Single-A,200,2,,https://statsapi.mlb.com/api/v1/people/669947/stats?stats=yearByYear&group=pitching&sportId=14,2026-06-14T00:26:14+09:00
702273,"Schultz, Noah",pitching,11,AAA,200,2,,https://statsapi.mlb.com/api/v1/people/702273/stats?stats=yearByYear&group=pitching&sportId=11,2026-06-14T00:26:14+09:00
669947,"Scholtens, Jesse",pitching,16,Rookie,200,0,,https://statsapi.mlb.com/api/v1/people/669947/stats?stats=yearByYear&group=pitching&sportId=16,2026-06-14T00:26:14+09:00
702273,"Schultz, Noah",pitching,13,High-A,200,1,,https://statsapi.mlb.com/api/v1/people/702273/stats?stats=yearByYear&group=pitching&sportId=13,2026-06-14T00:26:14+09:00
