opp_sp_throw_name,role_group,t_code,t_code_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,ops_rank,obp_rank,slg_rank,iso_rank,bb_pct_rank,k_pct_rank,team_count
우투,OF_1-2_table_setters,9002,SSG,17,4,83.0,81,16,1,0,3,1,0,1,14,26,9,8.0,0.0,0.19753086419753085,0.20481927710843373,0.32098765432098764,0.5258069314294214,0.12345679012345678,0.012048192771084338,0.1686746987951807,10.0,10.0,8.0,7.0,10.0,5.0,10.0
우투,OF_3-5_run_production,9002,SSG,33,8,187.0,166,36,5,0,3,17,2,2,41,50,12,21.0,1.0,0.21686746987951808,0.29411764705882354,0.30120481927710846,0.595322466335932,0.08433734939759038,0.09090909090909091,0.2192513368983957,10.0,10.0,10.0,10.0,5.0,8.0,10.0
좌투,OF_3-5_run_production,9002,SSG,15,5,82.0,65,23,3,0,4,11,4,2,10,38,15,20.0,1.0,0.35384615384615387,0.4634146341463415,0.5846153846153846,1.0480300187617262,0.23076923076923078,0.13414634146341464,0.12195121951219512,2.0,2.0,2.0,4.0,3.0,2.0,10.0
우투,OF_6-9_lower_lineup,9002,SSG,40,8,266.0,226,61,10,1,8,33,4,2,42,97,43,29.0,8.0,0.26991150442477874,0.36981132075471695,0.42920353982300885,0.7990148605777259,0.15929203539823011,0.12406015037593984,0.15789473684210525,3.0,3.0,3.0,2.0,2.0,2.0,10.0
좌투,OF_6-9_lower_lineup,9002,SSG,18,8,132.0,125,29,6,2,4,4,0,3,26,51,22,20.0,4.0,0.232,0.25,0.408,0.6579999999999999,0.17599999999999996,0.030303030303030304,0.19696969696969696,5.0,8.0,3.0,2.0,10.0,4.0,10.0
