fit_slot,rows,research_status_count,top_research_status,median_fit_preparation_index,p75_fit_preparation_index,release_locked_rows,candidate_release_policy
asian_quota,978,3,nationality_manual_check_needed,54.8535,56.799,978,fit_preparation_research_only_no_recommendation
foreign_hitter,736,4,research_inventory_neutral_locked,47.829499999999996,56.4505,736,fit_preparation_research_only_no_recommendation
foreign_pitcher,1009,4,missing_or_stale_milb_context_review,38.294,47.217,1009,fit_preparation_research_only_no_recommendation
