tag,article_count,query_count,sample_titles
front_office,2374,30,"김원형 두산 감독, 아시안게임 탈락한 김택연 위로…“겉으론 덤덤했지... || 류지현 감독, 아시안게임 대표팀 명단 공개 ""목표는 금메달"" || ‘5월 이후 ERA 9.00’ LG 송승기, 왼쪽 등 담 증세로 1군 엔트리 제외 [..."
power,2358,30,"한화 11홈런 포수, 끝내 명단에 없었다…""수비에 초점"" 대표팀 선택은 ... || ‘1개 남았다’ 오스틴, 외인 역대 5호 ‘4시즌 연속 20홈런’ 눈앞…LG... || '박준순 IN 안현민 OUT' 류지현호 24인 결정"
injury_depth,1692,29,"‘5월 이후 ERA 9.00’ LG 송승기, 왼쪽 등 담 증세로 1군 엔트리 제외 [... || 갑분 윤동희? 안현민-KT 이해관계 때문일까…'황당 부상' 2할 타자, 국제... || '담 증세' LG 좌완 송승기, 1군 엔트리 말소…""휴식 차원"""
run_creation,1611,29,"[사진]오스틴, 찬스 이어가는 안타 || 공명-한효주, LG 득점에 환호[포토엔HD] || LG가 왜 이 선수 사랑하겠나…""투수들 고생했어"" 동료들에게 고마움 전..."
park_context,1463,29,"‘ERA 5.40’ 이로운 AG 미발탁에 아쉬움 드러낸 이 감독 “최근 결과 안... || 배구·탁구·사격… 스포츠 전방위 지원하는 대한항공 || ‘복귀 임박’ 고명준, ‘감 좋은’ 전의산→ SSG 1루 경쟁 시작 “지금..."
onbase_discipline,1192,29,"[사진]오지환, 몸에 맞는 볼로 출루 || [사진]김윤식, 밀어내기 볼넷 허용하며 조기 교체 || [사진]김윤식, 최정에 밀어내기 볼넷 허용"
foreign_hitter,1155,29,"[사진]김윤식, 밀어내기 볼넷 허용하며 조기 교체 || [사진]김윤식, 아쉬운 교체 || LG 역사에 없는 길 연다…오스틴, 4년 연속 20홈런까지 '-1'"
outfield,988,27,"조기 교육이 이렇게 무섭습니다! 문보경 AG 공백? 염경엽 감독 “어쩔 수... || '김도영·노시환·곽빈·문보경 등' 아시안게임 야구 대표팀 명단 확정 || '담 증세' LG 11승 좌완, 1군 엔트리 말소 긴급 결정…염경엽 감독 ""안 좋..."
defense_speed,273,27,"[사진]김윤식, 1회 수비를 마치고 || 류지현 감독, 아시안게임 대표팀 명단 공개 ""목표는 금메달"" || 한화 11홈런 포수, 끝내 명단에 없었다…""수비에 초점"" 대표팀 선택은 ..."
