of_rbi_bucket,games,wins,team_runs,opp_runs,of_pa,of_hr,of_rbi,win_pct
OF_RBI_0,19,5,3.1052631578947367,5.7368421052631575,11.578947368421053,0,0.0,0.2631578947368421
OF_RBI_1_2,26,10,4.346153846153846,5.961538461538462,13.038461538461538,11,38.0,0.38461538461538464
OF_RBI_3+,16,11,8.9375,5.375,13.875,12,67.0,0.6875
