role_model_family,target,feature,coefficient,abs_coefficient,direction,train_rows,positive_rows
hitter,success,pre_kbo_milb_hr,0.15285917385297218,0.15285917385297218,raises_target_probability,42,23
hitter,success,pre_kbo_milb_ops,-0.14177980002401908,0.14177980002401908,lowers_target_probability,42,23
hitter,success,pre_k_pct,-0.12123232803065093,0.12123232803065093,lowers_target_probability,42,23
hitter,success,pre_same_field_air_rate_proxy,0.1009253997638348,0.1009253997638348,raises_target_probability,42,23
hitter,success,pre_hr_pct,0.09887115970930277,0.09887115970930277,raises_target_probability,42,23
hitter,success,pre_barrel_rate,0.09799323246282436,0.09799323246282436,raises_target_probability,42,23
hitter,success,pre_kbo_milb_rows,-0.0913445975677577,0.0913445975677577,lowers_target_probability,42,23
hitter,success,pre_kbo_milb_obp,0.06483627637721917,0.06483627637721917,raises_target_probability,42,23
hitter,success,pre_hardhit_rate,0.061296094968245556,0.061296094968245556,raises_target_probability,42,23
hitter,success,pre_high_velo_xwoba,-0.05947440761388977,0.05947440761388977,lowers_target_probability,42,23
hitter,success,pre_kbo_milb_pa,-0.05521221253425741,0.05521221253425741,lowers_target_probability,42,23
pitcher,failure,pre_woba_allowed,0.8621335624109215,0.8621335624109215,raises_target_probability,82,33
pitcher,failure,pre_xwoba_allowed_bbe,-0.8289794827467437,0.8289794827467437,lowers_target_probability,82,33
pitcher,failure,pre_kbo_milb_era,-0.8069064402788345,0.8069064402788345,lowers_target_probability,82,33
pitcher,failure,pre_first_pitch_nonball_rate,-0.6903882071059396,0.6903882071059396,lowers_target_probability,82,33
pitcher,failure,pre_zone_rate,0.6348771811750942,0.6348771811750942,raises_target_probability,82,33
pitcher,failure,pre_kbo_milb_hr9,0.55289222484589,0.55289222484589,raises_target_probability,82,33
pitcher,failure,pre_whiff_per_swing,0.5495223016164876,0.5495223016164876,raises_target_probability,82,33
pitcher,failure,pre_barrel_rate,-0.5396090125337694,0.5396090125337694,lowers_target_probability,82,33
pitcher,failure,pre_kbo_milb_recent_rows,0.5041645090192702,0.5041645090192702,raises_target_probability,82,33
pitcher,failure,pre_kbo_milb_rows,0.48526798135136556,0.48526798135136556,raises_target_probability,82,33
pitcher,failure,pre_kbo_milb_latest_year,-0.48182526305817525,0.48182526305817525,lowers_target_probability,82,33
pitcher,failure,pre_k_pct,0.47867293041674347,0.47867293041674347,raises_target_probability,82,33
pitcher,failure,pre_three_ball_pitch_rate,0.42532196375499093,0.42532196375499093,raises_target_probability,82,33
pitcher,failure,pre_start_proxy_rate,-0.42099984767777715,0.42099984767777715,lowers_target_probability,82,33
pitcher,failure,pre_risp_woba_allowed,0.3761022618249349,0.3761022618249349,raises_target_probability,82,33
pitcher,failure,pre_kbo_milb_games,-0.34989333769883935,0.34989333769883935,lowers_target_probability,82,33
pitcher,failure,pre_starter_stabilizer_score,0.3428871635750761,0.3428871635750761,raises_target_probability,82,33
pitcher,failure,pre_kbo_milb_games_started,0.32884298598706935,0.32884298598706935,raises_target_probability,82,33
pitcher,failure,pre_hr_pct,0.31549664262688326,0.31549664262688326,raises_target_probability,82,33
pitcher,failure,pre_kbo_milb_whip,0.3151750154578573,0.3151750154578573,raises_target_probability,82,33
pitcher,failure,pre_start_proxy_games,-0.29172706559860473,0.29172706559860473,lowers_target_probability,82,33
pitcher,failure,pre_kbo_aaa_rows,-0.2851796063558446,0.2851796063558446,lowers_target_probability,82,33
pitcher,failure,pre_games_90plus_pitches,0.27654056058128684,0.27654056058128684,raises_target_probability,82,33
pitcher,failure,pre_bb_hbp_pct,-0.2331174770091597,0.2331174770091597,lowers_target_probability,82,33
pitcher,failure,pre_kbo_milb_highest_level_score,0.22538079723308854,0.22538079723308854,raises_target_probability,82,33
pitcher,failure,pre_games_100plus_pitches,0.21559036073625323,0.21559036073625323,raises_target_probability,82,33
pitcher,failure,pre_kbo_milb_bb9,0.1896772476792036,0.1896772476792036,raises_target_probability,82,33
pitcher,failure,pre_runner_on_base_woba_allowed,-0.18504848697792503,0.18504848697792503,lowers_target_probability,82,33
pitcher,failure,pre_pitch,-0.16414508211941994,0.16414508211941994,lowers_target_probability,82,33
pitcher,failure,pre_third_time_woba_allowed,-0.15865781076122515,0.15865781076122515,lowers_target_probability,82,33
pitcher,failure,pre_early_1_3_woba_allowed,-0.11767489672116067,0.11767489672116067,lowers_target_probability,82,33
pitcher,failure,pre_pa,-0.10237122174932943,0.10237122174932943,lowers_target_probability,82,33
pitcher,failure,pre_hardhit_rate,0.09348294344765756,0.09348294344765756,raises_target_probability,82,33
pitcher,failure,pre_third_time_game_rate,0.07513426008068344,0.07513426008068344,raises_target_probability,82,33
pitcher,failure,pre_games,-0.07094324401346372,0.07094324401346372,lowers_target_probability,82,33
pitcher,failure,pre_kbo_milb_k9,-0.0468736136877854,0.0468736136877854,lowers_target_probability,82,33
pitcher,failure,pre_xslg_allowed_bbe,0.033784243308461206,0.033784243308461206,raises_target_probability,82,33
pitcher,failure,pre_chase_rate,-0.031026216354819645,0.031026216354819645,lowers_target_probability,82,33
pitcher,failure,pre_kbo_aa_rows,0.0026403938688454127,0.0026403938688454127,raises_target_probability,82,33
pitcher,failure,pre_kbo_milb_ip,0.0026043061840846397,0.0026043061840846397,raises_target_probability,82,33
