slot_label,recommendation_rank,player_name,team_or_org,primary_position,primary_position_abbrev,age,bat_side,pitch_hand,birth_country,unified_fit_score,weighted_component_score,categorical_risk_penalty,role_or_position_adjustment,sample_adjustment,age_adjustment,data_mining_reason,role_or_position_note,sample_note,structured_risk_check,fit_slot,player_id,hard_gate,age_note,market_realism_status,contract_control_bucket,medical_risk_bucket,sensitivity_band,ssg_fit_component,kbo_translation_component,market_realism_component,tool_process_component,surplus_access_component,failure_resilience_component,internal_prior_score,hitter_recent_pa,hitter_recent_woba,hitter_recent_bb_pct,hitter_recent_k_pct,hitter_recent_hardhit_rate,hitter_recent_barrel_rate,pitcher_milb_role_continuity_bucket,pitcher_milb_2026_ip,pitcher_milb_2026_games_started,pitcher_milb_2026_k9,pitcher_milb_2026_bb9,pitcher_milb_2026_hr9,unified_rank_within_slot
외인타자,1,Luis Matos,MIL,Outfielder,RF,24.0,Right,Right,Venezuela,81.367,73.867,0.5,4.0,3.0,1.0,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 72.0; KBO translation 75.2; market 93.7; recent PA 205, wOBA 0.300",OF 우선순위 충족,타격 표본 안정: recent PA 205,market_realism_status=contract_verification_needed (-0.5),foreign_hitter,682641.0,pass,연령 upside: 24세,contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,72.018,75.25,93.716,62.256,67.118,62.426,66.124,205.0,0.3002439024390244,0.0585365853658535,0.1658536585365853,0.3617620601917294,0.0676244570664884,,,,,,,1
외인타자,2,Will Brennan,SF,Outfielder,LF,28.0,Left,Left,USA,80.52,82.02,4.0,4.0,-1.5,0.0,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 80.4; KBO translation 85.0; market 99.6; recent PA 36, wOBA 0.116",OF 우선순위 충족,타격 표본 작음: recent PA 36,market_realism_status=manual_contact_priority_locked (-2.5) | medical_risk_bucket=medical_history_watch (-3) | contract_access_bonus=recent_dfa_high_access (+1.5),foreign_hitter,686823.0,pass,연령 정상권: 28세,manual_contact_priority_locked,recent_dfa_high_access,medical_history_watch,stable_top25_locked,80.414,85.037,99.637,68.792,82.973,63.534,74.672,36.0,0.1161616161616161,0.0277777777777777,0.111111111111111,0.2764619883040936,0.0,,,,,,,2
외인타자,3,Dominic Fletcher,PIT,Outfielder,RF,28.0,Left,Left,USA,78.945,76.945,0.5,4.0,-1.5,0.0,"SSG runner-on-first 전환 병목을 겨냥한 OF/DH 후보; SSG fit 75.4; KBO translation 80.3; market 93.8; recent PA 34, wOBA 0.310",OF 우선순위 충족,타격 표본 작음: recent PA 34,market_realism_status=contract_verification_needed (-0.5),foreign_hitter,666150.0,pass,연령 정상권: 28세,contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,75.414,80.324,93.818,68.945,67.22,63.885,70.066,34.0,0.3102941176470588,0.0588235294117647,0.0588235294117647,0.4,0.0333333333333333,,,,,,,3
외인투수,1,Josh Fleming,TOR,Pitcher,P,30.0,Left,Left,USA,80.886,76.386,0.5,5.0,0.0,0.0,SSG 선발 runway/불펜 tax 문제에 맞춘 SP/multi-inning 후보; SSG fit 76.4; KBO translation 77.0; market 93.2; 2026 MiLB 53.0 IP/10 GS,"AAA 선발 지속성: 10 GS, 53.0 IP",,market_realism_status=contract_verification_needed (-0.5),foreign_pitcher,676596.0,pass,연령 정상권: 30세,contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,76.411,77.023,93.219,73.548,64.072,61.159,65.068,,,,,,,current_aaa_starter_load,53.0,10.0,7.471698113207547,1.3584905660377358,0.5094339622641509,1
외인투수,2,Bruce Zimmermann,STL,Pitcher,P,31.0,Left,Left,USA,76.935,72.435,0.5,5.0,0.0,0.0,SSG 선발 runway/불펜 tax 문제에 맞춘 SP/multi-inning 후보; SSG fit 72.2; KBO translation 71.3; market 93.1; 2026 MiLB 67.7 IP/13 GS,"AAA 선발 지속성: 13 GS, 67.7 IP",,market_realism_status=contract_verification_needed (-0.5),foreign_pitcher,669145.0,pass,연령 정상권: 31세,contract_verification_needed,non40man_or_outrighted_medium_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,72.173,71.304,93.144,67.897,63.998,53.074,59.126,,,,,,,current_aaa_starter_load,67.66666666666667,13.0,9.975369458128078,2.2610837438423643,1.862068965517241,2
외인투수,3,Yariel Rodríguez,TOR,Pitcher,P,29.0,Right,Right,Cuba,76.318,75.318,1.0,2.0,0.0,0.0,SSG 선발 runway/불펜 tax 문제에 맞춘 SP/multi-inning 후보; SSG fit 74.1; KBO translation 70.2; market 99.6; 2026 MiLB 13.7 IP/1 GS,"AAA 스윙/멀티이닝: 1 GS, 13.7 IP",,market_realism_status=manual_contact_priority_locked (-2.5) | contract_access_bonus=recent_dfa_high_access (+1.5),foreign_pitcher,684320.0,pass,연령 정상권: 29세,manual_contact_priority_locked,recent_dfa_high_access,no_public_medical_signal_from_roster_transactions,stable_top25_locked,74.113,70.164,99.559,66.483,79.941,52.627,61.474,,,,,,,current_aaa_swing_or_multi_inning,13.666666666666666,1.0,16.463414634146343,5.926829268292683,0.0,3
