rule_type,rule,rule_description,components,hidden_interaction_lift,loss_rate_lift_vs_baseline,hidden_need_score,games,win_pct,complement_win_pct,win_pct_delta,loss_rate,avg_run_diff,avg_team_runs,avg_opp_runs,avg_starter_outs,avg_bullpen_ip,avg_of_rbi,avg_of_high_obp,avg_ssg_errors,avg_unearned_runs,avg_team_run_kill,avg_ofdh_run_kill,avg_opp_win_pct,avg_park_total_runs
triple,starter_short_lt5 AND bullpen_bb4plus AND of_high_rbi_zero,starter failed to complete 5 innings + bullpen issued 4+ walks + high-leverage OF lineup slots had 0 RBI,starter_short_lt5;bullpen_bb4plus;of_high_rbi_zero,0.25,0.42622950819672134,2.6516393442622954,6,0.0,0.4727272727272727,-0.4727272727272727,1.0,-5.5,3.8333333333333335,9.333333333333334,11.666666666666666,4.777777777777778,0.6666666666666666,0.32916666666666666,0.0,0.5,1.3333333333333333,0.5,0.5358465608465609,10.675448028673834
triple,starter_disaster AND of_high_rbi_zero AND ofdh_run_kill_ge1,starter disaster: 5+ ER or fewer than 4 innings + high-leverage OF lineup slots had 0 RBI + OF/DH slots had at least 1 GDP/CS run-kill event,starter_disaster;of_high_rbi_zero;ofdh_run_kill_ge1,0.25,0.42622950819672134,2.6516393442622954,6,0.0,0.4727272727272727,-0.4727272727272727,1.0,-5.166666666666667,3.6666666666666665,8.833333333333334,10.0,5.166666666666667,0.0,0.28333333333333327,0.0,0.6666666666666666,1.3333333333333333,1.0,0.49149172213688336,10.373118279569892
triple,starter_disaster AND replacement_slot_rbi_lt3 AND ofdh_run_kill_ge1,starter disaster: 5+ ER or fewer than 4 innings + OF/DH slots had fewer than 3 RBI + OF/DH slots had at least 1 GDP/CS run-kill event,starter_disaster;replacement_slot_rbi_lt3;ofdh_run_kill_ge1,0.25,0.42622950819672134,2.6516393442622954,6,0.0,0.4727272727272727,-0.4727272727272727,1.0,-5.0,2.6666666666666665,7.666666666666667,11.333333333333334,4.888888888888888,0.3333333333333333,0.2791666666666666,0.0,0.6666666666666666,1.0,1.0,0.50815838880355,10.128673835125449
triple,bullpen_bb4plus AND of_rbi_lt3 AND of_high_rbi_zero,bullpen issued 4+ walks + outfielders combined for fewer than 3 RBI + high-leverage OF lineup slots had 0 RBI,bullpen_bb4plus;of_rbi_lt3;of_high_rbi_zero,0.25,0.42622950819672134,2.6516393442622954,6,0.0,0.4727272727272727,-0.4727272727272727,1.0,-5.5,3.6666666666666665,9.166666666666666,12.166666666666666,4.722222222222222,0.3333333333333333,0.32916666666666666,0.0,0.6666666666666666,1.5,0.5,0.5191798941798941,10.91989247311828
triple,bullpen_bb4plus AND of_high_rbi_zero AND high_run_park,bullpen issued 4+ walks + high-leverage OF lineup slots had 0 RBI + game was in a higher-run venue bucket,bullpen_bb4plus;of_high_rbi_zero;high_run_park,0.25,0.42622950819672134,2.6516393442622954,6,0.0,0.4727272727272727,-0.4727272727272727,1.0,-4.333333333333333,4.5,8.833333333333334,12.333333333333334,4.833333333333333,1.0,0.37916666666666665,0.0,0.5,1.5,0.3333333333333333,0.5191798941798941,11.222222222222221
triple,bullpen_bb4plus AND opp_sp_right AND high_run_park,bullpen issued 4+ walks + opponent starter was right-handed + game was in a higher-run venue bucket,bullpen_bb4plus;opp_sp_right;high_run_park,0.25,0.42622950819672134,2.6516393442622954,6,0.0,0.4727272727272727,-0.4727272727272727,1.0,-4.666666666666667,3.1666666666666665,7.833333333333333,13.666666666666666,4.444444444444444,1.0,0.3541666666666667,0.0,0.3333333333333333,1.0,0.3333333333333333,0.5102900791078063,10.733333333333333
triple,bullpen_bb4plus AND opp_offense_top3 AND high_run_park,bullpen issued 4+ walks + opponent ranked top 3 by current team OPS + game was in a higher-run venue bucket,bullpen_bb4plus;opp_offense_top3;high_run_park,0.25,0.42622950819672134,2.6516393442622954,6,0.0,0.4727272727272727,-0.4727272727272727,1.0,-5.0,3.8333333333333335,8.833333333333334,13.0,4.611111111111112,0.8333333333333334,0.46249999999999997,0.0,0.3333333333333333,1.8333333333333333,0.5,0.5522768670309653,11.222222222222221
triple,bullpen_bb4plus AND of_top_obp_le_250 AND opp_runs_ge6,bullpen issued 4+ walks + OF table-setter OBP was .250 or lower + opponent scored 6+ runs,bullpen_bb4plus;of_top_obp_le_250;opp_runs_ge6,0.1875,0.42622950819672134,2.6280737704918034,11,0.0,0.52,-0.52,1.0,-6.0,4.181818181818182,10.181818181818182,12.181818181818182,4.636363636363637,1.1818181818181819,0.4181818181818182,0.0,0.45454545454545453,1.2727272727272727,0.45454545454545453,0.5296308464764756,10.65923753665689
triple,starter_disaster AND bullpen_bb4plus AND of_rbi_lt3,starter disaster: 5+ ER or fewer than 4 innings + bullpen issued 4+ walks + outfielders combined for fewer than 3 RBI,starter_disaster;bullpen_bb4plus;of_rbi_lt3,0.25,0.42622950819672134,2.6188524590163933,5,0.0,0.4642857142857143,-0.4642857142857143,1.0,-7.8,4.4,12.2,10.0,4.866666666666666,0.6,0.37,0.0,0.6,1.2,0.6,0.5144895201161728,10.276989247311828
triple,starter_disaster AND bullpen_bb4plus AND of_top_obp_le_250,starter disaster: 5+ ER or fewer than 4 innings + bullpen issued 4+ walks + OF table-setter OBP was .250 or lower,starter_disaster;bullpen_bb4plus;of_top_obp_le_250,0.25,0.42622950819672134,2.6188524590163933,5,0.0,0.4642857142857143,-0.4642857142857143,1.0,-7.8,4.4,12.2,10.0,4.866666666666666,0.6,0.37,0.0,0.6,1.2,0.6,0.5144895201161728,10.276989247311828
triple,bullpen_bb4plus AND of_rbi_lt3 AND ofdh_run_kill_ge1,bullpen issued 4+ walks + outfielders combined for fewer than 3 RBI + OF/DH slots had at least 1 GDP/CS run-kill event,bullpen_bb4plus;of_rbi_lt3;ofdh_run_kill_ge1,0.25,0.42622950819672134,2.6188524590163933,5,0.0,0.4642857142857143,-0.4642857142857143,1.0,-6.8,3.8,10.6,12.4,4.466666666666667,0.6,0.42000000000000004,0.0,0.8,1.8,1.0,0.5357481134530315,10.663870967741934
triple,bullpen_bb4plus AND of_high_rbi_zero AND replacement_slot_rbi_lt3,bullpen issued 4+ walks + high-leverage OF lineup slots had 0 RBI + OF/DH slots had fewer than 3 RBI,bullpen_bb4plus;of_high_rbi_zero;replacement_slot_rbi_lt3,0.25,0.42622950819672134,2.6188524590163933,5,0.0,0.4642857142857143,-0.4642857142857143,1.0,-6.0,2.4,8.4,13.2,4.533333333333333,0.4,0.315,0.0,0.8,1.2,0.4,0.5196825396825396,10.663870967741936
triple,bullpen_bb4plus AND of_high_rbi_zero AND opp_sp_right,bullpen issued 4+ walks + high-leverage OF lineup slots had 0 RBI + opponent starter was right-handed,bullpen_bb4plus;of_high_rbi_zero;opp_sp_right,0.25,0.42622950819672134,2.6188524590163933,5,0.0,0.4642857142857143,-0.4642857142857143,1.0,-6.0,2.6,8.6,12.6,4.6,0.8,0.315,0.0,0.6,1.0,0.4,0.5396825396825398,10.370537634408603
triple,bullpen_bb4plus AND of_top_obp_le_250 AND ofdh_run_kill_ge1,bullpen issued 4+ walks + OF table-setter OBP was .250 or lower + OF/DH slots had at least 1 GDP/CS run-kill event,bullpen_bb4plus;of_top_obp_le_250;ofdh_run_kill_ge1,0.25,0.42622950819672134,2.6188524590163933,5,0.0,0.4642857142857143,-0.4642857142857143,1.0,-6.8,3.8,10.6,12.4,4.466666666666667,0.6,0.42000000000000004,0.0,0.8,1.8,1.0,0.5357481134530315,10.663870967741934
triple,bullpen_bb4plus AND opp_top3_win_pct AND high_run_park,bullpen issued 4+ walks + opponent ranked top 3 by current 2026 win percentage + game was in a higher-run venue bucket,bullpen_bb4plus;opp_top3_win_pct;high_run_park,0.25,0.42622950819672134,2.6188524590163933,5,0.0,0.4642857142857143,-0.4642857142857143,1.0,-5.4,2.8,8.2,13.6,4.466666666666667,1.4,0.475,0.0,0.2,1.4,0.4,0.579398907103825,10.733333333333333
triple,bullpen_bb4plus AND of_rbi_lt3 AND opp_runs_ge6,bullpen issued 4+ walks + outfielders combined for fewer than 3 RBI + opponent scored 6+ runs,bullpen_bb4plus;of_rbi_lt3;opp_runs_ge6,0.1875,0.42622950819672134,2.5952868852459017,10,0.0,0.5098039215686274,-0.5098039215686274,1.0,-6.5,3.9,10.4,12.2,4.6,0.9,0.41,0.0,0.5,1.3,0.5,0.5209272644574565,10.651827956989248
triple,of_rbi_lt3 AND opp_runs_ge6 AND ofdh_run_kill_ge1,outfielders combined for fewer than 3 RBI + opponent scored 6+ runs + OF/DH slots had at least 1 GDP/CS run-kill event,of_rbi_lt3;opp_runs_ge6;ofdh_run_kill_ge1,0.1875,0.42622950819672134,2.5952868852459017,10,0.0,0.5098039215686274,-0.5098039215686274,1.0,-5.7,3.3,9.0,12.7,4.366666666666667,0.6,0.3075,0.0,0.9,1.6,1.1,0.5395407233931824,10.663870967741934
triple,replacement_slot_rbi_lt3 AND opp_runs_ge6 AND ofdh_run_kill_ge1,OF/DH slots had fewer than 3 RBI + opponent scored 6+ runs + OF/DH slots had at least 1 GDP/CS run-kill event,replacement_slot_rbi_lt3;opp_runs_ge6;ofdh_run_kill_ge1,0.1875,0.42622950819672134,2.5625,9,0.0,0.5,-0.5,1.0,-6.0,2.5555555555555554,8.555555555555555,13.333333333333334,4.222222222222222,0.6666666666666666,0.2972222222222222,0.0,1.0,1.4444444444444444,1.1111111111111112,0.5420822852516841,10.493189964157704
triple,opp_runs_ge6 AND high_run_park AND ofdh_run_kill_ge1,opponent scored 6+ runs + game was in a higher-run venue bucket + OF/DH slots had at least 1 GDP/CS run-kill event,opp_runs_ge6;high_run_park;ofdh_run_kill_ge1,0.1875,0.42622950819672134,2.5625,9,0.0,0.5,-0.5,1.0,-4.888888888888889,4.111111111111111,9.0,13.222222222222221,4.481481481481482,0.8888888888888888,0.3541666666666667,0.0,0.3333333333333333,1.6666666666666667,1.1111111111111112,0.5057671565636741,11.059259259259257
triple,bullpen_bb4plus AND replacement_slot_rbi_lt3 AND opp_runs_ge6,bullpen issued 4+ walks + OF/DH slots had fewer than 3 RBI + opponent scored 6+ runs,bullpen_bb4plus;replacement_slot_rbi_lt3;opp_runs_ge6,0.1875,0.42622950819672134,2.5297131147540988,8,0.0,0.49056603773584906,-0.49056603773584906,1.0,-7.125,3.125,10.25,13.25,4.416666666666667,1.0,0.4,0.0,0.625,1.125,0.5,0.5260918762707454,10.674865591397849
triple,of_rbi_lt3 AND opp_runs_ge6 AND opp_top3_win_pct,outfielders combined for fewer than 3 RBI + opponent scored 6+ runs + opponent ranked top 3 by current 2026 win percentage,of_rbi_lt3;opp_runs_ge6;opp_top3_win_pct,0.1875,0.42622950819672134,2.5297131147540988,8,0.0,0.49056603773584906,-0.49056603773584906,1.0,-7.625,2.375,10.0,12.625,4.291666666666666,1.0,0.3496527777777778,0.0,1.125,1.0,0.625,0.5983948087431694,10.038037634408603
triple,of_rbi_lt3 AND opp_runs_ge6 AND opp_offense_top3,outfielders combined for fewer than 3 RBI + opponent scored 6+ runs + opponent ranked top 3 by current team OPS,of_rbi_lt3;opp_runs_ge6;opp_offense_top3,0.1875,0.42622950819672134,2.5297131147540988,8,0.0,0.49056603773584906,-0.49056603773584906,1.0,-6.125,3.75,9.875,12.125,4.666666666666667,0.875,0.425,0.0,0.25,1.625,0.75,0.5483948087431695,11.268279569892472
triple,replacement_slot_rbi_lt3 AND opp_runs_ge6 AND opp_top3_win_pct,OF/DH slots had fewer than 3 RBI + opponent scored 6+ runs + opponent ranked top 3 by current 2026 win percentage,replacement_slot_rbi_lt3;opp_runs_ge6;opp_top3_win_pct,0.1875,0.42622950819672134,2.5297131147540988,8,0.0,0.49056603773584906,-0.49056603773584906,1.0,-7.625,2.375,10.0,12.625,4.291666666666666,1.0,0.3496527777777778,0.0,1.125,1.0,0.625,0.5983948087431694,10.038037634408603
