candidate_key,candidate_news_scope,fit_slot,player_id,player_name,search_name,team_or_org,position_or_role,market_realism_status,contract_control_bucket,medical_risk_bucket,market_realism_fit_blend_for_triage_only,person_url,source_url
c58df457ee2acd50,run026_market_realism_priority_expanded,asian_quota,,"Sun, Yi-Lei",Yi-Lei Sun,Hokkaido Nippon-Ham Fighters,Pitchers,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,48.292,https://npb.jp/bis/eng/players/83785159.html,https://npb.jp/bis/eng/teams/rst_f.html
77fcb317bda63213,run026_market_realism_priority_expanded,asian_quota,,"Yang, Po-Hsiang",Po-Hsiang Yang,Tohoku Rakuten Golden Eagles,Infielders,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,46.972,https://npb.jp/bis/eng/players/53355150.html,https://npb.jp/bis/eng/teams/rst_e.html
dc923c066641a262,run026_market_realism_priority_expanded,asian_quota,,"Gu Lin, Ruei-Yang",Ruei-Yang Gu Lin,Hokkaido Nippon-Ham Fighters,Pitchers,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,46.255,https://npb.jp/bis/eng/players/93595150.html,https://npb.jp/bis/eng/teams/rst_f.html
036e9341b9b2a5eb,run026_market_realism_priority_expanded,asian_quota,,CHEN Jiu Teng,CHEN Jiu Teng,Brothers,Catcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000007282,https://en.cpbl.com.tw/team?ClubNo=ACN
07d6481baede5769,run026_market_realism_priority_expanded,asian_quota,,CHEN Tong En,CHEN Tong En,Brothers,Catcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000006732,https://en.cpbl.com.tw/team?ClubNo=ACN
84a38920dcef97cb,run026_market_realism_priority_expanded,asian_quota,,KAO Yu Chieh,KAO Yu Chieh,Brothers,Catcher,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000002285,https://en.cpbl.com.tw/team?ClubNo=ACN
a4d1a63e8d72d579,run026_market_realism_priority_expanded,asian_quota,,CHANG Chih Hao,CHANG Chih Hao,Brothers,Center-Fielder,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000003183,https://en.cpbl.com.tw/team?ClubNo=ACN
d92f63deb3d66696,run026_market_realism_priority_expanded,asian_quota,,HSU Ting Lun,HSU Ting Lun,Brothers,Center-Fielder,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000007278,https://en.cpbl.com.tw/team?ClubNo=ACN
d4d4084b3ae27c88,run026_market_realism_priority_expanded,asian_quota,,YUEH Cheng Hua,YUEH Cheng Hua,Brothers,Center-Fielder,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000005571,https://en.cpbl.com.tw/team?ClubNo=ACN
d43930fce77b50b9,run026_market_realism_priority_expanded,asian_quota,,HSU Chi Hung,HSU Chi Hung,Brothers,First-Base Man,buyout_salary_agent_check_needed,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,44.5,https://en.cpbl.com.tw/team/person?Acnt=0000001119,https://en.cpbl.com.tw/team?ClubNo=ACN
