year,t_code,t_code_name,split_value,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,split_type,pa_rank,r_rank,rbi_rank,hr_rank,avg_rank,obp_rank,slg_rank,ops_rank,iso_rank,bb_pct_rank,k_pct_rank,team_count_in_split
2024,9002,SSG,6-9_lower_lineup,144,26,2344.0,2091,545,84,7,44,186,21,16,462,775,270,253.0,67.0,0.26064084170253465,0.32497839239412274,0.3706360593017695,0.6956144516958922,0.10999521759923486,0.07935153583617748,0.197098976109215,lineup_group,9.0,9.0,9.0,5.0,5.0,9.0,6.0,9.0,7.0,9.0,4.0,10
2024,9002,SSG,OF_1-2_table_setters,114,7,573.0,507,144,26,6,11,55,4,2,82,215,97,51.0,36.0,0.28402366863905326,0.3573943661971831,0.4240631163708087,0.7814574825679919,0.14003944773175542,0.09598603839441536,0.1431064572425829,of_lineup_group,8.0,8.0,9.0,7.0,7.0,8.0,5.0,7.0,4.0,8.0,3.0,10
2024,9002,SSG,OF_3-5_run_production,143,9,982.0,898,259,56,1,32,51,19,12,192,413,120,165.0,9.0,0.2884187082405345,0.3357142857142857,0.4599109131403118,0.7956251988545975,0.1714922048997773,0.051934826883910386,0.1955193482688391,of_lineup_group,1.0,1.0,1.0,1.0,7.0,9.0,7.0,7.0,5.0,9.0,6.0,10
2024,9002,SSG,OF_6-9_lower_lineup,78,9,347.0,312,82,21,1,11,27,1,5,87,138,54,44.0,15.0,0.26282051282051283,0.3188405797101449,0.4423076923076923,0.7611482720178372,0.17948717948717946,0.07780979827089338,0.2507204610951009,of_lineup_group,9.0,9.0,9.0,4.0,6.0,8.0,2.0,4.0,1.0,7.0,10.0,10
2024,9002,SSG,non_OF,144,28,3744.0,3283,882,136,12,98,337,53,29,733,1336,485,464.0,89.0,0.26865671641791045,0.34359805510534847,0.4069448674992385,0.750542922604587,0.13828815108132808,0.09001068376068376,0.19577991452991453,of_lineup_group,10.0,6.0,9.0,7.0,7.0,6.0,8.0,8.0,8.0,5.0,5.0,10
2024,9002,SSG,DH,137,18,605.0,524,136,21,1,23,62,9,7,146,228,86,86.0,8.0,0.2595419847328244,0.3438538205980066,0.4351145038167939,0.7789683244148005,0.17557251908396948,0.1024793388429752,0.2413223140495868,position_group,7.0,4.0,8.0,3.0,7.0,7.0,6.0,7.0,3.0,5.0,9.0,10
2024,9002,SSG,IF_C,144,16,3044.0,2685,734,113,11,75,256,43,22,559,1094,393,374.0,80.0,0.2733705772811918,0.34364604125083165,0.4074487895716946,0.7510948308225263,0.13407821229050282,0.08409986859395532,0.18363994743758214,position_group,9.0,6.0,10.0,7.0,6.0,5.0,8.0,8.0,8.0,6.0,4.0,10
2024,9002,SSG,OF,144,11,1902.0,1717,485,103,8,54,133,24,19,361,766,271,260.0,60.0,0.2824694234129295,0.33914421553090335,0.44612696563774024,0.7852711811686436,0.16365754222481071,0.06992639327024185,0.18980021030494218,position_group,7.0,6.0,2.0,3.0,6.0,9.0,4.0,5.0,3.0,10.0,7.0,10
2024,9002,SSG,PH,68,22,95.0,74,12,2,0,0,19,1,0,28,14,4,4.0,0.0,0.16216216216216217,0.3404255319148936,0.1891891891891892,0.5296147211040828,0.02702702702702703,0.2,0.29473684210526313,position_group,4.0,7.0,9.0,6.0,8.0,5.0,10.0,9.0,10.0,2.0,9.0,10
2024,9002,SSG,other,15,8,0.0,0,0,0,0,0,0,0,0,0,0,2,0.0,1.0,,,,,,,,position_group,2.0,9.0,1.0,1.0,,,,,,,,10
2024,9002,SSG,all,144,28,5646.0,5000,1367,239,20,152,470,77,48,1094,2102,756,724.0,149.0,0.2734,0.3420911528150134,0.4204,0.7624911528150133,0.14700000000000002,0.0832447750619908,0.19376549769748494,team_total,9.0,8.0,7.0,4.0,7.0,9.0,6.0,8.0,5.0,10.0,7.0,10
2025,9002,SSG,1-2_table_setters,144,20,1328.0,1164,303,41,6,17,125,9,9,247,407,172,100.0,48.0,0.2603092783505155,0.3343534812547819,0.34965635738831613,0.6840098386430981,0.08934707903780065,0.09412650602409639,0.18599397590361447,lineup_group,10.0,8.0,10.0,7.0,9.0,8.0,8.0,8.0,8.0,6.0,6.0,10
2025,9002,SSG,3-5_run_production,144,30,1899.0,1676,449,70,1,67,171,31,14,421,722,217,256.0,19.0,0.2678997613365155,0.3440803382663848,0.4307875894988067,0.7748679277651915,0.1628878281622912,0.09004739336492891,0.22169562927856767,lineup_group,7.0,9.0,8.0,4.0,9.0,9.0,8.0,8.0,6.0,8.0,10.0,10
2025,9002,SSG,6-9_lower_lineup,144,31,2290.0,2035,497,64,7,43,197,20,14,491,704,219,222.0,62.0,0.24422604422604421,0.31509267431597526,0.34594594594594597,0.6610386202619212,0.10171990171990175,0.08602620087336245,0.21441048034934498,lineup_group,9.0,10.0,8.0,5.0,7.0,7.0,7.0,6.0,5.0,4.0,6.0,10
2025,9002,SSG,OF_1-2_table_setters,115,8,685.0,617,168,25,3,8,53,5,6,116,223,82,53.0,29.0,0.27228525121555913,0.33186490455212925,0.36142625607779577,0.693291160629925,0.08914100486223664,0.07737226277372262,0.16934306569343066,of_lineup_group,5.0,8.0,6.0,6.0,4.0,6.0,5.0,5.0,6.0,10.0,5.0,10
2025,9002,SSG,OF_3-5_run_production,125,14,683.0,606,174,28,0,22,60,11,4,150,268,78,98.0,8.0,0.2871287128712871,0.35976505139500736,0.44224422442244227,0.8020092758174496,0.15511551155115516,0.08784773060029283,0.21961932650073207,of_lineup_group,4.0,5.0,3.0,2.0,6.0,6.0,4.0,5.0,3.0,7.0,9.0,10
2025,9002,SSG,OF_6-9_lower_lineup,104,13,487.0,434,101,11,2,12,40,4,4,113,152,47,61.0,12.0,0.23271889400921658,0.3008298755186722,0.35023041474654376,0.651060290265216,0.11751152073732718,0.08213552361396304,0.23203285420944558,of_lineup_group,9.0,9.0,4.0,2.0,7.0,8.0,5.0,7.0,1.0,8.0,6.0,10
2025,9002,SSG,non_OF,144,32,3662.0,3218,806,111,9,85,340,40,23,780,1190,401,366.0,80.0,0.2504661280298322,0.32753383043358186,0.36979490366687384,0.6973287341004557,0.11932877563704164,0.09284543965046423,0.212998361551065,of_lineup_group,9.0,7.0,9.0,5.0,8.0,9.0,7.0,8.0,7.0,5.0,8.0,10
2025,9002,SSG,DH,143,20,602.0,518,128,20,0,26,68,14,1,162,226,73,84.0,0.0,0.2471042471042471,0.34941763727121466,0.4362934362934363,0.785711073564651,0.1891891891891892,0.11295681063122924,0.2691029900332226,position_group,5.0,5.0,4.0,1.0,8.0,6.0,4.0,5.0,3.0,4.0,10.0,10
2025,9002,SSG,IF_C,144,21,2983.0,2639,667,91,9,58,258,25,21,599,950,320,273.0,76.0,0.25274725274725274,0.32279986408426775,0.35998484274346343,0.6827847068277312,0.10723758999621069,0.08649011062688569,0.2008045591686222,position_group,7.0,9.0,10.0,6.0,9.0,9.0,8.0,9.0,8.0,5.0,6.0,10
