context_value,role_value,t_code,t_code_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_pa,r_pa,rbi_pa,context_type,role_type,ops_rank,obp_rank,slg_rank,iso_rank,bb_pct_rank,hr_pa_rank,r_pa_rank,rbi_pa_rank,k_pct_rank,team_count,hidden_signal
04,OF,9002,SSG,24,8,314.0,277,67,11,1,8,24,6,6,64,104,42,45.0,4.0,0.24187725631768953,0.30990415335463256,0.37545126353790614,0.6853554168925386,0.13357400722021662,0.07643312101910828,0.20382165605095542,0.025477707006369428,0.1337579617834395,0.14331210191082802,month,position_group,10.0,10.0,9.0,8.0,7.0,3.0,3.0,1.0,7.0,10,contextual_weakness
05,OF,9002,SSG,26,8,329.0,296,71,14,2,6,27,3,3,60,107,38,36.0,5.0,0.23986486486486486,0.3069908814589666,0.3614864864864865,0.6684773679454531,0.12162162162162166,0.08206686930091185,0.182370820668693,0.0182370820668693,0.11550151975683891,0.1094224924012158,month,position_group,8.0,9.0,7.0,6.0,8.0,6.0,9.0,9.0,5.0,10,contextual_weakness
KIA,OF,9002,SSG,5,6,61.0,55,14,1,0,2,6,0,0,14,21,7,12.0,4.0,0.2545454545454545,0.32786885245901637,0.38181818181818183,0.7096870342771981,0.12727272727272732,0.09836065573770492,0.22950819672131148,0.03278688524590164,0.11475409836065574,0.19672131147540983,opponent_name,position_group,7.0,7.0,6.0,4.0,6.0,2.0,6.0,1.0,8.0,9,contextual_weakness
LG,OF,9002,SSG,8,9,104.0,91,27,2,0,4,9,1,2,14,41,11,11.0,2.0,0.2967032967032967,0.3592233009708738,0.45054945054945056,0.8097727515203244,0.15384615384615385,0.08653846153846154,0.1346153846153846,0.038461538461538464,0.10576923076923077,0.10576923076923077,opponent_name,position_group,7.0,4.0,7.0,6.0,3.0,3.0,8.0,6.0,1.0,9,walks_not_converting_to_damage
두산,OF,9002,SSG,6,7,68.0,63,15,4,0,1,2,1,2,14,22,8,5.0,0.0,0.23809523809523808,0.2647058823529412,0.3492063492063492,0.6139122315592904,0.1111111111111111,0.029411764705882353,0.20588235294117646,0.014705882352941176,0.11764705882352941,0.07352941176470588,opponent_name,position_group,7.0,8.0,7.0,7.0,9.0,6.0,6.0,7.0,4.0,9,contextual_weakness
삼성,OF,9002,SSG,5,7,61.0,55,10,4,0,1,4,1,1,10,17,5,6.0,1.0,0.18181818181818182,0.2459016393442623,0.3090909090909091,0.5549925484351714,0.12727272727272726,0.06557377049180328,0.16393442622950818,0.01639344262295082,0.08196721311475409,0.09836065573770492,opponent_name,position_group,8.0,9.0,7.0,5.0,6.0,7.0,7.0,5.0,5.0,9,contextual_weakness
키움,OF,9002,SSG,9,7,110.0,102,24,4,1,6,6,0,2,19,48,16,15.0,2.0,0.23529411764705882,0.2727272727272727,0.47058823529411764,0.7433155080213903,0.23529411764705882,0.05454545454545454,0.17272727272727273,0.05454545454545454,0.14545454545454545,0.13636363636363635,opponent_name,position_group,7.0,9.0,5.0,1.0,6.0,1.0,5.0,4.0,5.0,9,power_without_full_run_value+contextual_weakness
한화,OF,9002,SSG,8,7,106.0,91,20,2,2,1,10,3,2,17,29,14,10.0,1.0,0.21978021978021978,0.3113207547169811,0.31868131868131866,0.6300020733982998,0.09890109890109888,0.09433962264150944,0.16037735849056603,0.009433962264150943,0.1320754716981132,0.09433962264150944,opponent_name,position_group,8.0,9.0,8.0,5.0,5.0,6.0,4.0,7.0,5.0,9,contextual_weakness
back_to_back,OF,9002,SSG,48,10,607.0,538,137,20,2,18,50,9,10,116,215,81,88.0,12.0,0.25464684014869887,0.3228995057660626,0.3996282527881041,0.7225277585541667,0.14498141263940523,0.08237232289950576,0.19110378912685339,0.029654036243822075,0.13344316309719934,0.14497528830313014,rest_bucket,position_group,8.0,9.0,5.0,5.0,6.0,2.0,5.0,1.0,7.0,10,contextual_weakness
one_day_rest,OF,9002,SSG,11,8,148.0,130,31,6,1,5,16,0,1,24,54,20,13.0,2.0,0.23846153846153847,0.3197278911564626,0.4153846153846154,0.735112506541078,0.17692307692307693,0.10810810810810811,0.16216216216216217,0.033783783783783786,0.13513513513513514,0.08783783783783784,rest_bucket,position_group,7.0,9.0,4.0,2.0,5.0,2.0,7.0,9.0,3.0,10,power_without_full_run_value+contextual_weakness
cold_<=15,OF,9002,SSG,7,8,87.0,80,16,1,0,3,5,1,0,18,26,7,8.0,0.0,0.2,0.2558139534883721,0.325,0.5808139534883721,0.125,0.05747126436781609,0.20689655172413793,0.034482758620689655,0.08045977011494253,0.09195402298850575,temp_bucket,position_group,8.0,10.0,7.0,6.0,8.0,2.0,9.0,5.0,7.0,10,contextual_weakness
mild_20_25,OF,9002,SSG,27,10,329.0,291,69,10,1,10,30,5,3,66,111,38,41.0,7.0,0.23711340206185566,0.3161094224924012,0.38144329896907214,0.6975527214614734,0.14432989690721648,0.0911854103343465,0.2006079027355623,0.030395136778115502,0.11550151975683891,0.12462006079027356,temp_bucket,position_group,9.0,10.0,8.0,4.0,5.0,3.0,7.0,4.0,6.0,10,contextual_weakness
warm_25+,OF,9002,SSG,11,10,143.0,128,34,2,1,5,13,1,1,20,53,19,17.0,2.0,0.265625,0.3356643356643357,0.4140625,0.7497268356643356,0.1484375,0.09090909090909091,0.13986013986013987,0.03496503496503497,0.13286713286713286,0.11888111888111888,temp_bucket,position_group,6.0,8.0,6.0,6.0,5.0,2.0,7.0,4.0,4.0,10,contextual_weakness
wind_1_3,OF,9002,SSG,40,10,502.0,448,97,15,2,13,44,4,6,97,155,54,56.0,10.0,0.21651785714285715,0.28884462151394424,0.34598214285714285,0.6348267643710871,0.1294642857142857,0.08764940239043825,0.19322709163346613,0.025896414342629483,0.10756972111553785,0.11155378486055777,wind_bucket,position_group,10.0,10.0,9.0,7.0,7.0,5.0,9.0,7.0,7.0,10,contextual_weakness
dry_<=40,PH,9002,SSG,12,10,15.0,12,0,0,0,0,3,0,0,4,0,0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.26666666666666666,0.0,0.0,0.0,humidity_bucket,position_group,10.0,8.0,10.0,7.0,2.0,3.0,9.0,7.0,5.0,10,contextual_weakness+walks_not_converting_to_damage
normal_40_60,PH,9002,SSG,9,9,16.0,14,3,1,0,0,2,0,0,4,4,0,1.0,1.0,0.21428571428571427,0.3125,0.2857142857142857,0.5982142857142857,0.07142857142857142,0.125,0.25,0.0,0.0,0.0625,humidity_bucket,position_group,5.0,7.0,5.0,3.0,4.0,3.0,3.0,9.0,4.0,10,power_without_full_run_value
04,PH,9002,SSG,11,9,17.0,13,2,1,0,0,4,0,0,4,3,0,1.0,0.0,0.15384615384615385,0.35294117647058826,0.23076923076923078,0.583710407239819,0.07692307692307693,0.23529411764705882,0.23529411764705882,0.0,0.0,0.058823529411764705,month,position_group,5.0,5.0,8.0,5.0,1.0,3.0,5.0,7.0,3.0,10,contextual_weakness
wind_1_3,PH,9002,SSG,19,13,29.0,24,3,1,0,0,5,0,0,8,4,0,1.0,1.0,0.125,0.27586206896551724,0.16666666666666666,0.44252873563218387,0.04166666666666666,0.1724137931034483,0.27586206896551724,0.0,0.0,0.034482758620689655,wind_bucket,position_group,8.0,8.0,7.0,6.0,2.0,5.0,8.0,10.0,6.0,10,contextual_weakness+walks_not_converting_to_damage
away,DH,9002,SSG,31,6,136.0,112,24,2,0,4,23,1,0,33,38,15,16.0,2.0,0.21428571428571427,0.35294117647058826,0.3392857142857143,0.6922268907563025,0.12500000000000003,0.16911764705882354,0.2426470588235294,0.029411764705882353,0.11029411764705882,0.11764705882352941,home_away,role_group,6.0,6.0,7.0,5.0,2.0,5.0,7.0,6.0,10.0,10,contextual_weakness
home,DH,9002,SSG,29,7,123.0,101,14,1,0,4,19,1,2,40,27,10,12.0,0.0,0.13861386138613863,0.2764227642276423,0.26732673267326734,0.5437494969009096,0.12871287128712872,0.15447154471544716,0.3252032520325203,0.032520325203252036,0.08130081300813008,0.0975609756097561,home_away,role_group,10.0,9.0,10.0,5.0,2.0,3.0,10.0,8.0,10.0,10,contextual_weakness+walks_not_converting_to_damage
dry_<=40,DH,9002,SSG,23,6,100.0,84,15,2,0,2,16,0,0,27,23,5,8.0,1.0,0.17857142857142858,0.31,0.27380952380952384,0.5838095238095238,0.09523809523809526,0.16,0.27,0.02,0.05,0.08,humidity_bucket,role_group,8.0,8.0,9.0,8.0,3.0,6.0,10.0,8.0,10.0,10,contextual_weakness+walks_not_converting_to_damage
