year,t_code,t_code_name,split_value,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,split_type,pa_rank,r_rank,rbi_rank,hr_rank,avg_rank,obp_rank,slg_rank,ops_rank,iso_rank,bb_pct_rank,k_pct_rank,team_count_in_split
2023,12001,KT,3-5_run_production,144,25,1938.0,1716,474,92,4,54,175,19,20,395,736,238,267.0,22.0,0.2762237762237762,0.3461139896373057,0.4289044289044289,0.7750184185417346,0.15268065268065273,0.09029927760577916,0.20381836945304438,lineup_group,3.0,4.0,6.0,4.0,7.0,7.0,3.0,6.0,4.0,9.0,10.0,10
2023,10001,키움,3-5_run_production,144,33,1958.0,1715,485,86,8,31,182,25,29,305,680,213,274.0,18.0,0.282798833819242,0.3546899026140441,0.3965014577259475,0.7511913603399916,0.11370262390670555,0.09295199182839632,0.1557711950970378,lineup_group,1.0,9.0,4.0,10.0,3.0,5.0,8.0,7.0,9.0,7.0,3.0,10
2023,7002,한화,3-5_run_production,144,27,1923.0,1692,429,74,3,62,188,27,12,385,695,219,253.0,11.0,0.25354609929078015,0.33559145388223033,0.4107565011820331,0.7463479550642634,0.15721040189125296,0.09776391055642225,0.2002080083203328,lineup_group,4.0,6.0,8.0,1.0,10.0,10.0,7.0,8.0,2.0,6.0,9.0,10
2023,6002,두산,3-5_run_production,144,26,1898.0,1658,423,75,3,51,197,22,18,345,657,215,236.0,21.0,0.25512665862484923,0.3387862796833773,0.3962605548854041,0.7350468345687815,0.1411338962605549,0.10379346680716543,0.18177028451001054,lineup_group,10.0,8.0,9.0,5.0,9.0,9.0,9.0,9.0,5.0,3.0,8.0,10
2023,3001,롯데,3-5_run_production,144,27,1917.0,1670,448,64,6,33,188,23,26,306,623,230,230.0,22.0,0.2682634730538922,0.34556895647614055,0.37305389221556884,0.7186228486917094,0.10479041916167664,0.0980699008868023,0.1596244131455399,lineup_group,8.0,5.0,10.0,9.0,8.0,8.0,10.0,10.0,10.0,5.0,5.0,10
2023,5002,LG,6-9_lower_lineup,144,25,2372.0,2033,545,86,11,47,221,36,24,381,794,309,308.0,68.0,0.2680767338908018,0.3465859982713915,0.39055582882439743,0.737141827095789,0.12247909493359566,0.09317032040472176,0.1606239460370995,lineup_group,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,10
2023,3001,롯데,6-9_lower_lineup,144,29,2310.0,2014,544,119,9,27,216,21,19,446,762,269,266.0,44.0,0.2701092353525323,0.34405286343612335,0.37835153922542203,0.7224044026615454,0.10824230387288974,0.09350649350649351,0.19307359307359306,lineup_group,9.0,2.0,2.0,7.0,1.0,2.0,2.0,2.0,4.0,2.0,3.0,10
2023,6002,두산,6-9_lower_lineup,144,28,2303.0,2054,527,97,14,37,176,32,14,459,763,243,236.0,61.0,0.25657254138266794,0.3229349736379613,0.3714703018500487,0.69440527548801,0.11489776046738076,0.07642205818497612,0.1993052540165002,lineup_group,10.0,6.0,5.0,4.0,3.0,4.0,3.0,3.0,2.0,9.0,6.0,10
2023,9002,SSG,6-9_lower_lineup,144,26,2348.0,2035,500,78,5,41,210,28,21,415,711,229,242.0,36.0,0.2457002457002457,0.3217088055797733,0.3493857493857494,0.6710945549655227,0.1036855036855037,0.08943781942078365,0.17674616695059625,lineup_group,4.0,9.0,4.0,3.0,6.0,5.0,4.0,4.0,5.0,4.0,2.0,10
2023,12001,KT,6-9_lower_lineup,144,31,2350.0,2056,518,89,6,23,223,20,17,476,688,251,230.0,39.0,0.2519455252918288,0.3285837651122625,0.3346303501945525,0.663214115306815,0.08268482490272372,0.09489361702127659,0.2025531914893617,lineup_group,3.0,4.0,7.0,8.0,5.0,3.0,8.0,5.0,8.0,1.0,7.0,10
2023,11001,NC,6-9_lower_lineup,144,28,2322.0,2027,479,73,11,43,187,54,17,485,703,264,228.0,33.0,0.23630981746423285,0.3150984682713348,0.3468179575727676,0.6619164258441024,0.11050814010853477,0.08053402239448751,0.20887166236003446,lineup_group,7.0,3.0,8.0,2.0,8.0,8.0,5.0,6.0,3.0,7.0,9.0,10
2023,2002,KIA,6-9_lower_lineup,144,27,2334.0,2062,520,79,4,33,186,24,17,457,706,247,245.0,42.0,0.2521823472356935,0.31891655744866754,0.34238603297769155,0.6613025904263591,0.09020368574199805,0.07969151670951156,0.1958011996572408,lineup_group,6.0,5.0,3.0,5.0,4.0,6.0,6.0,7.0,7.0,8.0,5.0,10
2023,1001,삼성,6-9_lower_lineup,144,33,2322.0,2024,480,79,11,33,204,24,23,453,680,243,232.0,34.0,0.23715415019762845,0.3112087912087912,0.3359683794466403,0.6471771706554315,0.09881422924901187,0.08785529715762273,0.19509043927648578,lineup_group,7.0,6.0,6.0,5.0,7.0,9.0,7.0,8.0,6.0,5.0,4.0,10
