Player,Position,Debut season,NPB Team(s),Nationality,Notes,source_url,source_league,normalized_player_name
Franmil Reyes,OF/DH,2024,Hokkaido Nippon-Ham Fighters (2024–present),Dominican Republic,Pacific League Best Nine Award (2024) NPB All-Star (2025),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,franmil reyes
Cristián Rodríguez,UTL,2024,Chunichi Dragons (2024–present),Cuba,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,cristian rodriguez
Miguel Sanó,IF,2026,Chunichi Dragons (2026–present),Dominican Republic,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,miguel sano
Domingo Santana,OF,2021,Tokyo Yakult Swallows (2021–present),Dominican Republic,Japan Series champion (2021) NPB All-Star (2024) Central League Best Nine Award (2024),https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,domingo santana
Neftali Soto,IF,2018,Yokohama DeNA BayStars (2018–2023) Chiba Lotte Marines (2024–present),Puerto Rico,"2x JCL home run leader (2018, 2019) JCL RBI leader (2019)",https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,neftali soto
Yi-Lei Sun,RHP,2025,Hokkaido Nippon-Ham Fighters (2025–present),Taiwan,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,yi lei sun
Bo Takahashi,RHP,2021,Saitama Seibu Lions (2022–present),Brazil,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,bo takahashi
Dayán Viciedo,UTL,2016,Chunichi Dragons (2016–2024) Yokohama DeNA BayStars (2025–present),Cuba,"3x NPB All-Star (2016, 2021, 2022) 2x NPB Golden Glove Award (2020, 2021) 2x CL Best Nine (2018, 2019) CL Batting title (2018) Interleague play CL Nippon Life Award (2021) NPB All-Star Fighting Player Award (2022",https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,dayan viciedo
Luke Voit,IF,2025,Tohoku Rakuten Golden Eagles (2025–present),United States of America,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,luke voit
Jason Vosler,UTL,2025,Chunichi Dragons (2025–present),United States of America,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,jason vosler
Trey Wingenter,RHP,2025,Saitama Seibu Lions (2025–present),United States of America,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,trey wingenter
Po-Hsiang Yang,IF,2025,Tohoku Rakuten Golden Eagles (2025–present),Taiwan,,https://en.wikipedia.org/wiki/List_of_current_foreign_Nippon_Professional_Baseball_players,NPB,po hsiang yang
