season,player_key,player_name,player_name_en,kbo_team,role_model_family,stat_group,player_id,success,failure,source_player_id,milb_stat_group,has_pre_kbo_milb,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_recent_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_hr,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip
2024,데이비드맥키넌,데이비드 맥키넌,David MacKinnon,삼성,hitter,hitting,676950,0,1,676950,hitting,True,10,2022,3,100.0,100.0,3,0,692.0,30.0,1.0022283236994218,0.4162760115606936,0.5859523121387283,0.18208092485549132,0.1416184971098266,,,,,,,,
2024,로니도슨,로니 도슨,Ronnie Dawson,키움,hitter,hitting,669008,1,0,669008,hitting,True,8,2022,1,100.0,100.0,1,0,448.0,11.0,0.733,0.339,0.394,0.25,0.09375,,,,,,,,
2024,르윈디아즈,르윈 디아즈,Lewin Díaz,삼성,hitter,hitting,650331,1,0,650331,hitting,True,14,2023,2,100.0,100.0,2,0,851.0,36.0,0.8087567567567567,0.34513513513513516,0.46362162162162157,0.199764982373678,0.10810810810810811,,,,,,,,
2024,빅터레예스,빅터 레예스,Víctor José Reyes,롯데,hitter,hitting,622682,1,0,622682,hitting,True,13,2023,2,100.0,100.0,2,0,578.0,23.0,0.8096055363321799,0.3342076124567474,0.47539792387543256,0.2179930795847751,0.06920415224913495,,,,,,,,
2024,오스틴딘,오스틴 딘,Austin James Dean,LG,hitter,hitting,621573,1,0,621573,hitting,True,14,2022,1,100.0,100.0,1,0,438.0,17.0,0.812,0.345,0.467,0.2146118721461187,0.0867579908675799,,,,,,,,
2024,제러드영,제러드 영,Jared Young,두산,hitter,hitting,676724,0,1,676724,hitting,True,7,2023,2,100.0,100.0,2,0,831.0,38.0,0.8499987966305655,0.3589614921780987,0.4910373044524669,0.23345367027677497,0.10830324909747292,,,,,,,,
2024,헨리라모스,헨리 라모스,Henry Ramos,두산,hitter,hitting,592656,0,1,592656,hitting,True,15,2023,1,100.0,100.0,1,0,327.0,13.0,0.954,0.411,0.543,0.19877675840978593,0.12538226299694188,,,,,,,,
2024,다니엘카스타노,다니엘 카스타노,Daniel Alexander Castano,NC,pitcher,pitching,641447,0,1,641447,pitching,True,10,2023,3,100.0,100.0,2,0,,,,,,0.2327790973871734,0.09263657957244656,97.66666666666667,26.0,15.0,9.030716723549487,3.5938566552901023,1.8430034129692832,4.516825938566552,1.3069283276450514
2024,데니레예스,데니 레예스,Denyi Reyes,삼성,pitcher,pitching,660593,1,0,660593,pitching,True,10,2023,4,100.0,100.0,2,0,,,,,,0.19821162444113263,0.06259314456035768,151.66666666666666,37.0,30.0,7.892307692307693,2.4923076923076923,2.195604395604396,6.111626373626374,1.4258021978021977
2024,디트릭엔스,디트릭 엔스,Dietrich Arthur Enns,LG,pitcher,pitching,608650,1,0,608650,pitching,True,15,2021,0,100.0,100.0,7,2,,,,,,0.23166023166023167,0.08558558558558559,747.3333333333334,173.0,117.0,8.670829616413915,3.2033898305084745,0.8911685994647636,3.323987511150759,1.2415254237288136
2024,라이언와이스,라이언 와이스,Ryan Weiss,한화,pitcher,pitching,680802,1,0,680802,pitching,True,10,2023,5,100.0,100.0,4,1,,,,,,0.20240137221269297,0.10463121783876501,121.66666666666667,96.0,2.0,8.728767123287671,4.512328767123288,1.9972602739726026,7.246931506849315,1.8005205479452053
2024,로버트더거,로버트 더거,Robert Lee Dugger,SSG,pitcher,pitching,667498,0,1,667498,pitching,True,13,2023,4,100.0,100.0,4,0,,,,,,0.20617696160267113,0.10517529215358931,279.0,67.0,53.0,7.967741935483871,4.064516129032258,1.032258064516129,4.390537634408602,1.4305017921146952
2024,로에니스엘리아스,로에니스 엘리아스,Roenis Elías,SSG,pitcher,pitching,606273,1,0,606273,pitching,True,17,2023,2,100.0,100.0,2,0,,,,,,0.20054945054945056,0.06593406593406594,86.33333333333333,41.0,13.0,7.61003861003861,2.5019305019305023,1.4594594594594594,5.208957528957528,1.2736293436293435
2024,브랜던워델,브랜던 워델,Brandon David Waddell,두산,pitcher,pitching,663399,0,0,663399,pitching,True,12,2022,1,100.0,100.0,1,0,,,,,,0.2578125,0.0859375,30.0,23.0,0.0,9.9,3.3,0.3,3.3,1.33
2024,에릭라우어,에릭 라우어,Eric Lauer,KIA,pitcher,pitching,641778,0,1,641778,pitching,True,9,2023,2,100.0,100.0,1,0,,,,,,0.3157894736842105,0.11483253588516747,44.666666666666664,13.0,10.0,13.298507462686567,4.835820895522389,1.2089552238805972,5.034701492537314,1.7429850746268656
