role_model_family,signal_type,rule,target,support_rows,total_role_rows,support_share,target_rate_inside_rule,role_base_target_rate,rate_delta_vs_role_base,lift_vs_role_base,permutation_p_value,signal_direction,semantic_alignment,rule_gate,release_policy,candidate_release_allowed,abs_rate_delta
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,in_season_replaced,5,22,0.22727272727272727,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.2894211576846307,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,in_season_replaced,4,22,0.18181818181818182,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.5469061876247505,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,in_season_replaced,4,22,0.18181818181818182,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.5748502994011976,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,in_season_replaced,4,22,0.18181818181818182,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.5289421157684631,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,in_season_replaced,4,22,0.18181818181818182,0.0,0.22727272727272727,-0.22727272727272727,0.0,0.5369261477045908,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.22727272727272727
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,in_season_replaced,7,22,0.3181818181818182,0.42857142857142855,0.22727272727272727,0.20129870129870128,1.8857142857142857,0.313373253493014,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.20129870129870128
hitter,single_family,hitter_milb_surface_power=high_top_tercile,in_season_replaced,7,22,0.3181818181818182,0.42857142857142855,0.22727272727272727,0.20129870129870128,1.8857142857142857,0.27944111776447106,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.20129870129870128
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,in_season_replaced,7,22,0.3181818181818182,0.14285714285714285,0.22727272727272727,-0.08441558441558442,0.6285714285714286,0.6427145708582834,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.08441558441558442
hitter,single_family,hitter_track_continuity=low_bottom_tercile,in_season_replaced,7,22,0.3181818181818182,0.14285714285714285,0.22727272727272727,-0.08441558441558442,0.6285714285714286,0.6187624750499002,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.08441558441558442
hitter,single_family,hitter_quality_of_contact=high_top_tercile,in_season_replaced,7,22,0.3181818181818182,0.2857142857142857,0.22727272727272727,0.05844155844155843,1.2571428571428571,1.0,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.05844155844155843
hitter,single_family,hitter_track_continuity=high_top_tercile,in_season_replaced,7,22,0.3181818181818182,0.2857142857142857,0.22727272727272727,0.05844155844155843,1.2571428571428571,1.0,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.05844155844155843
hitter,single_family,hitter_quality_of_contact=low_bottom_tercile,injury_exit_flag,9,22,0.4090909090909091,0.0,0.09090909090909091,-0.09090909090909091,0.0,0.48502994011976047,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_contact_discipline_floor=low_bottom_tercile,injury_exit_flag,8,22,0.36363636363636365,0.0,0.09090909090909091,-0.09090909090909091,0.0,0.46706586826347307,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_milb_surface_power=low_bottom_tercile,injury_exit_flag,7,22,0.3181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,0.4870259481037924,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_track_continuity=low_bottom_tercile,injury_exit_flag,7,22,0.3181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,0.530938123752495,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_contact_discipline_floor=low_bottom_tercile,injury_exit_flag,5,22,0.22727272727272727,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,injury_exit_flag,5,22,0.22727272727272727,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_ssg_pilot_screen=low_bottom_tercile,injury_exit_flag,4,22,0.18181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_milb_surface_power=low_bottom_tercile,injury_exit_flag,4,22,0.18181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,two_family_interaction,hitter_quality_of_contact=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,injury_exit_flag,4,22,0.18181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,two_family_interaction,hitter_contact_discipline_floor=high_top_tercile AND hitter_milb_surface_power=high_top_tercile,injury_exit_flag,4,22,0.18181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,semantically_aligned,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,two_family_interaction,hitter_contact_discipline_floor=low_bottom_tercile AND hitter_track_continuity=high_top_tercile,injury_exit_flag,4,22,0.18181818181818182,0.0,0.09090909090909091,-0.09090909090909091,0.0,1.0,risk_suppression,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.09090909090909091
hitter,single_family,hitter_quality_of_contact=high_top_tercile,injury_exit_flag,7,22,0.3181818181818182,0.14285714285714285,0.09090909090909091,0.05194805194805194,1.5714285714285714,1.0,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.05194805194805194
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,injury_exit_flag,7,22,0.3181818181818182,0.14285714285714285,0.09090909090909091,0.05194805194805194,1.5714285714285714,1.0,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.05194805194805194
hitter,single_family,hitter_milb_surface_power=high_top_tercile,injury_exit_flag,7,22,0.3181818181818182,0.14285714285714285,0.09090909090909091,0.05194805194805194,1.5714285714285714,1.0,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.05194805194805194
hitter,single_family,hitter_track_continuity=high_top_tercile,injury_exit_flag,7,22,0.3181818181818182,0.14285714285714285,0.09090909090909091,0.05194805194805194,1.5714285714285714,1.0,risk_enrichment,counterintuitive_or_negative_control,watch_small_sample_signal,layer2_archetype_research_only_no_candidate_release,False,0.05194805194805194
hitter,single_family,hitter_contact_discipline_floor=high_top_tercile,performance_exit_flag,7,22,0.3181818181818182,0.2857142857142857,0.09090909090909091,0.1948051948051948,3.142857142857143,0.0998003992015968,risk_enrichment,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,layer2_archetype_research_only_no_candidate_release,False,0.1948051948051948
hitter,single_family,hitter_milb_surface_power=high_top_tercile,performance_exit_flag,7,22,0.3181818181818182,0.2857142857142857,0.09090909090909091,0.1948051948051948,3.142857142857143,0.09780439121756487,risk_enrichment,counterintuitive_or_negative_control,counterintuitive_watch_do_not_score,layer2_archetype_research_only_no_candidate_release,False,0.1948051948051948
