context_value,p_no,p_name,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct,hr_pa,r_pa,rbi_pa,context_type
away,10312,이지영,17,1,40.0,36,7,2,0,0,2,0,0,4,9,5,2.0,0.0,0.19444444444444445,0.23684210526315788,0.25,0.48684210526315785,0.05555555555555555,0.05,0.1,0.0,0.125,0.05,home_away
away,11153,김성욱,16,1,40.0,31,13,1,0,0,7,1,1,8,14,10,5.0,1.0,0.41935483870967744,0.525,0.45161290322580644,0.9766129032258064,0.032258064516129004,0.175,0.2,0.0,0.25,0.125,home_away
away,14153,채현우,21,1,34.0,31,8,2,0,1,1,0,2,9,13,5,6.0,3.0,0.25806451612903225,0.2647058823529412,0.41935483870967744,0.6840607210626186,0.16129032258064518,0.029411764705882353,0.2647058823529412,0.029411764705882353,0.14705882352941177,0.17647058823529413,home_away
away,14807,고명준,7,1,29.0,25,9,3,0,1,4,0,0,2,15,2,4.0,1.0,0.36,0.4482758620689655,0.6,1.0482758620689654,0.24,0.13793103448275862,0.06896551724137931,0.034482758620689655,0.06896551724137931,0.13793103448275862,home_away
away,10707,김민식,8,1,17.0,17,1,0,0,0,0,0,0,3,1,0,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.0,0.17647058823529413,0.0,0.0,0.0,home_away
away,13128,최준우,8,1,15.0,12,4,0,0,0,3,0,0,1,4,4,0.0,0.0,0.3333333333333333,0.4666666666666667,0.3333333333333333,0.8,0.0,0.2,0.06666666666666667,0.0,0.26666666666666666,0.0,home_away
away,13194,이정범,4,1,11.0,11,2,0,0,0,0,0,0,3,2,0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,home_away
away,14586,류효승,3,1,8.0,7,1,0,0,0,1,0,0,2,1,0,0.0,0.0,0.14285714285714285,0.25,0.14285714285714285,0.39285714285714285,0.0,0.125,0.25,0.0,0.0,0.0,home_away
away,14699,전의산,2,1,8.0,6,1,1,0,0,2,0,0,2,2,0,0.0,1.0,0.16666666666666666,0.375,0.3333333333333333,0.7083333333333333,0.16666666666666666,0.25,0.25,0.0,0.0,0.0,home_away
away,15463,김정민,7,1,8.0,8,1,0,0,0,0,0,0,3,1,1,1.0,1.0,0.125,0.125,0.125,0.25,0.0,0.0,0.375,0.0,0.125,0.125,home_away
away,16321,홍대인,13,1,7.0,5,2,1,0,0,2,0,0,0,3,4,2.0,0.0,0.4,0.5714285714285714,0.6,1.1714285714285713,0.19999999999999996,0.2857142857142857,0.0,0.0,0.5714285714285714,0.2857142857142857,home_away
away,16318,최윤석,1,1,4.0,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home_away
away,15121,석정우,2,1,3.0,2,1,0,0,0,1,0,0,1,1,0,1.0,0.0,0.5,0.6666666666666666,0.5,1.1666666666666665,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,home_away
away,12541,신범수,1,1,2.0,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,home_away
away,15467,김민준,2,1,2.0,2,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,home_away
away,14146,김창평,3,1,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,,,,,,,,,home_away
home,12922,박성한,30,1,131.0,107,38,10,1,2,22,1,1,13,56,21,19.0,3.0,0.35514018691588783,0.46564885496183206,0.5233644859813084,0.9890133409431404,0.16822429906542052,0.16793893129770993,0.09923664122137404,0.015267175572519083,0.16030534351145037,0.1450381679389313,home_away
home,15530,에레디아,30,1,131.0,120,28,1,0,6,9,1,1,26,47,12,26.0,0.0,0.23333333333333334,0.2900763358778626,0.39166666666666666,0.6817430025445292,0.15833333333333333,0.06870229007633588,0.1984732824427481,0.04580152671755725,0.0916030534351145,0.1984732824427481,home_away
home,14587,최지훈,29,1,114.0,101,22,3,0,7,12,1,0,14,46,18,14.0,4.0,0.21782178217821782,0.30701754385964913,0.45544554455445546,0.7624630884141046,0.23762376237623764,0.10526315789473684,0.12280701754385964,0.06140350877192982,0.15789473684210525,0.12280701754385964,home_away
home,16042,정준재,29,1,114.0,96,29,3,1,1,11,1,2,17,37,15,8.0,4.0,0.3020833333333333,0.37272727272727274,0.3854166666666667,0.7581439393939394,0.08333333333333337,0.09649122807017543,0.14912280701754385,0.008771929824561403,0.13157894736842105,0.07017543859649122,home_away
home,10106,최정,25,1,108.0,92,26,9,0,9,12,1,3,27,62,16,23.0,1.0,0.2826086956521739,0.3611111111111111,0.6739130434782609,1.035024154589372,0.391304347826087,0.1111111111111111,0.25,0.08333333333333333,0.14814814814814814,0.21296296296296297,home_away
home,10643,김재환,25,1,102.0,83,14,0,0,4,17,1,1,35,26,10,12.0,0.0,0.1686746987951807,0.3137254901960784,0.3132530120481928,0.6269785022442712,0.14457831325301207,0.16666666666666666,0.3431372549019608,0.0392156862745098,0.09803921568627451,0.11764705882352941,home_away
home,10249,오태곤,27,1,82.0,75,20,2,0,5,6,0,1,23,37,12,11.0,5.0,0.26666666666666666,0.3170731707317073,0.49333333333333335,0.8104065040650407,0.22666666666666668,0.07317073170731707,0.2804878048780488,0.06097560975609756,0.14634146341463414,0.13414634146341464,home_away
home,14806,조형우,21,1,73.0,69,18,6,0,2,2,0,0,13,30,9,7.0,0.0,0.2608695652173913,0.28169014084507044,0.43478260869565216,0.7164727495407226,0.17391304347826086,0.0273972602739726,0.1780821917808219,0.0273972602739726,0.1232876712328767,0.0958904109589041,home_away
home,10815,한유섬,16,1,57.0,49,6,0,0,0,7,1,0,18,6,3,0.0,0.0,0.12244897959183673,0.24561403508771928,0.12244897959183673,0.36806301467955604,0.0,0.12280701754385964,0.3157894736842105,0.0,0.05263157894736842,0.0,home_away
home,12613,안상현,18,1,40.0,35,10,3,0,0,3,1,0,10,13,8,1.0,2.0,0.2857142857142857,0.358974358974359,0.37142857142857144,0.7304029304029305,0.08571428571428574,0.075,0.25,0.0,0.2,0.025,home_away
home,14807,고명준,10,1,39.0,38,14,2,0,3,1,0,0,12,25,7,8.0,0.0,0.3684210526315789,0.38461538461538464,0.6578947368421053,1.04251012145749,0.2894736842105264,0.02564102564102564,0.3076923076923077,0.07692307692307693,0.1794871794871795,0.20512820512820512,home_away
home,10312,이지영,15,1,28.0,22,3,1,0,0,4,0,1,2,4,2,2.0,1.0,0.13636363636363635,0.25925925925925924,0.18181818181818182,0.44107744107744107,0.04545454545454547,0.14285714285714285,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,home_away
home,11153,김성욱,19,1,28.0,23,3,0,0,1,4,1,0,7,6,2,1.0,0.0,0.13043478260869565,0.2857142857142857,0.2608695652173913,0.5465838509316769,0.13043478260869565,0.14285714285714285,0.25,0.03571428571428571,0.07142857142857142,0.03571428571428571,home_away
home,13128,최준우,9,1,23.0,18,5,2,0,0,5,0,0,5,7,4,0.0,0.0,0.2777777777777778,0.43478260869565216,0.3888888888888889,0.8236714975845411,0.1111111111111111,0.21739130434782608,0.21739130434782608,0.0,0.17391304347826086,0.0,home_away
home,14699,전의산,6,1,22.0,21,8,2,0,1,1,0,0,7,13,3,5.0,0.0,0.38095238095238093,0.4090909090909091,0.6190476190476191,1.0281385281385282,0.23809523809523814,0.045454545454545456,0.3181818181818182,0.045454545454545456,0.13636363636363635,0.22727272727272727,home_away
home,16321,홍대인,15,1,16.0,16,4,1,0,0,0,0,0,4,5,3,2.0,3.0,0.25,0.25,0.3125,0.5625,0.0625,0.0,0.25,0.0,0.1875,0.125,home_away
home,10707,김민식,6,1,11.0,11,3,0,0,0,0,0,0,2,3,0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,home_away
home,14586,류효승,4,1,10.0,10,2,0,0,1,0,0,0,1,5,1,1.0,0.0,0.2,0.2,0.5,0.7,0.3,0.0,0.1,0.1,0.1,0.1,home_away
home,14153,채현우,15,1,8.0,8,4,1,0,0,0,0,0,1,5,4,1.0,1.0,0.5,0.5,0.625,1.125,0.125,0.0,0.125,0.0,0.5,0.125,home_away
home,14146,김창평,3,1,5.0,5,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,home_away
home,15467,김민준,3,1,5.0,5,1,0,0,0,0,0,0,1,1,0,0.0,0.0,0.2,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0.0,0.0,home_away
home,13194,이정범,2,1,2.0,2,1,1,0,0,0,0,0,1,2,0,0.0,0.0,0.5,0.5,1.0,1.5,0.5,0.0,0.5,0.0,0.0,0.0,home_away
home,15463,김정민,7,1,2.0,1,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,home_away
