slot,conversion,sample_filter,n,mean_factor,median_factor,reg_intercept,reg_slope,r2,mae
hitter,KBO wRC+ ≈ MiLB OPS*100 × factor,KBO PA>=100 and MiLB PA>=100,20,1.5709095427979973,1.5534933341815198,231.9600502328947,-1.1741936186930262,0.21842154505887068,16.887022884677325
pitcher,KBO ERA ≈ MiLB ERA × factor,KBO IP>=30 and MiLB IP>=30,44,0.8789455131854461,0.8554819057425402,2.4468912280587674,0.2937562834597336,0.1064986668322424,0.6723003829410334
