validation_scheme,feature_family,role_model_family,target,fold_id,model,source_rows,train_rows,valid_rows,feature_count,features,rows,positive_rate,pred_mean,accuracy_at_0_5,brier,logloss,precision_at_0_5,auc,precision_top_25pct,precision_top_33pct
repeated_stratified_cv,savant_only,hitter,failure,85,balanced_ridge_logit,22,14,8,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,8,0.375,0.35635772275238103,0.875,0.11007601988050894,0.349295422706328,1.0,0.8,1.0,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,85,sparse_l1_logit,22,14,8,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,8,0.375,0.4964943278082564,0.75,0.23865337116521712,0.6704590470050065,0.6666666666666666,0.5333333333333333,0.5,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,86,role_prior,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.2857142857142857,0.39999999999999997,0.7142857142857143,0.21714285714285714,0.6266727975111805,0.0,0.5,0.0,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,86,ridge_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.2857142857142857,0.5089952005740926,0.8571428571428571,0.17240666200129803,0.5185991708941377,0.6666666666666666,0.9,0.5,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,86,balanced_ridge_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.2857142857142857,0.5695200717265477,0.5714285714285714,0.2071523974867566,0.5920013375459394,0.4,0.9,0.5,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,86,sparse_l1_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.2857142857142857,0.5316628464189682,0.42857142857142855,0.25983583712315544,0.712911802522693,0.3333333333333333,0.6,0.5,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,87,role_prior,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.42857142857142855,0.3333333333333333,0.5714285714285714,0.253968253968254,0.702528185490998,0.0,0.5,0.5,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,87,ridge_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.42857142857142855,0.3517466973326214,0.5714285714285714,0.271798114542963,0.7556846345672226,0.5,0.75,0.5,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,87,balanced_ridge_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.42857142857142855,0.40553989852472316,0.5714285714285714,0.24948104970190643,0.7280145857509732,0.5,0.75,0.5,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,87,sparse_l1_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.42857142857142855,0.5235990951777786,0.42857142857142855,0.2617588954689862,0.7171434791185781,0.4,0.41666666666666663,0.5,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,88,role_prior,22,14,8,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,8,0.375,0.35714285714285715,0.625,0.2346938775510204,0.6622527516173339,0.0,0.5,0.0,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,88,ridge_logit,22,14,8,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,8,0.375,0.3533754296126434,0.75,0.19548616134139193,0.6337715820461626,0.6666666666666666,0.8,1.0,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,88,balanced_ridge_logit,22,14,8,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,8,0.375,0.39182089412720844,0.75,0.20568613720498646,0.6378809013717064,0.6666666666666666,0.7333333333333333,0.5,0.6666666666666666
repeated_stratified_cv,savant_only,hitter,failure,88,sparse_l1_logit,22,14,8,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,8,0.375,0.5385738777320394,0.25,0.2636938164706682,0.7203455918044728,0.2857142857142857,0.3333333333333333,0.5,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,89,role_prior,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.2857142857142857,0.39999999999999997,0.7142857142857143,0.21714285714285714,0.6266727975111805,0.0,0.5,0.0,0.3333333333333333
repeated_stratified_cv,savant_only,hitter,failure,89,ridge_logit,22,15,7,18,pre_pa|pre_pitch|pre_bb_pct|pre_k_pct|pre_woba|pre_chase_rate|pre_zone_swing_rate|pre_nonfast_chase_rate|pre_nonfast_whiff_per_swing|pre_whiff_per_swing|pre_hardhit_rate|pre_barrel_rate|pre_sweet_spot_rate|pre_air_bbe_rate|pre_low_velo_xwoba|pre_high_velo_xwoba|pre_break_off_xwoba|pre_hitter_count_xwoba,7,0.2857142857142857,0.5585300889051533,0.42857142857142855,0.3749354399877545,1.0078410839823924,0.25,0.4,0.0,0.0
