p_bat_name,role_group,games,players,pa,ab,h,doubles,triples,hr,bb,hbp,sf,so,tb,r,rbi,sb,avg,obp,slg,ops,iso,bb_pct,k_pct
우타,OF_1-2_table_setters,17,4,82.0,79,22,1,0,4,1,0,2,18,35,10,15.0,1.0,0.27848101265822783,0.2804878048780488,0.4430379746835443,0.723525779561593,0.16455696202531644,0.012195121951219513,0.21951219512195122
좌타,OF_1-2_table_setters,4,1,21.0,20,1,0,0,0,1,0,0,3,1,1,0.0,0.0,0.05,0.09523809523809523,0.05,0.14523809523809522,0.0,0.047619047619047616,0.14285714285714285
우타,OF_3-5_run_production,48,3,203.0,178,49,8,0,6,17,5,3,33,75,21,36.0,1.0,0.2752808988764045,0.3497536945812808,0.42134831460674155,0.7711020091880223,0.14606741573033705,0.08374384236453201,0.1625615763546798
좌타,OF_3-5_run_production,20,5,74.0,60,10,0,0,1,12,1,1,21,13,6,5.0,1.0,0.16666666666666666,0.3108108108108108,0.21666666666666667,0.5274774774774775,0.05000000000000002,0.16216216216216217,0.28378378378378377
좌타,OF_6-9_lower_lineup,57,5,307.0,271,65,13,3,9,29,3,3,46,111,49,33.0,8.0,0.23985239852398524,0.31699346405228757,0.4095940959409594,0.726587559993247,0.16974169741697417,0.09446254071661238,0.1498371335504886
우타,OF_6-9_lower_lineup,36,3,94.0,83,26,4,0,3,8,1,2,22,39,17,16.0,4.0,0.3132530120481928,0.3723404255319149,0.46987951807228917,0.842219943604204,0.1566265060240964,0.0851063829787234,0.23404255319148937
