season,player_key,kbo_team,role_model_family,archetype_cluster_id,archetype_name,success,failure,in_season_replaced,injury_exit_flag,performance_exit_flag,has_savant_bool,has_milb_bool,backfill_need,backfill_priority,candidate_release_allowed,release_policy,player_name_en,matched_player_id,matched_full_name,matched_position,matched_birth_date,matched_mlb_debut_date,match_variant,match_string_score,match_status,has_pre_kbo_milb,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip,backfill_resolution_status
2023,브라이언오그레디,한화,hitter,1,hitter_failure_replacement_or_low_impact,0,1,1,1,1,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Brian O'Grady,657434,Brian O'Grady,RF,1992-05-17,2019-08-08,Brian O'Grady,1.0,matched_high_confidence,True,10.0,2021.0,1.0,100.0,1.0,0.0,329.0,0.913,0.366,0.547,0.25835866261398177,0.1094224924012158,,,,,,,,statsapi_backfilled_model_ready
2023,소크라테스브리토,KIA,hitter,0,hitter_everyday_middle_order_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Sócrates Orel Brito,593647,Sócrates Brito,RF,1992-09-06,2015-09-08,Socrates Brito,1.0,matched_high_confidence,True,13.0,2021.0,1.0,100.0,1.0,0.0,419.0,0.691,0.31500000000000006,0.376,0.22673031026252982,0.07637231503579953,,,,,,,,statsapi_backfilled_model_ready
2023,아담플럿코,LG,pitcher,4,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Adam Gregory Plutko,592644,Adam Plutko,P,1991-10-03,2016-09-24,adam plutko,1.0,matched_high_confidence,True,10.0,2021.0,1.0,100.0,1.0,0.0,,,,,0.22807017543859648,0.08771929824561403,12.0,0.0,9.75,3.75,3.75,9.75,1.75,statsapi_backfilled_model_ready
2023,아리엘후라도,키움,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Ariel Bolívar Jurado Agrazal,642558,Ariel Jurado,P,1996-01-30,2018-05-19,Ariel Jurado,1.0,matched_high_confidence,True,10.0,2022.0,2.0,100.0,1.0,0.0,,,,,0.21818181818181817,0.06363636363636363,57.333333333333336,8.0,7.534883720930233,2.197674418604651,1.0988372093023255,3.2930232558139534,0.963953488372093,statsapi_backfilled_model_ready
2023,애런윌커슨,롯데,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Aaron Wilkerson,658792,Aaron Wilkerson,P,1989-05-24,2017-09-15,aaron wilkerson,1.0,matched_high_confidence,True,11.0,2021.0,1.0,100.0,1.0,0.0,,,,,0.27901785714285715,0.05357142857142857,112.0,19.0,10.044642857142858,1.9285714285714286,0.9642857142857143,3.8600000000000003,1.09,statsapi_backfilled_model_ready
2023,에디슨러셀,키움,hitter,1,hitter_failure_replacement_or_low_impact,0,1,1,1,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Addison Wayne Russell,608365,Addison Russell,SS,1994-01-23,2015-04-21,addison russell,1.0,matched_high_confidence,True,11.0,2019.0,0.0,100.0,4.0,3.0,1414.0,0.8997284299858558,0.3730947666195191,0.5266336633663367,0.20155586987270155,0.09264497878359264,,,,,,,,statsapi_backfilled_model_ready
2023,에릭요키시,키움,pitcher,0,pitcher_failure_replacement_or_health_risk,0,1,1,1,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Eric Spenser Jokisch,518852,Eric Jokisch,P,1989-07-29,2014-09-07,eric jokisch,1.0,matched_high_confidence,True,17.0,2018.0,0.0,100.0,8.0,5.0,,,,,0.1839572192513369,0.0720855614973262,1106.0,165.0,6.998191681735985,2.7423146473779387,0.740506329113924,3.638004822182037,1.3046955997588907,statsapi_backfilled_model_ready
2023,웨스벤자민,KT,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Wes Benjamin,605138,Wes Benjamin,P,1993-07-26,2020-08-16,wes benjamin,1.0,matched_high_confidence,True,8.0,2022.0,2.0,100.0,2.0,0.0,,,,,0.2016348773841962,0.1008174386920981,77.33333333333333,17.0,8.612068965517242,4.306034482758621,1.396551724137931,6.517413793103448,1.7706896551724138,statsapi_backfilled_model_ready
2023,윌리엄쿠에바스,KT,pitcher,1,pitcher_load_bearing_rotation_anchor,1,0,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,William Enrique Cuevas Osorio,571035,William Cuevas,P,1990-10-14,2016-04-21,William Cuevas,1.0,matched_high_confidence,True,14.0,2018.0,0.0,100.0,6.0,1.0,,,,,0.18841890974892558,0.07667948427957476,1043.6666666666667,153.0,7.183328010220376,2.92334717342702,0.7674864260619609,3.9488374321303095,1.2570041520281061,statsapi_backfilled_model_ready
2023,이언매키니,키움,pitcher,2,pitcher_failure_replacement_or_health_risk,0,1,0,0,0,False,False,missing_savant_and_milb,P1_recent_outcome_backfill,False,layer2_backfill_historical_training_only_no_current_candidate_release,Ian McKinney,641855,Ian McKinney,P,1994-11-18,,ian mckinney,1.0,matched_high_confidence,True,15.0,2022.0,3.0,100.0,2.0,1.0,,,,,0.21810699588477367,0.12345679012345678,109.0,20.0,8.752293577981652,4.954128440366972,1.4036697247706422,5.697094801223241,1.486941896024465,statsapi_backfilled_model_ready
