period,role_group,rows,success_rate,failure_rate,strong_success_rate,source_confidence_median
renewal_release_proxy_only,hitter,59,0.423728813559322,0.0,0.0,2.0
renewal_release_proxy_only,starter,115,0.40869565217391307,0.0,0.0,2.0
renewal_release_proxy_only,unknown,51,0.0,1.0,0.0,4.0
statiz_outcome_attached,hitter,42,0.5476190476190477,0.40476190476190477,0.30952380952380953,4.0
statiz_outcome_attached,starter,86,0.5348837209302325,0.43023255813953487,0.27906976744186046,4.0
