group,player_name,game_year,pa,games,start_proxy_games,avg_game_pitches,bb_hbp_pct,hr_pct,woba_allowed,early_1_3_woba_allowed,risp_woba_allowed,hardhit_rate,barrel_rate,three_ball_pitch_rate,zone_rate,first_pitch_nonball_rate,starter_stabilizer_score
thomas_hatch_mlb,"Hatch, Thomas",2023,129.0,18.0,2.0,26.5,0.1007751937984496,0.0155038759689922,0.3649606299212598,0.35,0.4363636363636363,0.4606741573033708,0.0449438202247191,0.0712788259958071,0.4465408805031446,0.6015625,
thomas_hatch_mlb,"Hatch, Thomas",2025,152.0,12.0,1.0,49.25,0.1118421052631579,0.0460526315789473,0.389,0.392,0.4186046511627907,0.3805309734513274,0.079646017699115,0.1082910321489001,0.4365482233502538,0.5986842105263158,
eligible_2025_2026_median,,,306.0,15.0,13.0,85.83974358974359,0.0890189298222281,0.031018685559965398,0.32400116768934883,0.3186445395400619,0.32760416666666664,0.41288968004016613,0.08668593448940265,0.08164098972922496,0.49626452132452015,0.6192786033761362,61.10676478742148
top100_stabilizer_median,,,333.0,14.5,14.0,90.27486559139786,0.07411953465166905,0.0222670631549136,0.28335764930460866,0.27739905935419984,0.2840449804432855,0.38441965159522407,0.07128896070051075,0.07339236850575075,0.505473576405038,0.6344886258024851,73.24039805017203
