player_name_ko,season,kbo_team,role_group,archetype,first_kbo_war,first_kbo_wrc_plus,first_kbo_era,first_kbo_k_bb_pct,success,strong_success,failure,in_season_replaced,renewed_next_year,injury_exit_flag,performance_exit_flag
캠 알드레드,2024,KIA,starter,B_solid_contributor,1.195971330090573,,4.53,,0.0,0.0,1.0,1,0.0,0,0
멜 로하스 주니어,2024,KT,hitter,A_dominant,6.708414077758789,153.26199340820312,,0.0402985074626865,1.0,1.0,0.0,0,0.0,0,0
웨스 벤자민,2024,KT,starter,B_solid_contributor,2.7077681215177463,,4.63,,1.0,0.0,0.0,0,0.0,0,0
윌리엄 쿠에바스,2024,KT,starter,B_solid_contributor,4.409441312716488,,4.1,,1.0,1.0,0.0,0,0.0,0,0
오스틴 딘,2024,LG,hitter,A_dominant,5.228662014007568,147.7550048828125,,0.0347682119205298,1.0,1.0,0.0,0,1.0,0,0
디트릭 엔스,2024,LG,starter,B_solid_contributor,3.766282559141343,,4.19,,1.0,0.0,0.0,0,0.0,0,0
엘리에이저 에르난데스,2024,LG,starter,B_solid_contributor,1.3927626087030902,,4.02,,0.0,0.0,1.0,0,0.0,0,0
케이시 켈리,2024,LG,starter,B_solid_contributor,1.8492238092777016,,4.51,,0.0,0.0,1.0,1,0.0,0,1
맷 데이비드슨,2024,NC,hitter,A_dominant,4.108154773712158,153.94900512695312,,0.1816578483245149,1.0,1.0,0.0,0,0.0,0,0
다니엘 카스타노,2024,NC,starter,B_solid_contributor,1.892333275860024,,4.35,,0.0,0.0,1.0,1,0.0,1,1
에릭 요키시,2024,NC,starter,C_risky,0.1284947706263699,,5.72,,0.0,0.0,1.0,0,0.0,0,0
카일 하트,2024,NC,starter,A_ace_translation,6.150586745388057,,2.69,,1.0,1.0,0.0,0,0.0,0,0
기예르모 에레디아,2024,SSG,hitter,A_dominant,4.563113689422607,137.21099853515625,,0.0761421319796954,1.0,1.0,0.0,0,1.0,0,0
드류 앤더슨,2024,SSG,starter,B_solid_contributor,3.4467197298004493,,3.89,,1.0,0.0,0.0,0,1.0,0,0
로버트 더거,2024,SSG,starter,D_replaced_blowup,-0.8389506681770665,,12.71,,0.0,0.0,1.0,1,0.0,0,1
로에니스 엘리아스,2024,SSG,starter,B_solid_contributor,3.6103183806963983,,4.08,,1.0,0.0,0.0,0,0.0,0,0
제러드 영,2024,두산,hitter,C_marginal,1.645452618598938,183.68800354003903,,0.0828402366863905,0.0,0.0,1.0,0,0.0,0,0
헨리 라모스,2024,두산,hitter,C_marginal,1.7375532388687134,119.56999969482422,,,0.0,0.0,1.0,1,0.0,0,1
라울 알칸타라,2024,두산,starter,B_solid_contributor,1.154209860868482,,4.76,,0.0,0.0,1.0,1,1.0,0,1
브랜던 워델,2024,두산,starter,B_solid_contributor,2.175058850519316,,3.12,,0.0,0.0,0.0,0,0.0,0,0
시라카와 케이쇼,2024,두산,starter,D_replaced_blowup,0.1920650341595534,,6.03,,0.0,0.0,1.0,1,0.0,0,0
조던 발라조빅,2024,두산,starter,B_solid_contributor,1.253415195443148,,4.26,,0.0,0.0,1.0,0,0.0,0,0
빅터 레예스,2024,롯데,hitter,B_solid,3.5102803707122803,127.54900360107422,,0.0569620253164556,1.0,1.0,0.0,0,1.0,0,0
애런 윌커슨,2024,롯데,starter,B_solid_contributor,6.056565445113432,,3.84,,1.0,1.0,0.0,0,0.0,0,0
찰리 반즈,2024,롯데,starter,A_ace_translation,5.766521192136825,,3.35,,1.0,1.0,0.0,0,0.0,0,0
데이비드 맥키넌,2024,삼성,hitter,C_marginal,0.5285413265228271,96.45189666748048,,,0.0,0.0,1.0,1,0.0,0,1
루벤 카데나스,2024,삼성,hitter,C_replaced_poor,-0.0605283714830875,145.51699829101562,,,0.0,0.0,1.0,1,0.0,1,1
르윈 디아즈,2024,삼성,hitter,C_marginal,0.5481775999069214,107.88899993896484,,0.1610169491525423,1.0,0.0,0.0,0,1.0,0,0
데니 레예스,2024,삼성,starter,B_solid_contributor,4.465718300718198,,3.81,,1.0,1.0,0.0,0,0.0,0,0
코너 시볼드,2024,삼성,starter,A_ace_translation,5.2666814804380895,,3.43,,1.0,1.0,0.0,0,0.0,0,0
로니 도슨,2024,키움,hitter,B_solid,3.272735118865967,145.93899536132812,,0.0349650349650349,1.0,0.0,0.0,0,0.0,0,0
아리엘 후라도,2024,키움,starter,A_ace_translation,5.802878277442628,,3.36,,1.0,1.0,0.0,0,1.0,0,0
엔마누엘 데 헤수스,2024,키움,starter,B_solid_contributor,4.394136893971022,,3.68,,1.0,1.0,0.0,0,1.0,0,0
요나탄 페를라사,2024,한화,hitter,B_solid,2.200988292694092,116.71299743652344,,0.1264367816091954,1.0,0.0,0.0,0,0.0,0,0
라이언 와이스,2024,한화,starter,B_solid_contributor,2.5694821261501475,,3.73,,1.0,0.0,0.0,0,1.0,0,0
리카르도 산체스,2024,한화,starter,B_solid_contributor,1.2859074647655164,,4.22,,0.0,0.0,1.0,1,0.0,1,1
펠릭스 페냐,2024,한화,starter,D_replaced_blowup,0.1786515505609682,,6.27,,0.0,0.0,1.0,1,0.0,0,1
하이메 바리아,2024,한화,starter,C_risky,1.4110862447003436,,5.15,,0.0,0.0,0.0,0,0.0,0,0
패트릭 위즈덤,2025,KIA,hitter,B_solid,3.4919967651367188,131.38339233398438,,0.1851851851851851,1.0,0.0,0.0,0,0.0,0,0
애덤 올러,2025,KIA,starter,B_solid_contributor,3.6059733784792254,,3.62,,1.0,1.0,0.0,0,1.0,0,0
제임스 네일,2025,KIA,starter,A_ace_translation,6.590633835096206,,2.25,,1.0,1.0,0.0,0,1.0,0,0
멜 로하스 주니어,2025,KT,hitter,C_marginal,1.2127257585525513,107.02774810791016,,,0.0,0.0,1.0,1,0.0,0,1
앤드류 스티븐슨,2025,KT,hitter,D_failure,0.4514786303043365,104.46678161621094,,0.1726190476190476,0.0,0.0,1.0,0,0.0,0,0
엔마누엘 데 헤수스,2025,KT,starter,B_solid_contributor,2.468155612977192,,3.96,,1.0,0.0,0.0,0,0.0,0,0
윌리엄 쿠에바스,2025,KT,starter,C_replaced_marginal,0.3723167242986874,,5.4,,0.0,0.0,1.0,1,0.0,0,1
패트릭 머피,2025,KT,starter,B_solid_contributor,1.32870638879808,,3.12,,0.0,0.0,1.0,0,0.0,0,0
