year,team_ops,team_ops_rank,team_slg,team_slg_rank,team_iso,team_iso_rank,team_hr,team_hr_rank,of_pa,of_ops,of_ops_rank,of_slg,of_slg_rank,of_iso,of_iso_rank,of_hr,of_hr_rank,of_wrc_plus_pa_weighted,of_wrc_plus_rank,of_ops_vs_lg_avg,of_iso_vs_lg_avg,of_hr_vs_lg_avg
2023,0.725,4,0.389,3,0.129,1,125,1,2336,0.7322197141648272,5,0.3923928743379875,4,0.11651420317766009,3,40,3,101.99036713536472,5,0.010199942808028162,0.00701719642553468,7.5
2024,0.762,8,0.42,6,0.14699999999999996,5,152,4,2351,0.7953908050069427,5,0.4532066508313539,2,0.17244655581947743,1,76,1,98.92898157493757,8,0.010025522104914697,0.03107804286522023,26.9
2025,0.706,8,0.376,7,0.12,7,127,5,2168,0.7363687130217146,5,0.40102827763496146,3,0.13264781491002575,3,56,1,98.29110297593684,7,0.01056008474438852,0.011308261399031697,17.5
