fit_slot,review_status,manual_decision_status,cards,strong_fit_cards,lower_risk_cards,weak_source_confidence_cards,release_allowed
foreign_hitter,not_started,locked_no_decision,31,28,20,0,False
foreign_pitcher,not_started,locked_no_decision,41,39,4,41,False
