validation_scheme,role_model_family,target,model,folds,total_valid_rows,mean_feature_count,mean_auc,mean_brier,mean_logloss,mean_precision_top_25pct,mean_precision_top_33pct,role_prior_mean_brier,role_prior_precision_top_25pct,brier_lift_vs_role_prior,top25_precision_lift_vs_role_prior,promotion_status
repeated_stratified_cv,hitter,failure,role_prior,90,1260,31.81111111111111,0.5,0.2423469387755102,0.6778238309471578,0.2722222222222222,0.3022222222222222,0.2423469387755102,0.2722222222222222,0.0,0.0,baseline
repeated_stratified_cv,hitter,failure,shallow_random_forest,90,1260,31.81111111111111,0.5670216049382717,0.252948630967115,0.7012757500986375,0.4222222222222222,0.4444444444444444,0.2423469387755102,0.2722222222222222,-0.010601692191604811,0.15000000000000002,do_not_promote
repeated_stratified_cv,hitter,failure,ridge_logit,90,1260,31.81111111111111,0.564212962962963,0.312510340415949,0.9634078654121437,0.4305555555555556,0.45555555555555555,0.2423469387755102,0.2722222222222222,-0.0701634016404388,0.15833333333333338,do_not_promote
repeated_stratified_cv,hitter,failure,balanced_ridge_logit,90,1260,31.81111111111111,0.567554012345679,0.31436378137937154,0.9736336567276661,0.4305555555555556,0.4488888888888889,0.2423469387755102,0.2722222222222222,-0.07201684260386135,0.15833333333333338,do_not_promote
repeated_stratified_cv,hitter,success,role_prior,90,1260,31.77777777777778,0.5,0.24914965986394558,0.691474436095007,0.6583333333333333,0.6333333333333333,0.24914965986394558,0.6583333333333333,0.0,0.0,baseline
repeated_stratified_cv,hitter,success,shallow_random_forest,90,1260,31.77777777777778,0.4992701247165533,0.26329152846088266,0.7215568685374444,0.575,0.5577777777777778,0.24914965986394558,0.6583333333333333,-0.014141868596937085,-0.08333333333333337,do_not_promote
repeated_stratified_cv,hitter,success,balanced_ridge_logit,90,1260,31.77777777777778,0.5780234315948601,0.3046936041023566,0.9393546721061807,0.675,0.66,0.24914965986394558,0.6583333333333333,-0.055543944238411,0.01666666666666672,do_not_promote
repeated_stratified_cv,hitter,success,ridge_logit,90,1260,31.77777777777778,0.575847978080121,0.30480634712150667,0.9381004503023167,0.6611111111111111,0.6533333333333334,0.24914965986394558,0.6583333333333333,-0.055656687257561094,0.002777777777777768,do_not_promote
repeated_stratified_cv,pitcher,failure,role_prior,90,2460,40.455555555555556,0.5,0.240565027108237,0.6741597887561308,0.36507936507936506,0.367037037037037,0.240565027108237,0.36507936507936506,0.0,0.0,baseline
repeated_stratified_cv,pitcher,failure,hist_gradient_boosting,90,2460,40.455555555555556,0.46164772727272724,0.26102246002566865,0.7187618879973104,0.36031746031746026,0.37,0.240565027108237,0.36507936507936506,-0.020457432917431656,-0.0047619047619048005,do_not_promote
repeated_stratified_cv,pitcher,failure,shallow_random_forest,90,2460,40.455555555555556,0.47769422162804515,0.2622570547877617,0.7213120330514101,0.4031746031746032,0.40172839506172836,0.240565027108237,0.36507936507936506,-0.02169202767952469,0.038095238095238126,do_not_promote
repeated_stratified_cv,pitcher,failure,ridge_logit,90,2460,40.455555555555556,0.42683266488413546,0.3343635908215529,1.0455440845161164,0.3714285714285714,0.3664197530864197,0.240565027108237,0.36507936507936506,-0.09379856371331594,0.006349206349206327,do_not_promote
repeated_stratified_cv,pitcher,failure,balanced_ridge_logit,90,2460,40.455555555555556,0.42538250148544265,0.3440497406263575,1.0620831487272429,0.3698412698412698,0.36172839506172844,0.240565027108237,0.36507936507936506,-0.10348471351812052,0.004761904761904745,do_not_promote
repeated_stratified_cv,pitcher,success,role_prior,90,2460,40.388888888888886,0.5,0.24771646236292702,0.6885747470639964,0.5476190476190476,0.5562962962962963,0.24771646236292702,0.5476190476190476,0.0,0.0,baseline
repeated_stratified_cv,pitcher,success,shallow_random_forest,90,2460,40.388888888888886,0.495519943019943,0.26407930404061397,0.724740765194811,0.5317460317460317,0.5407407407407407,0.24771646236292702,0.5476190476190476,-0.01636284167768695,-0.015873015873015817,do_not_promote
repeated_stratified_cv,pitcher,success,hist_gradient_boosting,90,2460,40.388888888888886,0.4181433998100665,0.27276798024995164,0.7413192494763775,0.4571428571428571,0.47259259259259256,0.24771646236292702,0.5476190476190476,-0.025051517887024616,-0.09047619047619049,do_not_promote
repeated_stratified_cv,pitcher,success,ridge_logit,90,2460,40.388888888888886,0.47368708452041786,0.33174644359723393,1.049786919216918,0.4523809523809524,0.49382716049382713,0.24771646236292702,0.5476190476190476,-0.08402998123430691,-0.09523809523809518,do_not_promote
repeated_stratified_cv,pitcher,success,balanced_ridge_logit,90,2460,40.388888888888886,0.47329534662868,0.335256408731449,1.0547097138763828,0.4571428571428571,0.4962962962962963,0.24771646236292702,0.5476190476190476,-0.087539946368522,-0.09047619047619049,do_not_promote
