role_model_family,target,feature,coefficient,abs_coefficient,direction,train_rows,positive_rows
hitter,failure,pre_whiff_per_swing,0.6883806553857408,0.6883806553857408,raises_target_probability,22,8
hitter,failure,pre_pitch,-0.6098750803187291,0.6098750803187291,lowers_target_probability,22,8
hitter,failure,pre_pa,-0.5748675652875772,0.5748675652875772,lowers_target_probability,22,8
hitter,failure,pre_sweet_spot_rate,0.5660555201344133,0.5660555201344133,raises_target_probability,22,8
hitter,failure,pre_kbo_milb_obp,0.5333140463606267,0.5333140463606267,raises_target_probability,22,8
hitter,failure,pre_ssg_message_screen_score,0.5157122518623193,0.5157122518623193,raises_target_probability,22,8
hitter,failure,pre_kbo_milb_rows,-0.5069437845018595,0.5069437845018595,lowers_target_probability,22,8
hitter,failure,pre_hitter_count_xwoba,-0.46740396502516895,0.46740396502516895,lowers_target_probability,22,8
hitter,failure,pre_bb_pct,0.4465390094340912,0.4465390094340912,raises_target_probability,22,8
hitter,failure,pre_low_velo_xwoba,0.37090259030221157,0.37090259030221157,raises_target_probability,22,8
hitter,failure,pre_zone_swing_rate,0.317346305558951,0.317346305558951,raises_target_probability,22,8
hitter,failure,pre_kbo_milb_slg,-0.3050766820231741,0.3050766820231741,lowers_target_probability,22,8
hitter,failure,pre_hardhit_rate,-0.27557354507785864,0.27557354507785864,lowers_target_probability,22,8
hitter,failure,pre_hr_pct,-0.26683322522545144,0.26683322522545144,lowers_target_probability,22,8
hitter,failure,pre_air_bbe_rate,0.22041462032600234,0.22041462032600234,raises_target_probability,22,8
hitter,failure,pre_kbo_milb_hr,-0.1901756969107201,0.1901756969107201,lowers_target_probability,22,8
hitter,failure,pre_kbo_aaa_rows,-0.18334596200852943,0.18334596200852943,lowers_target_probability,22,8
hitter,failure,pre_kbo_milb_latest_year,0.18259706488558952,0.18259706488558952,raises_target_probability,22,8
hitter,failure,pre_kbo_milb_bb_pct,0.1601770811921116,0.1601770811921116,raises_target_probability,22,8
hitter,failure,pre_kbo_aa_rows,0.14666884483414258,0.14666884483414258,raises_target_probability,22,8
hitter,failure,pre_kbo_milb_pa,-0.1415880499772868,0.1415880499772868,lowers_target_probability,22,8
hitter,failure,pre_chase_rate,-0.1414039062436512,0.1414039062436512,lowers_target_probability,22,8
hitter,failure,pre_nonfast_whiff_per_swing,0.11888795939499985,0.11888795939499985,raises_target_probability,22,8
hitter,failure,pre_break_off_xwoba,-0.1163312271516253,0.1163312271516253,lowers_target_probability,22,8
hitter,failure,pre_kbo_milb_ops,-0.08805309244633298,0.08805309244633298,lowers_target_probability,22,8
hitter,failure,pre_kbo_milb_recent_rows,0.07231169248218965,0.07231169248218965,raises_target_probability,22,8
hitter,failure,pre_same_field_air_rate_proxy,-0.06328011272952117,0.06328011272952117,lowers_target_probability,22,8
hitter,failure,pre_barrel_rate,-0.06294741727442105,0.06294741727442105,lowers_target_probability,22,8
hitter,failure,pre_high_velo_xwoba,0.06068929724641018,0.06068929724641018,raises_target_probability,22,8
hitter,failure,pre_kbo_milb_k_pct,0.05996950752270676,0.05996950752270676,raises_target_probability,22,8
hitter,failure,pre_nonfast_chase_rate,-0.05704148924778774,0.05704148924778774,lowers_target_probability,22,8
hitter,failure,pre_woba,0.0367156387607595,0.0367156387607595,raises_target_probability,22,8
hitter,failure,pre_k_pct,-0.03040401900517089,0.03040401900517089,lowers_target_probability,22,8
hitter,success,pre_pitch,0.5770990630898292,0.5770990630898292,raises_target_probability,22,13
hitter,success,pre_whiff_per_swing,-0.5542719565042405,0.5542719565042405,lowers_target_probability,22,13
hitter,success,pre_pa,0.5453384086653303,0.5453384086653303,raises_target_probability,22,13
hitter,success,pre_ssg_message_screen_score,-0.508875715746559,0.508875715746559,lowers_target_probability,22,13
hitter,success,pre_kbo_milb_obp,-0.4740650581165756,0.4740650581165756,lowers_target_probability,22,13
hitter,success,pre_kbo_milb_rows,0.47252712996937896,0.47252712996937896,raises_target_probability,22,13
hitter,success,pre_air_bbe_rate,-0.44410158205779476,0.44410158205779476,lowers_target_probability,22,13
hitter,success,pre_nonfast_whiff_per_swing,-0.42992553208265205,0.42992553208265205,lowers_target_probability,22,13
hitter,success,pre_bb_pct,-0.37886372421873415,0.37886372421873415,lowers_target_probability,22,13
hitter,success,pre_zone_swing_rate,-0.3552949520404924,0.3552949520404924,lowers_target_probability,22,13
hitter,success,pre_hr_pct,0.34713380721668313,0.34713380721668313,raises_target_probability,22,13
hitter,success,pre_sweet_spot_rate,-0.3316670013922897,0.3316670013922897,lowers_target_probability,22,13
hitter,success,pre_hitter_count_xwoba,0.3252229542341418,0.3252229542341418,raises_target_probability,22,13
hitter,success,pre_kbo_milb_latest_year,-0.31532406002112445,0.31532406002112445,lowers_target_probability,22,13
hitter,success,pre_nonfast_chase_rate,0.3079679719313237,0.3079679719313237,raises_target_probability,22,13
hitter,success,pre_kbo_milb_slg,0.2994795733225809,0.2994795733225809,raises_target_probability,22,13
hitter,success,pre_chase_rate,0.2643929812703638,0.2643929812703638,raises_target_probability,22,13
hitter,success,pre_kbo_milb_hr,0.25668844308926597,0.25668844308926597,raises_target_probability,22,13
hitter,success,pre_kbo_aaa_rows,0.16103697562399075,0.16103697562399075,raises_target_probability,22,13
hitter,success,pre_hardhit_rate,0.15073919534357932,0.15073919534357932,raises_target_probability,22,13
hitter,success,pre_kbo_aa_rows,-0.14205674020583708,0.14205674020583708,lowers_target_probability,22,13
hitter,success,pre_high_velo_xwoba,0.1268108673865939,0.1268108673865939,raises_target_probability,22,13
hitter,success,pre_barrel_rate,0.1241084872489921,0.1241084872489921,raises_target_probability,22,13
hitter,success,pre_kbo_milb_bb_pct,-0.12300379005005183,0.12300379005005183,lowers_target_probability,22,13
