fit_slot,failure_risk_band_v0_3,manual_review_tier_v0_3,locked_rows,release_allowed
asian_quota,manual_review_required,P1_manual_review,972,False
asian_quota,watch_source_context,P2_source_context_watch,6,False
foreign_hitter,block_until_source_or_medical_cleared,P0_blocker_review,254,False
foreign_hitter,manual_review_required,P1_manual_review,387,False
foreign_hitter,watch_source_context,P2_source_context_watch,69,False
foreign_hitter,risk_screen_pass,P3_risk_screen_pass,26,False
foreign_pitcher,block_until_source_or_medical_cleared,P0_blocker_review,794,False
foreign_pitcher,manual_review_required,P1_manual_review,176,False
foreign_pitcher,watch_source_context,P2_source_context_watch,39,False
