fold,train_years,valid_year,train_rows,valid_rows,train_success_rate,valid_success_rate,train_failure_rate,valid_failure_rate,success_majority_baseline_acc,failure_majority_baseline_acc,high_confidence_valid_rows,outcome_valid_rows,fold_status
fold_a_2022_holdout,2017-2021,2022,182,42,0.33516483516483514,0.2619047619047619,0.2032967032967033,0.30952380952380953,0.7380952380952381,0.6904761904761905,13,0,usable
fold_b_2023_holdout,2017-2022,2023,224,42,0.32142857142857145,0.5238095238095238,0.22321428571428573,0.42857142857142855,0.47619047619047616,0.5714285714285714,42,41,usable
fold_c_2024_holdout,2017-2023,2024,266,43,0.3533834586466165,0.5348837209302325,0.2556390977443609,0.4186046511627907,0.46511627906976744,0.5813953488372093,43,43,usable
fold_d_2025_holdout,2017-2024,2025,309,44,0.3786407766990291,0.5454545454545454,0.2783171521035599,0.4318181818181818,0.45454545454545453,0.5681818181818182,44,44,usable
