mlb_id,full_name,role,level,team_latest,seasons_used,ip,era,whip,k9,bb9,hr9,k_bb_ratio,gs_ratio,k_pct_proxy,gs_total,ip_total,available,on_40man,acquirable,n_pitches,avg_velo,max_velo,whiff_pct,zone_pct,chase_pct,arm_angle,age,position,bat_side,pitch_hand,birth_country,txn_type,pcl_inflated,kbo_ineligible,mlb_pitches,acquisition_tier,fit_early_inning_support,fit_inning_depth,fit_contact_management,fit_kbo_masked_flaw,fit_acquisition_tier,ssg_fit_score,era_park_adj,kbo_era_est,abs_era_bonus,kbo_era_final,kbo_era_plus_est,translation_confidence,pcl_discount,bt_success_category,bt_warning_flags,vs_hist_success_mean,w_ssg_fit,w_kbo_era,w_tier,composite_score,final_rank
686730,Carson Spiers,starter,AAA,Louisville Bats,"[2024, 2025]",38.77192982456141,3.4126315789473685,1.2000000000000002,8.526315789473685,3.6926315789473687,0.5715789473684212,2.670175438596491,0.91812865497076,0.4445983379501385,12,63.3,True,False,True,697.0,92.61231605207848,95.2,0.2163350353180081,0.4866051438845002,0.2701525159545692,28.426651692719435,28.0,P,R,R,USA,Designated for Assignment,False,False,697.0,A_mlb_reject,22.0,11.0,8.0,5.0,10,56.0,3.59224376731302,3.2330193905817177,0.031,3.2020193905817176,132.7,medium,0.0,strong_success_likely,-,-0.055,0.6330809721280789,0.8396610532997103,1.0,0.7891,1
687003,Brian Van Belle,starter,AAA,,"[2023, 2024, 2025]",76.02136752136752,4.0282234432234425,1.2808699633699634,8.110576923076923,2.201382783882784,1.1893772893772896,4.266122795271955,0.7079708752785677,0.4165846149861544,57,364.0,True,False,True,129.0,90.9,92.6,0.3043478260869565,0.5038759689922481,0.375,30.08372093023256,29.0,P,R,R,USA,Designated for Assignment,False,False,129.0,A_dfa_milb,12.44434065934066,23.0,24.0,10.0,8,77.44434065934067,4.240235203393097,3.816211683053788,0.18,3.636211683053788,116.9,high,0.0,success_likely,-,0.379,1.0,0.5323016809740527,0.85,0.7829,2
682989,Victor Mederos,starter,AAA,Salt Lake Bees,"[2024, 2025]",80.1294387170676,3.4352233676975947,1.2943986254295534,7.145670103092783,3.3398969072164952,0.6527147766323025,2.1759652314534064,1.0,0.3798091686773415,19,97.0,True,True,True,162.66666666666666,94.44766858760488,98.46666666666664,0.2125978801643954,0.4683548149577873,0.2016218106112978,31.41827192094768,25.0,P,R,R,Cuba,Designated for Assignment,True,False,162.66666666666666,A_dfa_milb,21.20082474226804,11.0,5.0,0.0,8,45.20082474226804,3.3794622407256223,3.04151601665306,0.066,2.97551601665306,142.8,medium,0.07,strong_success_likely,PCL_inflation,-0.281,0.4483038810376344,1.0,0.85,0.7493,3
681867,Cooper Criswell,starter,AAA,Worcester Red Sox,"[2023, 2024, 2025]",68.97348484848486,3.475227272727273,1.2901325757575757,8.741780303030303,3.016306818181818,0.7148484848484848,2.9986398338979865,0.8278676712779973,0.4296910143949617,36,176.0,True,True,True,863.6666666666666,84.24902961927148,91.4,0.1665110456983177,0.4818155785031619,0.2967249218527991,12.202132354092017,29.0,P,R,R,USA,Designated for Assignment,False,False,863.6666666666666,A_mlb_reject,21.27761363636364,5.0,12.0,0.0,10,48.27761363636364,3.6581339712918655,3.29232057416268,0.098,3.19432057416268,133.0,high,0.0,strong_success_likely,-,-0.062,0.5009486514189025,0.8451109505531447,1.0,0.7384,4
605335,Brandon Leibrandt,starter,AAA,Scranton/Wilkes-Barre RailRiders,"[2024, 2025]",69.63458110516936,3.8969518716577545,1.1871122994652406,8.448850267379678,2.526390374331551,1.514625668449198,3.4258339699516167,0.9671122994652406,0.4416069401895057,26,124.7,True,False,True,117.0,88.67199999999998,90.8,0.25,0.5384615384615384,0.2592592592592592,51.69401709401709,33.0,P,L,L,USA,Designated for Assignment,False,False,117.0,A_dfa_milb,13.0,5.0,18.0,8.0,8,52.0,4.102054601745005,3.6918491415705046,0.147,3.544849141570505,119.9,high,0.0,success_likely,-,0.288,0.5646397859520704,0.5969760980266887,0.85,0.6346,5
663765,Jake Woodford,starter,AAA,,"[2023, 2024, 2025]",58.85311871227365,4.077313883299799,1.3377565392354125,8.774084507042254,2.825653923541248,1.2228269617706238,3.382289159795373,0.8583716585225639,0.4223732250112896,64,331.3,True,False,True,719.0,92.28849206349206,95.0,0.1532280156730464,0.4927784714192482,0.214574219919509,29.19851854811656,29.0,P,R,R,USA,Designated for Assignment,False,False,719.0,A_mlb_reject,11.420382293762575,11.0,12.0,0.0,10,44.42038229376257,4.291909350841894,3.862718415757704,0.117,3.745718415757704,113.5,high,0.0,success_likely,-,0.489,0.43495027930817876,0.45478321458747084,1.0,0.5559,6
680951,Doug Nikhazy,starter,AAA,Columbus Clippers,"[2024, 2025]",81.01928374655647,4.016074380165289,1.343223140495868,9.034628099173554,4.294545454545455,1.2851652892561984,2.1085318424890622,0.915879574970484,0.4306418402581229,32,161.3,True,True,True,108.0,90.216,94.5,0.3260869565217391,0.4537037037037037,0.2033898305084746,44.77407407407408,26.0,P,L,L,USA,Designated for Assignment,False,False,108.0,A_dfa_milb,11.32198347107438,11.0,12.0,8.0,8,50.321983471074375,4.227446715963462,3.804702044367116,0.0,3.804702044367116,111.7,high,0.0,success_likely,-,0.548,0.5359284255364158,0.41302943088103905,0.85,0.5496,7
621389,Ty Blach,starter,AAA,Round Rock Express,"[2023, 2024, 2025]",42.57427536231884,4.106929347826086,1.334701086956522,6.676711956521739,1.980788043478261,1.0280978260869569,3.459970735785953,0.780076581027668,0.3555477026921252,25,122.7,True,False,True,1198.5,87.53987643424537,92.1,0.1501338646055132,0.5171411174545008,0.2984646810753821,21.222034844676266,35.0,P,R,L,USA,Designated for Assignment,True,False,1198.5,A_mlb_reject,4.475380434782606,3.0,17.0,0.0,10,34.47538043478261,4.1568110807956336,3.7411299727160703,0.2,3.54112997271607,120.0,medium,0.04,success_likely,PCL_inflation,0.284,0.26478834837037907,0.5996088518191705,1.0,0.5458,8
471911,Carlos Carrasco,starter,AAA,,[2025],66.78914141414141,4.2977083333333335,1.319981060606061,6.95373106060606,2.6606439393939394,0.6114962121212121,2.62140984015984,0.9451905417814508,0.3704404347278098,34,176.0,True,False,True,1354.6666666666667,91.9449083002302,94.8,0.2331643291644574,0.4606003187770002,0.279394946803787,35.02387913160698,39.0,P,R,R,Venezuela,Designated for Assignment,False,False,1354.6666666666667,A_mlb_reject,4.740340909090907,11.0,13.0,8.0,10,46.7403409090909,4.52390350877193,4.071513157894738,0.134,3.9375131578947378,107.9,high,0.0,success_likely,-,0.681,0.47464545918625894,0.31901408054096525,1.0,0.5175,9
641312,Shaun Anderson,starter,AAA,Salt Lake Bees,"[2023, 2024, 2025]",76.2737556561086,4.5220814479638,1.3972058823529412,7.422805429864252,2.566990950226244,1.0990950226244345,3.047015578689787,0.7767077478764786,0.3732183751850272,52,294.7,True,False,True,230.5,91.7421794871795,94.35,0.187047619047619,0.5877181385510312,0.2319466248037676,45.06564587128112,31.0,P,R,R,USA,Designated for Assignment,True,False,230.5,A_dfa_milb,0.0,16.0,13.0,8.0,8,45.0,4.448678256727792,4.003810431055013,0.143,3.860810431055013,110.1,medium,0.07,success_likely,PCL_inflation,0.604,0.44486771014405546,0.37331099549285995,0.85,0.4973,10
674370,Osvaldo Bido,starter,AAA,Las Vegas Aviators,"[2023, 2024, 2025]",51.027777777777786,4.497395833333334,1.387604166666667,9.705104166666668,3.7940625,1.3372916666666668,2.657237787356322,0.6967379385964914,0.4390786280265531,22,128.0,True,False,True,1128.3333333333333,94.69004861028868,97.7,0.2477205095108348,0.5019236772938211,0.2683267606639116,35.309879843980134,,?,?,?,?,Designated for Assignment,True,False,1128.3333333333333,A_mlb_reject,3.5231249999999945,16.0,11.0,5.0,10,45.52312499999999,4.508667502088556,4.0578007518797,0.021,4.0368007518797,105.3,medium,0.05,borderline,PCL_inflation,0.78,0.4538185340236365,0.24872961650040237,1.0,0.481,11
646242,Jhonathan Díaz,starter,AAA,Tacoma Rainiers,"[2023, 2024, 2025]",118.37734627831716,4.3233300970873785,1.4018155339805822,8.257660194174756,3.121699029126213,0.970019417475728,3.2085375526107063,0.7700894513851346,0.3951827306788166,56,343.3,True,False,True,163.0,90.52379668848673,92.15,0.1754079254079254,0.4623870481927711,0.2578022554419092,31.865530873493974,29.0,P,L,L,Venezuela,Designated for Assignment,False,False,163.0,A_dfa_milb,3.26732038834952,23.0,12.0,0.0,8,46.26732038834952,4.550873786407767,4.09578640776699,0.088,4.00778640776699,106.0,high,0.0,borderline,-,0.751,0.46655193780497567,0.2692685130896292,0.85,0.4643,12
677961,Cole Wilcox,starter,AAA,Durham Bulls,"[2024, 2025]",45.8,4.104333333333333,1.4003333333333334,8.5,4.101333333333334,1.2996666666666667,2.059558823529412,0.45,0.3987751531058617,9,90.0,True,True,True,,,,,,,,26.0,P,R,R,USA,Designated for Assignment,False,False,,A_dfa_milb,3.2939999999999983,20.0,5.0,5.0,8,41.294,4.320350877192983,3.8883157894736846,0.0,3.8883157894736846,109.3,medium,0.0,success_likely,-,0.632,0.3814569511519835,0.3538402912778629,0.85,0.4641,13
605218,Carl Edwards Jr.,starter,AAA,,"[2024, 2025]",46.23246878001922,4.202910662824208,1.5394236311239196,9.572276657060518,4.434841498559078,1.1663544668587895,2.4734831568000897,0.534522922256451,0.4087321527445472,34,231.3,True,False,True,332.0,93.32243466217032,96.1,0.2675591417568311,0.4841076267905536,0.2709887377504754,55.11349897889721,34.0,P,R,R,USA,Designated for Assignment,False,False,332.0,A_dfa_milb,0.790374639769448,21.0,10.0,5.0,8,44.790374639769446,4.424116487183377,3.9817048384650393,0.0,3.9817048384650393,106.7,high,0.0,success_likely,-,0.725,0.44128095806736745,0.28773133453741306,0.85,0.4616,14
671162,Connor Thomas,starter,AAA,Memphis Redbirds,"[2023, 2024]",92.37665463297232,4.238592057761733,1.5494404332129963,7.211028880866426,2.681173285198556,0.8766245487364621,2.7471929467023792,0.4397348289496304,0.3438514764417291,20,184.7,True,False,True,119.0,90.29999999999998,91.1,0.12,0.453781512605042,0.2153846153846154,29.147058823529413,28.0,P,L,L,USA,Outrighted,False,False,119.0,C_outrighted,0.6100722021660623,20.0,13.0,8.0,4,45.61007220216607,4.461675850275508,4.0155082652479575,0.132,3.883508265247957,109.4,high,0.0,success_likely,-,0.627,0.4553062264363694,0.35724347842346404,0.5,0.425,15
