season,player_key,player_name,player_name_en,kbo_team,role_model_family,stat_group,player_id,success,failure,source_player_id,milb_stat_group,has_pre_kbo_milb,pre_kbo_milb_rows,pre_kbo_milb_latest_year,pre_kbo_milb_recent_rows,pre_kbo_milb_highest_level_score,pre_kbo_recent_highest_level_score,pre_kbo_aaa_rows,pre_kbo_aa_rows,pre_kbo_milb_pa,pre_kbo_milb_hr,pre_kbo_milb_ops,pre_kbo_milb_obp,pre_kbo_milb_slg,pre_kbo_milb_k_pct,pre_kbo_milb_bb_pct,pre_kbo_milb_ip,pre_kbo_milb_games,pre_kbo_milb_games_started,pre_kbo_milb_k9,pre_kbo_milb_bb9,pre_kbo_milb_hr9,pre_kbo_milb_era,pre_kbo_milb_whip
2023,토마스파노니,토마스 파노니,Thomas Edward Pannone Jr,KIA,pitcher,pitching,623381,0,0,623381,pitching,True,15,2022,2,100.0,100.0,2,0,,,,,,0.18765432098765433,0.05925925925925926,181.33333333333334,38.0,33.0,7.544117647058823,2.3823529411764706,1.5386029411764706,6.2014338235294115,1.5371323529411764
2023,펠릭스페냐,펠릭스 페냐,Félix Ricardo Peña,한화,pitcher,pitching,570240,1,0,570240,pitching,True,13,2022,2,100.0,100.0,2,0,,,,,,0.19230769230769232,0.08144796380090498,99.33333333333333,39.0,13.0,7.701342281879195,3.261744966442953,1.540268456375839,6.791040268456375,1.5126174496644296
2023,호세피렐라,호세 피렐라,José Manuel Pirela,삼성,hitter,hitting,517369,0,0,517369,hitting,True,17,2019,0,100.0,100.0,8,4,4835.0,107.0,0.7818630816959669,0.34752140641158225,0.43434167528438467,0.14560496380558427,0.07859358841778696,,,,,,,,
2024,기예르모에레디아,기예르모 에레디아,Guillermo Heredia Molina,SSG,hitter,hitting,628338,1,0,628338,hitting,True,5,2021,0,100.0,100.0,4,1,488.0,5.0,0.7699651639344263,0.38863319672131147,0.38133196721311474,0.12295081967213115,0.10860655737704918,,,,,,,,
2024,드류앤더슨,드류 앤더슨,Andrew James Anderson,SSG,pitcher,pitching,623454,1,0,623454,pitching,True,10,2021,0,100.0,100.0,4,1,,,,,,0.22194760257043994,0.0874938210578349,480.3333333333333,101.0,91.0,8.41290770298404,3.3164469118667594,0.974323386537127,3.690714781401805,1.2287300485773769
2024,라울알칸타라,라울 알칸타라,Raul Alcántara,두산,pitcher,pitching,593417,0,1,593417,pitching,True,12,2018,0,100.0,100.0,3,2,,,,,,0.16602854159415245,0.04907761921336582,693.6666666666666,173.0,124.0,6.188851513695339,1.829408938010572,0.6357520422873619,3.5919942335415667,1.2225660740028834
2024,루벤카데나스,루벤 카데나스,Ruben Cardenas,삼성,hitter,hitting,665180,0,1,665180,hitting,True,9,2023,3,100.0,100.0,2,0,886.0,41.0,0.8199909706546274,0.3406297968397291,0.47936117381489834,0.2686230248306998,0.11060948081264109,,,,,,,,
2024,리카르도산체스,리카르도 산체스,Ricardo Jose Sánchez,한화,pitcher,pitching,645307,0,1,645307,pitching,True,13,2023,4,100.0,100.0,4,0,,,,,,0.19944082013047532,0.08014911463187326,239.33333333333334,55.0,53.0,8.047353760445683,3.233983286908078,0.9777158774373259,4.962033426183844,1.5067688022284125
2024,맷데이비드슨,맷 데이비드슨,Matthew Glen Davidson,NC,hitter,hitting,571602,1,0,571602,hitting,True,14,2022,3,100.0,100.0,3,0,764.0,64.0,1.0574371727748693,0.41390575916230365,0.6435314136125655,0.2670157068062827,0.11518324607329843,,,,,,,,
2024,멜로하스주니어,멜 로하스 주니어,Mel Rojas Jr,KT,hitter,hitting,592692,1,0,592692,hitting,True,12,2017,0,100.0,100.0,6,4,3466.0,56.0,0.7172365839584536,0.3266901327178304,0.3905464512406232,0.20369301788805538,0.08597807270628967,,,,,,,,
