candidate_key,source_fill_candidate_key,source_fill_scope_label,fit_slot,fit_review_lane,fit_review_order_within_slot,sensitivity_band,player_id,player_name,search_name,team_or_org,position_or_role,risk_adjusted_fit_score_internal,failure_risk_index,failure_risk_review_tier,manual_source_lanes,fit_review_tags,contract_control_bucket,medical_risk_bucket,current_status_description,nationality,nationality_source,person_url,source_url
90e11c1c15d4ad6d,90e11c1c15d4ad6d,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,11,stable_top25_locked,,LEE Chun,LEE Chun,U-Lions,Pitcher,51.974,50.99,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000007292,https://en.cpbl.com.tw/team?ClubNo=ADD
32b9a113fe643865,32b9a113fe643865,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,16,stable_top50_review_locked,,WU Chun Wei,WU Chun Wei,Brothers,Pitcher,50.918,51.87,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000004625,https://en.cpbl.com.tw/team?ClubNo=ACN
034265bc8aac7a34,034265bc8aac7a34,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,17,stable_top50_review_locked,,CHU Yu Hsien,CHU Yu Hsien,DRAGONS,First-Base Man,50.918,51.87,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000001318,https://en.cpbl.com.tw/team?ClubNo=AAA
0238c02ba635ca07,0238c02ba635ca07,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,18,stable_top50_review_locked,,LIN Dai An,LIN Dai An,Guardians,Catcher,50.918,51.87,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000001606,https://en.cpbl.com.tw/team?ClubNo=AEO
9bfd9391859ee728,9bfd9391859ee728,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,19,stable_top50_review_locked,,WANG Yi Cheng,WANG Yi Cheng,Guardians,First-Base Man,50.918,51.87,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000006736,https://en.cpbl.com.tw/team?ClubNo=AEO
212e67914d8a0517,212e67914d8a0517,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,20,stable_top50_review_locked,,WANG Po Jung,WANG Po Jung,TSG Hawks,Left-Fielder,50.918,51.87,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000000935,https://en.cpbl.com.tw/team?ClubNo=AKP
b6c401b1562a35e1,b6c401b1562a35e1,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,25,stable_top50_review_locked,,LI Chao,LI Chao,DRAGONS,Pitcher,50.774,52.59,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000006160,https://en.cpbl.com.tw/team?ClubNo=AAA
6cdd44bfdb0bab0a,6cdd44bfdb0bab0a,run034_risk_adjusted_fit_source_fill,asian_quota,lane_1_source_fill_priority_locked,26,stable_top50_review_locked,,CHIANG Kuo Hao,CHIANG Kuo Hao,Guardians,Pitcher,50.774,52.59,tier_2_multi_risk_review,korean_news_naver_or_local_search|asian_league_contract_buyout_transfer_fee_check|passport_nationality_and_quota_eligibility_check|local_league_salary_agent_source_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,eligible_but_contract_buyout_unknown,candidate_medical_news_not_collected,,R.O.C.(TAIWAN),cpbl_official_player_page,https://en.cpbl.com.tw/team/person?Acnt=0000005479,https://en.cpbl.com.tw/team?ClubNo=AEO
08d5a18c327d9b93,08d5a18c327d9b93,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_0_blocked_or_medical_review_locked,1,stable_top25_locked,686823.0,will brennan,will brennan,SF,OF/DH candidate pool,74.672,36.466,tier_4_low_current_risk,agent_korea_willingness_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check|korea_overseas_intent_context_review,stable_across_weights|ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal,recent_dfa_high_access,medical_history_watch,Active,,,,
c7c27effca31f41b,c7c27effca31f41b,run034_risk_adjusted_fit_source_fill,foreign_hitter,lane_0_blocked_or_medical_review_locked,28,stable_top50_review_locked,649966.0,luis urías,luis urías,AZ,OF/DH candidate pool,57.309,58.632,tier_1_blocker_review,korean_news_naver_or_local_search|agent_korea_willingness_check|mlb_contract_salary_option_check|role_salary_kbo_cost_fit_check|medical_file_and_recent_availability_check,ssg_fit_above_slot_median|translation_risk_low|market_access_relatively_better|tool_process_signal|source_gap_blocker|contract_access_blocker,active_mlb_contract_blocker,medical_hold_current_or_recent,,,,,
